,Participant,Block_num,X,Z,Target_Name
1012,BNC06,1,0.0,-4.1,Automobile shop
1089,BNC06,1,0.2118371,2.524974,Automobile shop
1373,BNC06,1,0.3766118,9.090736,Automobile shop
1421,BNC06,1,6.80024,9.131506,Automobile shop
1470,BNC06,1,13.25614,9.230257,Automobile shop
1510,BNC06,1,19.69383,9.705763,Automobile shop
1557,BNC06,1,26.13296,10.3303,Automobile shop
1604,BNC06,1,32.56876,11.03426,Automobile shop
1705,BNC06,1,38.93485,11.85185,Automobile shop
1907,BNC06,1,45.23202,12.90089,Automobile shop
2081,BNC06,1,40.58786,13.46023,Automobile shop
2124,BNC06,1,38.49986,19.39167,Automobile shop
2163,BNC06,1,36.47772,25.32319,Automobile shop
2364,BNC06,1,34.52329,31.30087,Automobile shop
2539,BNC06,1,33.67295,37.43937,Automobile shop
3489,BNC06,1,27.76745,38.35221,Automobile shop
3540,BNC06,1,29.14048,43.40385,Automobile shop
3595,BNC06,1,30.3252,48.60904,Automobile shop
3657,BNC06,1,31.43934,53.75017,Automobile shop
3698,BNC06,1,31.52577,59.28343,Automobile shop
3744,BNC06,1,31.53752,64.92287,Automobile shop
3868,BNC06,1,31.32744,70.37572,Automobile shop
3938,BNC06,1,26.26446,72.40145,Automobile shop
3980,BNC06,1,21.07334,74.21213,Automobile shop
4020,BNC06,1,15.76295,75.84988,Automobile shop
4303,BNC06,1,10.3106,77.24693,Automobile shop
4342,BNC06,1,4.437612,77.57748,Automobile shop
4393,BNC06,1,-1.64529,77.75045,Automobile shop
4431,BNC06,1,-7.715028,77.78732,Automobile shop
4472,BNC06,1,-13.6693,77.85242,Automobile shop
4509,BNC06,1,-19.62125,77.83597,Automobile shop
4545,BNC06,1,-25.56989,77.73405,Automobile shop
4677,BNC06,1,-31.47219,77.61127,Automobile shop
4733,BNC06,1,-37.29455,77.28711,Automobile shop
4888,BNC06,1,-43.05696,76.7568,Automobile shop
4925,BNC06,1,-48.70924,76.70143,Automobile shop
4964,BNC06,1,-54.47777,76.76646,Automobile shop
5009,BNC06,1,-60.29086,76.86373,Automobile shop
5130,BNC06,1,-66.05647,76.62473,Automobile shop
5178,BNC06,1,-67.44396,71.15092,Automobile shop
5213,BNC06,1,-68.58592,65.78862,Automobile shop
5252,BNC06,1,-69.66584,60.44419,Automobile shop
5290,BNC06,1,-70.66252,55.10582,Automobile shop
5329,BNC06,1,-71.49112,49.79086,Automobile shop
5469,BNC06,1,-72.14233,44.36854,Automobile shop
5765,BNC06,1,-71.3005,39.125,Automobile shop
5802,BNC06,1,-70.88109,33.549,Automobile shop
5847,BNC06,1,-70.35852,27.77643,Automobile shop
5888,BNC06,1,-69.70406,21.8878,Automobile shop
6204,BNC06,1,-68.95118,15.9691,Automobile shop
6261,BNC06,1,-62.62014,15.50586,Automobile shop
6301,BNC06,1,-56.26817,14.89915,Automobile shop
6343,BNC06,1,-49.90154,14.23619,Automobile shop
6389,BNC06,1,-43.60929,13.62421,Automobile shop
6435,BNC06,1,-37.31946,13.33538,Automobile shop
6473,BNC06,1,-31.01481,13.0803,Automobile shop
6510,BNC06,1,-24.73519,12.76689,Automobile shop
6555,BNC06,1,-18.49344,12.47621,Automobile shop
6599,BNC06,1,-12.25484,12.23173,Automobile shop
