,Participant,Block_num,X,Z,Target_Name
18090,BNC06,1,0.0,-4.1,Bank
18272,BNC06,1,0.3801977,-0.8081071,Bank
18307,BNC06,1,0.472118,2.348534,Bank
18433,BNC06,1,0.4608653,5.585457,Bank
18473,BNC06,1,4.394228,7.915321,Bank
18514,BNC06,1,8.916106,9.856571,Bank
18559,BNC06,1,13.69697,11.15053,Bank
18601,BNC06,1,18.69839,11.88653,Bank
18644,BNC06,1,23.76977,12.63729,Bank
18689,BNC06,1,28.91343,13.27424,Bank
18738,BNC06,1,33.9499,13.75757,Bank
18867,BNC06,1,38.92539,13.9717,Bank
19024,BNC06,1,43.76117,13.75935,Bank
19111,BNC06,1,40.79761,14.86243,Bank
19268,BNC06,1,36.64297,19.00342,Bank
11621,BNC06,2,0.0,-4.1,Bank
11713,BNC06,2,-0.1010884,0.08966798,Bank
11789,BNC06,2,-0.284504,3.804026,Bank
11881,BNC06,2,-0.4126709,7.382091,Bank
12045,BNC06,2,-0.4068961,10.93812,Bank
12160,BNC06,2,-0.4951974,14.23933,Bank
12197,BNC06,2,-0.4960813,17.84151,Bank
12240,BNC06,2,-0.415121,21.70943,Bank
12290,BNC06,2,-0.2926801,25.62376,Bank
12333,BNC06,2,-0.07575987,29.51782,Bank
12450,BNC06,2,0.09673403,33.43369,Bank
12751,BNC06,2,0.09772479,36.81078,Bank
12788,BNC06,2,4.198014,38.69854,Bank
12831,BNC06,2,8.315681,40.48787,Bank
12879,BNC06,2,12.72974,41.71852,Bank
12923,BNC06,2,17.14334,42.42145,Bank
12966,BNC06,2,21.57182,42.94872,Bank
13013,BNC06,2,26.03166,43.57711,Bank
13148,BNC06,2,30.29645,44.68861,Bank
13390,BNC06,2,30.21331,49.81562,Bank
13429,BNC06,2,30.41439,45.82598,Bank
13480,BNC06,2,31.16563,42.12003,Bank
13519,BNC06,2,32.19087,38.68057,Bank
13565,BNC06,2,33.23029,35.36486,Bank
13721,BNC06,2,34.48495,32.2759,Bank
13777,BNC06,2,33.75782,26.66195,Bank
14190,BNC06,2,33.26954,21.29795,Bank
6745,BNC06,3,0.0,-4.1,Bank
6795,BNC06,3,0.07063466,-1.257842,Bank
6906,BNC06,3,0.274138,1.797434,Bank
7031,BNC06,3,0.5162289,4.778877,Bank
7137,BNC06,3,0.4851133,7.04605,Bank
7278,BNC06,3,0.1740478,8.904384,Bank
7315,BNC06,3,4.057876,9.305103,Bank
7351,BNC06,3,8.0622,9.478524,Bank
7384,BNC06,3,12.23996,9.779185,Bank
7421,BNC06,3,16.44857,10.13727,Bank
7458,BNC06,3,20.64939,10.64159,Bank
7493,BNC06,3,24.79785,11.21587,Bank
7531,BNC06,3,29.01328,11.72255,Bank
7569,BNC06,3,33.40878,12.1448,Bank
7607,BNC06,3,37.9257,12.46557,Bank
7647,BNC06,3,42.42137,12.82067,Bank
7685,BNC06,3,46.97261,13.13805,Bank
7723,BNC06,3,51.56035,13.37254,Bank
7780,BNC06,3,56.08374,13.57001,Bank
8147,BNC06,3,60.47342,13.70375,Bank
8236,BNC06,3,60.88784,10.79405,Bank
8324,BNC06,3,61.79071,8.011421,Bank
8381,BNC06,3,62.76805,5.624652,Bank
8552,BNC06,3,63.75727,3.46809,Bank
8591,BNC06,3,63.88971,6.695483,Bank
8628,BNC06,3,63.96673,10.23327,Bank
8664,BNC06,3,64.18034,14.01607,Bank
8705,BNC06,3,64.51585,18.06563,Bank
8812,BNC06,3,64.77906,22.10978,Bank
8853,BNC06,3,64.8663,25.96503,Bank
8919,BNC06,3,64.83535,29.79452,Bank
9117,BNC06,3,64.81207,33.48312,Bank
9165,BNC06,3,64.70251,36.71182,Bank
9284,BNC06,3,64.41029,40.04946,Bank
9321,BNC06,3,60.50644,39.81717,Bank
9358,BNC06,3,56.39999,40.04031,Bank
9393,BNC06,3,52.1949,40.40734,Bank
9433,BNC06,3,48.23889,40.81316,Bank
9472,BNC06,3,44.32544,41.33091,Bank
9517,BNC06,3,40.38698,42.02426,Bank
9669,BNC06,3,36.68644,42.35678,Bank
9711,BNC06,3,35.80262,38.57151,Bank
9748,BNC06,3,34.74691,34.68184,Bank
9783,BNC06,3,33.89476,30.73706,Bank
9898,BNC06,3,33.31759,27.2944,Bank
32635,BNC10,1,0.0,-4.1,Bank
32703,BNC10,1,0.1150252,-1.622698,Bank
32796,BNC10,1,0.1046164,-0.1009818,Bank
32865,BNC10,1,0.293212,4.51001,Bank
33001,BNC10,1,0.665664,9.37505,Bank
33302,BNC10,1,6.331169,9.711784,Bank
33871,BNC10,1,12.62339,9.905437,Bank
33938,BNC10,1,18.85281,10.84785,Bank
33983,BNC10,1,25.39851,11.19521,Bank
34254,BNC10,1,31.86475,11.35614,Bank
34627,BNC10,1,36.52939,11.68112,Bank
