,Participant,Block_num,X,Z,Target_Name
15642,BNC06,1,0.0,-4.1,Fire Station
15674,BNC06,1,0.2763811,-0.3940284,Fire Station
15705,BNC06,1,0.4457957,3.726561,Fire Station
15739,BNC06,1,0.625861,8.241268,Fire Station
15774,BNC06,1,0.7896159,13.03263,Fire Station
15809,BNC06,1,0.920895,17.98058,Fire Station
15841,BNC06,1,0.980231,23.08257,Fire Station
15876,BNC06,1,0.9944739,28.25696,Fire Station
15913,BNC06,1,0.9831948,33.5029,Fire Station
15951,BNC06,1,0.9246084,38.77958,Fire Station
15989,BNC06,1,0.8121824,44.09048,Fire Station
16025,BNC06,1,0.6283091,49.42754,Fire Station
16062,BNC06,1,0.4129745,54.79012,Fire Station
16100,BNC06,1,0.1802275,60.21848,Fire Station
16146,BNC06,1,-0.06238434,65.64778,Fire Station
16262,BNC06,1,-0.2685885,71.0668,Fire Station
16300,BNC06,1,-4.713997,73.688,Fire Station
16413,BNC06,1,-9.262478,76.24596,Fire Station
16455,BNC06,1,-14.56766,77.44556,Fire Station
16496,BNC06,1,-19.918,78.27888,Fire Station
16595,BNC06,1,-25.37658,78.90236,Fire Station
16715,BNC06,1,-30.97027,78.90914,Fire Station
16915,BNC06,1,-36.51579,78.54924,Fire Station
16948,BNC06,1,-31.54496,77.32551,Fire Station
16984,BNC06,1,-26.4093,76.60669,Fire Station
17023,BNC06,1,-21.0803,75.92744,Fire Station
17059,BNC06,1,-15.62963,75.45244,Fire Station
17100,BNC06,1,-10.105,75.32246,Fire Station
17146,BNC06,1,-4.548089,75.33981,Fire Station
17193,BNC06,1,0.8556837,75.27393,Fire Station
17231,BNC06,1,6.395198,74.9275,Fire Station
17273,BNC06,1,12.10843,74.35085,Fire Station
17444,BNC06,1,17.91266,73.64523,Fire Station
9059,BNC06,2,0.0,-4.1,Fire Station
9089,BNC06,2,-0.1043369,0.4922522,Fire Station
9123,BNC06,2,-0.03216192,5.451971,Fire Station
9157,BNC06,2,-0.0009514838,10.91963,Fire Station
9191,BNC06,2,0.09457883,16.59599,Fire Station
9291,BNC06,2,0.2787212,22.50029,Fire Station
9325,BNC06,2,0.4128458,28.62547,Fire Station
9397,BNC06,2,0.5530153,34.81365,Fire Station
9434,BNC06,2,0.7050507,41.09243,Fire Station
9469,BNC06,2,0.8584737,47.36889,Fire Station
9510,BNC06,2,1.005643,53.66192,Fire Station
9552,BNC06,2,1.08686,59.91668,Fire Station
9604,BNC06,2,1.099968,66.14072,Fire Station
9720,BNC06,2,1.125097,72.31434,Fire Station
9756,BNC06,2,-3.924189,74.74357,Fire Station
9793,BNC06,2,-9.205217,77.11745,Fire Station
9889,BNC06,2,-14.67791,79.07826,Fire Station
9944,BNC06,2,-20.79116,78.88071,Fire Station
9984,BNC06,2,-26.94142,78.88741,Fire Station
10025,BNC06,2,-33.17083,78.91132,Fire Station
10124,BNC06,2,-39.49438,78.77171,Fire Station
10173,BNC06,2,-45.73592,78.33913,Fire Station
10382,BNC06,2,-51.92855,77.67088,Fire Station
10445,BNC06,2,-46.21484,77.41144,Fire Station
10489,BNC06,2,-40.32189,77.07944,Fire Station
10531,BNC06,2,-34.21256,76.62748,Fire Station
10575,BNC06,2,-28.00817,76.48098,Fire Station
10614,BNC06,2,-21.65331,76.28747,Fire Station
10652,BNC06,2,-15.29822,76.37829,Fire Station
10692,BNC06,2,-8.922814,76.50255,Fire Station
10732,BNC06,2,-2.601392,76.42982,Fire Station
10780,BNC06,2,3.602877,75.99449,Fire Station
10826,BNC06,2,9.607651,75.35696,Fire Station
10973,BNC06,2,15.65291,74.49134,Fire Station
5128,BNC06,3,0.0,-4.1,Fire Station
5163,BNC06,3,0.1157309,-1.170578,Fire Station
5199,BNC06,3,0.1838483,1.874417,Fire Station
5237,BNC06,3,0.163811,4.98631,Fire Station
5279,BNC06,3,0.1759576,8.013899,Fire Station
5316,BNC06,3,0.1803088,11.05885,Fire Station
5355,BNC06,3,0.1949632,14.12639,Fire Station
5397,BNC06,3,0.3108242,17.19522,Fire Station
5431,BNC06,3,0.4471455,20.29738,Fire Station
5472,BNC06,3,0.5955651,23.43443,Fire Station
5508,BNC06,3,0.6869134,26.57438,Fire Station
5548,BNC06,3,0.7272536,29.68061,Fire Station
5585,BNC06,3,0.8190539,32.8203,Fire Station
5625,BNC06,3,0.9130367,36.00403,Fire Station
5664,BNC06,3,1.032355,39.24524,Fire Station
5704,BNC06,3,1.112324,42.52792,Fire Station
5745,BNC06,3,1.190805,45.85129,Fire Station
5783,BNC06,3,1.282284,49.05449,Fire Station
5825,BNC06,3,1.407252,52.2892,Fire Station
5865,BNC06,3,1.558051,55.49954,Fire Station
5908,BNC06,3,1.769899,58.68053,Fire Station
5949,BNC06,3,1.970397,61.77443,Fire Station
5991,BNC06,3,2.220545,64.76794,Fire Station
6043,BNC06,3,2.5123,67.64416,Fire Station
6104,BNC06,3,2.894542,70.26079,Fire Station
6302,BNC06,3,3.232726,72.77973,Fire Station
6357,BNC06,3,8.158218,73.24372,Fire Station
6467,BNC06,3,12.97517,73.56879,Fire Station
16586,BNC10,1,0.0,-4.1,Fire Station
16657,BNC10,1,0.8878138,-9.555534,Fire Station
16794,BNC10,1,1.578817,-15.46591,Fire Station
17078,BNC10,1,1.950039,-21.04291,Fire Station
17298,BNC10,1,4.776684,-25.20193,Fire Station
17595,BNC10,1,8.348579,-23.22251,Fire Station
17777,BNC10,1,6.225927,-17.90891,Fire Station
17969,BNC10,1,4.530134,-12.63692,Fire Station
18079,BNC10,1,4.06859,-6.356256,Fire Station
18170,BNC10,1,3.517352,0.1273212,Fire Station
18288,BNC10,1,3.260148,6.626007,Fire Station
18441,BNC10,1,2.997759,13.10955,Fire Station
18639,BNC10,1,2.850209,19.92529,Fire Station
