,Participant,Block_num,X,Z,Target_Name
19654,BNC06,1,0.0,-4.1,Pawn Shop
19807,BNC06,1,0.1760053,-1.253396,Pawn Shop
19844,BNC06,1,-0.2049461,-5.80978,Pawn Shop
19879,BNC06,1,-0.5352887,-10.42013,Pawn Shop
19914,BNC06,1,-0.7144232,-15.2135,Pawn Shop
19951,BNC06,1,-0.8210059,-20.19231,Pawn Shop
19991,BNC06,1,-0.7610108,-25.199,Pawn Shop
20032,BNC06,1,-0.6149849,-30.29176,Pawn Shop
20070,BNC06,1,-0.3810523,-35.46365,Pawn Shop
20169,BNC06,1,-0.1468131,-40.65171,Pawn Shop
20274,BNC06,1,0.260895,-45.55934,Pawn Shop
20376,BNC06,1,4.300689,-49.01955,Pawn Shop
20495,BNC06,1,9.166286,-51.18441,Pawn Shop
20803,BNC06,1,13.23742,-52.45068,Pawn Shop
20854,BNC06,1,18.30806,-52.43501,Pawn Shop
20936,BNC06,1,23.45223,-52.6226,Pawn Shop
21060,BNC06,1,28.37461,-53.02009,Pawn Shop
21111,BNC06,1,28.78139,-47.48793,Pawn Shop
21154,BNC06,1,29.50036,-42.04345,Pawn Shop
21201,BNC06,1,30.19897,-36.68269,Pawn Shop
21244,BNC06,1,30.98863,-31.3621,Pawn Shop
21297,BNC06,1,31.87525,-26.05486,Pawn Shop
21543,BNC06,1,32.49751,-20.86383,Pawn Shop
21611,BNC06,1,27.08843,-20.21954,Pawn Shop
21661,BNC06,1,21.57999,-19.51113,Pawn Shop
21705,BNC06,1,15.88387,-19.02219,Pawn Shop
21745,BNC06,1,10.17323,-18.72226,Pawn Shop
21783,BNC06,1,4.463303,-18.54185,Pawn Shop
21817,BNC06,1,-1.327396,-18.45421,Pawn Shop
21853,BNC06,1,-7.097615,-18.48196,Pawn Shop
21896,BNC06,1,-12.8322,-18.52528,Pawn Shop
21951,BNC06,1,-18.52583,-18.47257,Pawn Shop
22049,BNC06,1,-24.15236,-18.34146,Pawn Shop
22150,BNC06,1,-29.73124,-18.02888,Pawn Shop
22258,BNC06,1,-35.25704,-17.95996,Pawn Shop
22644,BNC06,1,-39.68004,-16.85854,Pawn Shop
22687,BNC06,1,-36.00028,-22.29361,Pawn Shop
22726,BNC06,1,-32.43829,-27.67883,Pawn Shop
14826,BNC06,2,0.0,-4.1,Pawn Shop
14864,BNC06,2,-0.2682831,-8.029744,Pawn Shop
14913,BNC06,2,-0.2869695,-11.86852,Pawn Shop
15158,BNC06,2,0.2827333,-15.07099,Pawn Shop
15197,BNC06,2,-3.240954,-15.33497,Pawn Shop
15235,BNC06,2,-6.916331,-15.6838,Pawn Shop
15274,BNC06,2,-10.63993,-16.10441,Pawn Shop
15310,BNC06,2,-14.36439,-16.55736,Pawn Shop
15351,BNC06,2,-18.03325,-17.00078,Pawn Shop
15399,BNC06,2,-21.73304,-17.45408,Pawn Shop
15447,BNC06,2,-25.37508,-17.853,Pawn Shop
15504,BNC06,2,-28.9386,-18.28662,Pawn Shop
15610,BNC06,2,-32.32873,-18.72557,Pawn Shop
15723,BNC06,2,-35.49766,-19.4299,Pawn Shop
15888,BNC06,2,-35.93913,-24.19138,Pawn Shop
16024,BNC06,2,-32.3937,-28.84341,Pawn Shop
10124,BNC06,3,0.0,-4.1,Pawn Shop
10167,BNC06,3,-0.03785944,-7.392273,Pawn Shop
10512,BNC06,3,-0.01795959,-10.81141,Pawn Shop
10555,BNC06,3,-0.1096301,-6.015663,Pawn Shop
10688,BNC06,3,-0.5332874,-1.309291,Pawn Shop
10725,BNC06,3,-0.9902419,2.647464,Pawn Shop
10840,BNC06,3,-1.73229,6.359124,Pawn Shop
10883,BNC06,3,-5.769911,7.555466,Pawn Shop
10932,BNC06,3,-9.746086,8.568526,Pawn Shop
10986,BNC06,3,-13.59895,9.424328,Pawn Shop
11040,BNC06,3,-17.5627,10.1952,Pawn Shop
11090,BNC06,3,-21.47934,10.87061,Pawn Shop
11178,BNC06,3,-25.26398,11.5437,Pawn Shop
11291,BNC06,3,-28.78413,11.84087,Pawn Shop
11378,BNC06,3,-31.02074,8.711871,Pawn Shop
11443,BNC06,3,-32.72561,5.16131,Pawn Shop
11499,BNC06,3,-34.36805,1.497744,Pawn Shop
11551,BNC06,3,-35.88241,-2.407629,Pawn Shop
11604,BNC06,3,-37.04779,-6.54594,Pawn Shop
11684,BNC06,3,-37.59952,-10.65434,Pawn Shop
11758,BNC06,3,-37.77505,-14.45787,Pawn Shop
11795,BNC06,3,-36.38586,-17.77234,Pawn Shop
11831,BNC06,3,-34.89352,-21.40635,Pawn Shop
11864,BNC06,3,-33.25451,-25.34569,Pawn Shop
11961,BNC06,3,-31.63448,-29.21749,Pawn Shop
43973,BNC10,1,0.0,-4.1,Pawn Shop
44053,BNC10,1,-0.1225907,0.2487856,Pawn Shop
44167,BNC10,1,-0.1706239,4.401348,Pawn Shop
45372,BNC10,1,-0.1629026,7.922873,Pawn Shop
