,Participant,Block_num,X,Z,Target_Name
23280,BNC06,1,0.0,-4.1,Pizzeria
23523,BNC06,1,0.4192059,0.4077033,Pizzeria
23574,BNC06,1,0.2200696,4.4867,Pizzeria
23797,BNC06,1,0.07122079,9.203881,Pizzeria
23847,BNC06,1,-4.533115,10.08885,Pizzeria
23885,BNC06,1,-9.191572,10.77908,Pizzeria
23931,BNC06,1,-13.93328,11.31732,Pizzeria
23970,BNC06,1,-18.54766,11.74115,Pizzeria
24017,BNC06,1,-23.16909,11.99656,Pizzeria
24130,BNC06,1,-27.7516,12.10453,Pizzeria
24414,BNC06,1,-31.87318,12.13797,Pizzeria
24467,BNC06,1,-32.31825,17.14022,Pizzeria
24512,BNC06,1,-32.79149,22.2021,Pizzeria
24551,BNC06,1,-33.50659,27.40053,Pizzeria
24592,BNC06,1,-34.27251,32.61244,Pizzeria
24637,BNC06,1,-35.01952,37.88773,Pizzeria
24790,BNC06,1,-35.68091,43.06948,Pizzeria
25035,BNC06,1,-40.82225,43.94335,Pizzeria
25067,BNC06,1,-35.65783,43.55792,Pizzeria
25108,BNC06,1,-30.49639,43.13616,Pizzeria
25146,BNC06,1,-25.18135,42.77122,Pizzeria
25188,BNC06,1,-19.65315,42.47647,Pizzeria
25225,BNC06,1,-14.09115,42.15333,Pizzeria
25261,BNC06,1,-8.694069,41.99586,Pizzeria
25394,BNC06,1,-3.207082,41.84067,Pizzeria
25430,BNC06,1,-2.574421,47.40054,Pizzeria
25467,BNC06,1,-1.562074,52.91727,Pizzeria
25504,BNC06,1,-0.5060298,58.55733,Pizzeria
25543,BNC06,1,0.5866612,64.20021,Pizzeria
25585,BNC06,1,1.673772,69.73499,Pizzeria
25714,BNC06,1,3.008612,74.95941,Pizzeria
25751,BNC06,1,8.817796,75.4661,Pizzeria
25789,BNC06,1,14.66382,76.11422,Pizzeria
25826,BNC06,1,20.478,76.59526,Pizzeria
25863,BNC06,1,26.27214,76.81535,Pizzeria
25902,BNC06,1,32.02971,76.86227,Pizzeria
25944,BNC06,1,37.7095,76.85868,Pizzeria
25997,BNC06,1,43.27774,76.83106,Pizzeria
26049,BNC06,1,48.77145,76.704,Pizzeria
26089,BNC06,1,54.20006,76.43756,Pizzeria
26142,BNC06,1,59.62309,75.94656,Pizzeria
26209,BNC06,1,64.81551,74.37743,Pizzeria
26251,BNC06,1,67.8526,69.66607,Pizzeria
26297,BNC06,1,70.05289,64.78265,Pizzeria
26538,BNC06,1,71.61805,59.76101,Pizzeria
26576,BNC06,1,70.4725,54.80753,Pizzeria
26623,BNC06,1,69.24032,49.86495,Pizzeria
26669,BNC06,1,67.75981,44.87638,Pizzeria
26717,BNC06,1,66.39477,39.7663,Pizzeria
26841,BNC06,1,65.39964,34.76145,Pizzeria
16401,BNC06,2,0.0,-4.1,Pizzeria
16433,BNC06,2,0.04506975,-0.1272879,Pizzeria
16542,BNC06,2,-0.01511821,3.82477,Pizzeria
16617,BNC06,2,0.03974253,7.755944,Pizzeria
16722,BNC06,2,-0.2478041,11.36705,Pizzeria
16759,BNC06,2,-5.249804,11.63424,Pizzeria
16792,BNC06,2,-10.20903,12.00848,Pizzeria
16828,BNC06,2,-15.05659,12.36173,Pizzeria
16863,BNC06,2,-19.78804,12.75387,Pizzeria
16906,BNC06,2,-24.34922,13.24736,Pizzeria
17028,BNC06,2,-28.63864,13.62876,Pizzeria
17125,BNC06,2,-31.50776,17.55741,Pizzeria
17179,BNC06,2,-32.29186,22.58722,Pizzeria
17224,BNC06,2,-33.18621,27.47403,Pizzeria
17322,BNC06,2,-34.04772,32.25499,Pizzeria
17468,BNC06,2,-34.83331,36.81983,Pizzeria
17614,BNC06,2,-35.67706,40.23977,Pizzeria
17652,BNC06,2,-31.25667,40.74409,Pizzeria
17688,BNC06,2,-26.71152,41.18339,Pizzeria
17727,BNC06,2,-22.14169,41.52107,Pizzeria
17768,BNC06,2,-17.51429,41.73923,Pizzeria
17808,BNC06,2,-12.65793,41.92845,Pizzeria
17843,BNC06,2,-7.814766,42.11727,Pizzeria
17880,BNC06,2,-2.898129,42.23963,Pizzeria
17916,BNC06,2,2.237482,42.28186,Pizzeria
17953,BNC06,2,7.631036,42.37176,Pizzeria
17993,BNC06,2,13.07736,42.40389,Pizzeria
18033,BNC06,2,18.47832,42.41143,Pizzeria
18080,BNC06,2,23.79,42.46374,Pizzeria
18127,BNC06,2,28.98392,42.58104,Pizzeria
18235,BNC06,2,34.19819,42.70441,Pizzeria
18391,BNC06,2,39.48514,42.87225,Pizzeria
18457,BNC06,2,44.58454,42.99364,Pizzeria
18495,BNC06,2,49.87986,42.60063,Pizzeria
18533,BNC06,2,55.18427,42.0674,Pizzeria
18575,BNC06,2,60.47461,41.62704,Pizzeria
18701,BNC06,2,65.36789,41.11671,Pizzeria
18829,BNC06,2,66.1496,36.50525,Pizzeria
18971,BNC06,2,62.30661,32.10146,Pizzeria
12326,BNC06,3,0.0,-4.1,Pizzeria
12357,BNC06,3,-0.1109652,-0.5007157,Pizzeria
12390,BNC06,3,-0.3108322,3.051266,Pizzeria
12427,BNC06,3,-0.4952761,6.438334,Pizzeria
12542,BNC06,3,-0.6168559,9.594301,Pizzeria
12575,BNC06,3,3.8394,9.669342,Pizzeria
12609,BNC06,3,8.375374,9.76894,Pizzeria
12640,BNC06,3,12.90279,10.09503,Pizzeria
12673,BNC06,3,17.59444,10.55777,Pizzeria
12707,BNC06,3,22.38419,11.09239,Pizzeria
12744,BNC06,3,27.12225,11.6131,Pizzeria
12780,BNC06,3,31.77621,12.08368,Pizzeria
12817,BNC06,3,36.40533,12.54992,Pizzeria
12855,BNC06,3,40.9702,13.05671,Pizzeria
12893,BNC06,3,45.47565,13.57967,Pizzeria
12931,BNC06,3,50.02406,14.08182,Pizzeria
12972,BNC06,3,54.55626,14.55605,Pizzeria
13037,BNC06,3,58.99761,15.02608,Pizzeria
13146,BNC06,3,63.31156,15.6976,Pizzeria
13195,BNC06,3,64.24323,19.86787,Pizzeria
13332,BNC06,3,65.04975,23.909,Pizzeria
13463,BNC06,3,61.88872,27.67596,Pizzeria
52686,BNC10,1,0.0,-4.1,Pizzeria
52742,BNC10,1,2.234476,-8.495522,Pizzeria
52872,BNC10,1,3.780024,-13.20772,Pizzeria
52977,BNC10,1,9.256481,-14.54678,Pizzeria
53046,BNC10,1,15.7297,-15.03474,Pizzeria
53087,BNC10,1,22.52478,-14.89427,Pizzeria
53139,BNC10,1,29.25177,-14.92986,Pizzeria
