,Participant,Block_num,X,Z,Target_Name
11307,BNC06,1,0.0,-4.1,Police station 
11429,BNC06,1,0.6093431,0.173669,Police station 
11545,BNC06,1,0.6370692,4.547607,Police station 
11781,BNC06,1,5.467556,6.35203,Police station 
11835,BNC06,1,11.27524,8.264511,Police station 
11874,BNC06,1,17.03825,9.79378,Police station 
11920,BNC06,1,22.9187,11.19341,Police station 
11963,BNC06,1,28.79457,12.17926,Police station 
12158,BNC06,1,34.77679,12.67735,Police station 
12400,BNC06,1,40.69676,12.36094,Police station 
12499,BNC06,1,38.04066,16.67173,Police station 
12587,BNC06,1,37.01494,21.7674,Police station 
12634,BNC06,1,36.29945,26.54968,Police station 
12684,BNC06,1,35.84196,31.51463,Police station 
12816,BNC06,1,35.27529,36.38222,Police station 
13088,BNC06,1,39.72322,39.18838,Police station 
13211,BNC06,1,36.41093,41.20319,Police station 
13248,BNC06,1,31.54056,41.18335,Police station 
13284,BNC06,1,26.50739,41.23057,Police station 
13319,BNC06,1,21.39539,41.35162,Police station 
13356,BNC06,1,16.33301,41.50972,Police station 
13390,BNC06,1,11.18499,41.71955,Police station 
13540,BNC06,1,6.088078,41.77645,Police station 
13564,BNC06,1,4.421952,36.66605,Police station 
13676,BNC06,1,2.90849,31.47724,Police station 
13725,BNC06,1,2.185218,26.45381,Police station 
13764,BNC06,1,1.785265,21.2887,Police station 
13945,BNC06,1,1.522425,16.05422,Police station 
13982,BNC06,1,1.433636,11.12705,Police station 
14015,BNC06,1,1.334865,6.302751,Police station 
14050,BNC06,1,1.248965,1.376263,Police station 
14158,BNC06,1,1.050754,-3.521238,Police station 
14274,BNC06,1,1.710321,-8.306129,Police station 
14406,BNC06,1,5.155788,-12.61091,Police station 
14455,BNC06,1,10.25009,-15.15358,Police station 
14494,BNC06,1,15.39314,-17.79126,Police station 
14548,BNC06,1,20.99766,-19.17748,Police station 
14635,BNC06,1,26.69907,-18.44107,Police station 
14736,BNC06,1,32.20583,-17.26865,Police station 
14901,BNC06,1,38.00464,-17.30346,Police station 
15026,BNC06,1,43.52848,-16.17368,Police station 
5763,BNC06,2,0.0,-4.1,Police station 
5812,BNC06,2,-0.07879016,0.8830646,Police station 
5849,BNC06,2,-0.2794358,5.803242,Police station 
5959,BNC06,2,-0.4760916,10.47985,Police station 
6217,BNC06,2,-0.9892261,14.24248,Police station 
6247,BNC06,2,-0.3858361,18.21811,Police station 
6281,BNC06,2,0.3211424,22.20586,Police station 
6313,BNC06,2,1.039497,26.22912,Police station 
6350,BNC06,2,1.649724,30.32426,Police station 
6386,BNC06,2,2.181642,34.51796,Police station 
6520,BNC06,2,2.688419,38.67414,Police station 
6554,BNC06,2,8.031073,40.0628,Police station 
6588,BNC06,2,13.38406,41.52525,Police station 
6638,BNC06,2,18.70559,42.84664,Police station 
6684,BNC06,2,24.04113,43.44124,Police station 
6970,BNC06,2,29.38515,43.87151,Police station 
7021,BNC06,2,29.89853,47.83469,Police station 
7057,BNC06,2,30.44886,51.86759,Police station 
7095,BNC06,2,30.78681,56.20258,Police station 
7138,BNC06,2,30.99597,60.68969,Police station 
7240,BNC06,2,31.20263,65.17719,Police station 
7343,BNC06,2,32.03643,69.60248,Police station 
7423,BNC06,2,34.59204,73.26495,Police station 
7517,BNC06,2,39.4744,75.47118,Police station 
7552,BNC06,2,44.2539,76.59578,Police station 
7588,BNC06,2,49.13447,77.60039,Police station 
7623,BNC06,2,54.17212,78.53253,Police station 
7730,BNC06,2,59.18101,78.87698,Police station 
7769,BNC06,2,62.62326,75.38921,Police station 
7811,BNC06,2,65.95876,71.82813,Police station 
7921,BNC06,2,68.86119,67.88364,Police station 
7956,BNC06,2,69.43628,62.64685,Police station 
7988,BNC06,2,69.81053,57.31526,Police station 
8020,BNC06,2,69.98446,51.90598,Police station 
8056,BNC06,2,69.95674,46.44521,Police station 
8086,BNC06,2,69.87244,40.83509,Police station 
8120,BNC06,2,69.64618,35.16612,Police station 
8157,BNC06,2,69.34464,29.49748,Police station 
8191,BNC06,2,68.95006,23.84547,Police station 
8227,BNC06,2,68.49866,18.2719,Police station 
8263,BNC06,2,68.07706,12.78403,Police station 
8301,BNC06,2,67.62568,7.306141,Police station 
8344,BNC06,2,67.12666,1.902141,Police station 
8455,BNC06,2,66.52724,-3.417216,Police station 
8524,BNC06,2,62.9954,-7.595555,Police station 
8604,BNC06,2,58.93486,-11.51539,Police station 
8705,BNC06,2,54.7846,-15.24114,Police station 
1277,BNC06,3,0.0,-4.1,Police station 
1321,BNC06,3,0.1912345,-0.1787009,Police station 
1360,BNC06,3,0.0930718,3.442816,Police station 
1393,BNC06,3,-0.05219023,6.952487,Police station 
1426,BNC06,3,-0.1865683,10.4539,Police station 
1460,BNC06,3,-0.343105,13.98282,Police station 
1492,BNC06,3,-0.4924026,17.50881,Police station 
1527,BNC06,3,-0.5919098,20.99111,Police station 
1564,BNC06,3,-0.6331391,24.4577,Police station 
1603,BNC06,3,-0.6645027,27.9347,Police station 
1640,BNC06,3,-0.5836006,31.35069,Police station 
1731,BNC06,3,-0.4644534,34.7238,Police station 
1871,BNC06,3,-0.3445883,37.83269,Police station 
1964,BNC06,3,3.194741,39.68836,Police station 
2020,BNC06,3,7.035604,40.41835,Police station 
2061,BNC06,3,10.87788,41.16051,Police station 
2102,BNC06,3,14.64309,41.8924,Police station 
2148,BNC06,3,18.3893,42.57251,Police station 
2304,BNC06,3,22.0196,43.098,Police station 
2527,BNC06,3,25.61664,43.05597,Police station 
2562,BNC06,3,28.32889,39.14759,Police station 
2601,BNC06,3,30.84967,35.3952,Police station 
2638,BNC06,3,33.19237,31.49051,Police station 
2674,BNC06,3,35.29538,27.46881,Police station 
2711,BNC06,3,37.03764,23.15444,Police station 
2748,BNC06,3,38.76453,18.84122,Police station 
2885,BNC06,3,40.72616,14.74257,Police station 
2937,BNC06,3,45.2723,14.48494,Police station 
3017,BNC06,3,49.92652,14.2177,Police station 
3068,BNC06,3,54.56168,13.97198,Police station 
3178,BNC06,3,59.20094,13.59449,Police station 
3220,BNC06,3,62.63607,16.45818,Police station 
3272,BNC06,3,65.14691,20.2285,Police station 
3364,BNC06,3,66.58198,24.54494,Police station 
3427,BNC06,3,67.2208,28.89965,Police station 
3461,BNC06,3,68.08302,33.40429,Police station 
3506,BNC06,3,69.03636,37.69298,Police station 
3667,BNC06,3,69.59041,41.90815,Police station 
3701,BNC06,3,68.81393,37.29758,Police station 
3732,BNC06,3,67.85758,32.75257,Police station 
3763,BNC06,3,67.1658,27.8398,Police station 
3797,BNC06,3,66.56772,22.83578,Police station 
3830,BNC06,3,66.10326,17.77711,Police station 
3864,BNC06,3,65.61172,12.65287,Police station 
3900,BNC06,3,65.13886,7.577652,Police station 
3935,BNC06,3,64.70203,2.568385,Police station 
3970,BNC06,3,64.21019,-2.349484,Police station 
4013,BNC06,3,63.72729,-7.117094,Police station 
4090,BNC06,3,62.93227,-11.50014,Police station 
4164,BNC06,3,58.94545,-13.8596,Police station 
4266,BNC06,3,54.5167,-15.94058,Police station 
4403,BNC06,3,50.10053,-18.02104,Police station 
4783,BNC06,3,46.91306,-19.70291,Police station 
13154,BNC10,1,0.0,-4.1,Police station 
13255,BNC10,1,-0.3212553,-8.912764,Police station 
13392,BNC10,1,-0.1990871,-13.88513,Police station 
14292,BNC10,1,-0.3725965,-18.83623,Police station 
14628,BNC10,1,-6.007246,-18.4417,Police station 
14725,BNC10,1,-0.2060356,-18.32728,Police station 
14836,BNC10,1,5.732238,-18.26092,Police station 
14955,BNC10,1,12.02747,-17.99782,Police station 
15562,BNC10,1,18.71709,-17.73372,Police station 
15628,BNC10,1,25.62428,-17.56169,Police station 
15657,BNC10,1,31.66763,-17.07281,Police station 
15920,BNC10,1,37.74781,-16.01784,Police station 
16077,BNC10,1,43.78456,-17.36976,Police station 
2349,BNC10,2,0.0,-4.1,Police station 
2409,BNC10,2,-0.3339916,-0.005466938,Police station 
2453,BNC10,2,-0.7614028,4.52861,Police station 
2503,BNC10,2,-1.149028,8.858207,Police station 
2543,BNC10,2,1.948468,11.83256,Police station 
2602,BNC10,2,6.220796,12.26626,Police station 
2669,BNC10,2,10.94268,11.84133,Police station 
2717,BNC10,2,15.38425,9.894073,Police station 
2828,BNC10,2,20.27887,8.503244,Police station 
2972,BNC10,2,25.04539,9.502774,Police station 
3074,BNC10,2,30.01259,10.02963,Police station 
3193,BNC10,2,35.04271,10.26757,Police station 
3449,BNC10,2,39.5051,10.52988,Police station 
4678,BNC10,2,44.22562,10.51223,Police station 
4739,BNC10,2,49.06541,11.23827,Police station 
4789,BNC10,2,54.4746,12.16387,Police station 
4967,BNC10,2,59.75983,12.94389,Police station 
5036,BNC10,2,62.17545,9.240637,Police station 
5234,BNC10,2,63.92016,4.667388,Police station 
5408,BNC10,2,65.81765,-0.4778318,Police station 
5592,BNC10,2,67.5205,-5.27015,Police station 
5656,BNC10,2,63.60483,-8.700416,Police station 
5694,BNC10,2,58.97678,-12.33911,Police station 
5742,BNC10,2,54.31586,-16.36556,Police station 
1731,BNC10,3,0.0,-4.1,Police station 
2072,BNC10,3,-0.2666656,-2.409588,Police station 
2159,BNC10,3,-0.346875,1.470929,Police station 
2235,BNC10,3,-0.05661584,5.652362,Police station 
2292,BNC10,3,-0.04599882,10.41753,Police station 
2340,BNC10,3,0.08445516,15.2824,Police station 
2401,BNC10,3,0.02032748,20.28082,Police station 
2467,BNC10,3,0.2185647,25.28111,Police station 
2500,BNC10,3,0.1056795,30.37812,Police station 
2553,BNC10,3,-0.05029453,35.68967,Police station 
3003,BNC10,3,-0.1620707,40.80774,Police station 
3041,BNC10,3,-4.913918,41.45559,Police station 
3081,BNC10,3,-9.706478,42.43681,Police station 
3123,BNC10,3,-14.25007,43.70335,Police station 
3145,BNC10,3,-18.84228,45.14463,Police station 
3231,BNC10,3,-23.67268,46.58224,Police station 
