,Participant,Block_num,X,Z,Target_Name
27588,BNC06,1,0.0,-4.1,Quattroki Restaurant
27680,BNC06,1,0.4450485,0.2741451,Quattroki Restaurant
27744,BNC06,1,0.5857024,4.743046,Quattroki Restaurant
27786,BNC06,1,0.7490535,9.142522,Quattroki Restaurant
27917,BNC06,1,0.865652,13.60275,Quattroki Restaurant
27966,BNC06,1,-4.261203,14.21794,Quattroki Restaurant
28005,BNC06,1,-9.250378,14.487,Quattroki Restaurant
28046,BNC06,1,-14.3614,14.6154,Quattroki Restaurant
28091,BNC06,1,-19.68044,14.59906,Quattroki Restaurant
28138,BNC06,1,-24.94286,14.66387,Quattroki Restaurant
28259,BNC06,1,-30.06057,14.68662,Quattroki Restaurant
28300,BNC06,1,-32.24627,9.417409,Quattroki Restaurant
28338,BNC06,1,-34.40551,4.149906,Quattroki Restaurant
28442,BNC06,1,-36.27581,-1.179455,Quattroki Restaurant
28498,BNC06,1,-36.95673,-6.894152,Quattroki Restaurant
28585,BNC06,1,-37.33432,-12.69376,Quattroki Restaurant
28646,BNC06,1,-39.17469,-17.39121,Quattroki Restaurant
28748,BNC06,1,-44.1493,-18.812,Quattroki Restaurant
28801,BNC06,1,-49.65668,-18.10579,Quattroki Restaurant
28836,BNC06,1,-55.26299,-17.44258,Quattroki Restaurant
28954,BNC06,1,-60.74349,-16.90809,Quattroki Restaurant
29001,BNC06,1,-65.80654,-16.25238,Quattroki Restaurant
29121,BNC06,1,-70.5149,-13.82598,Quattroki Restaurant
29175,BNC06,1,-70.14924,-8.532244,Quattroki Restaurant
29211,BNC06,1,-70.0063,-3.151301,Quattroki Restaurant
29261,BNC06,1,-69.92014,2.237288,Quattroki Restaurant
29356,BNC06,1,-69.99374,7.405796,Quattroki Restaurant
29403,BNC06,1,-70.39701,12.44481,Quattroki Restaurant
29439,BNC06,1,-70.92302,17.52576,Quattroki Restaurant
29553,BNC06,1,-71.37534,22.62837,Quattroki Restaurant
29601,BNC06,1,-71.31638,27.76973,Quattroki Restaurant
29644,BNC06,1,-70.85615,32.90544,Quattroki Restaurant
29690,BNC06,1,-70.38823,38.00293,Quattroki Restaurant
29829,BNC06,1,-69.81888,43.01902,Quattroki Restaurant
29878,BNC06,1,-64.55611,44.58308,Quattroki Restaurant
30005,BNC06,1,-59.2867,46.18873,Quattroki Restaurant
30334,BNC06,1,-54.01641,47.5937,Quattroki Restaurant
30591,BNC06,1,-48.30291,47.64291,Quattroki Restaurant
30711,BNC06,1,-43.40257,47.10531,Quattroki Restaurant
30808,BNC06,1,-39.57783,50.62107,Quattroki Restaurant
30851,BNC06,1,-38.12079,55.98974,Quattroki Restaurant
30898,BNC06,1,-36.57024,61.47564,Quattroki Restaurant
30941,BNC06,1,-35.6178,67.03565,Quattroki Restaurant
31000,BNC06,1,-34.94808,72.71203,Quattroki Restaurant
31304,BNC06,1,-34.66458,78.18617,Quattroki Restaurant
31357,BNC06,1,-40.78423,75.92598,Quattroki Restaurant
19375,BNC06,2,0.0,-4.1,Quattroki Restaurant
19441,BNC06,2,-0.1884417,-0.7185487,Quattroki Restaurant
19491,BNC06,2,-0.4081237,3.20892,Quattroki Restaurant
19536,BNC06,2,-0.5072187,7.547294,Quattroki Restaurant
19577,BNC06,2,-0.475545,12.05875,Quattroki Restaurant
19655,BNC06,2,-0.4166052,16.57916,Quattroki Restaurant
19751,BNC06,2,-0.4153889,21.01987,Quattroki Restaurant
19788,BNC06,2,-0.4375172,25.41812,Quattroki Restaurant
19821,BNC06,2,-0.3539262,29.98894,Quattroki Restaurant
19855,BNC06,2,-0.2727593,34.69041,Quattroki Restaurant
