,Participant,Block_num,X,Z,Target_Name
1663,BNC06,2,0.0,-4.1,Automobile shop
1865,BNC06,2,0.6963189,1.180709,Automobile shop
1932,BNC06,2,0.6156113,-3.402153,Automobile shop
2003,BNC06,2,0.1970573,-8.540514,Automobile shop
2088,BNC06,2,0.04547071,-13.1645,Automobile shop
2242,BNC06,2,0.3772556,-17.35603,Automobile shop
2317,BNC06,2,0.6092085,-20.53682,Automobile shop
2355,BNC06,2,0.887418,-24.21979,Automobile shop
2401,BNC06,2,1.275243,-28.08687,Automobile shop
2442,BNC06,2,1.654543,-31.95983,Automobile shop
2497,BNC06,2,2.079974,-35.86674,Automobile shop
2549,BNC06,2,2.438799,-39.72959,Automobile shop
2637,BNC06,2,2.526339,-43.50547,Automobile shop
2725,BNC06,2,1.489672,-47.10411,Automobile shop
2841,BNC06,2,-0.5290521,-50.45802,Automobile shop
3089,BNC06,2,-3.938469,-52.61195,Automobile shop
3127,BNC06,2,-0.3921007,-52.76488,Automobile shop
3237,BNC06,2,3.337919,-52.88392,Automobile shop
3362,BNC06,2,7.43559,-52.7789,Automobile shop
3408,BNC06,2,11.62211,-52.36222,Automobile shop
3447,BNC06,2,16.03165,-51.83249,Automobile shop
3494,BNC06,2,20.60462,-51.45722,Automobile shop
3627,BNC06,2,25.23235,-51.04549,Automobile shop
3764,BNC06,2,29.08153,-49.70909,Automobile shop
3805,BNC06,2,29.53171,-45.01496,Automobile shop
3841,BNC06,2,29.96352,-40.13041,Automobile shop
3874,BNC06,2,30.39956,-35.18252,Automobile shop
3911,BNC06,2,30.7383,-30.27408,Automobile shop
3943,BNC06,2,31.1331,-25.26991,Automobile shop
4028,BNC06,2,31.53215,-20.26092,Automobile shop
4145,BNC06,2,31.84447,-15.35318,Automobile shop
4187,BNC06,2,32.07309,-10.52829,Automobile shop
4223,BNC06,2,32.27346,-5.699942,Automobile shop
4271,BNC06,2,32.63704,-0.8983366,Automobile shop
4371,BNC06,2,33.09401,3.722699,Automobile shop
4514,BNC06,2,33.2342,7.998373,Automobile shop
4564,BNC06,2,28.32309,8.485442,Automobile shop
4683,BNC06,2,23.38361,9.058466,Automobile shop
4720,BNC06,2,18.59955,9.732789,Automobile shop
4755,BNC06,2,13.77466,10.37706,Automobile shop
4801,BNC06,2,8.949831,11.12308,Automobile shop
4914,BNC06,2,4.384526,11.85565,Automobile shop
4947,BNC06,2,-0.9393278,12.17138,Automobile shop
4978,BNC06,2,-6.270668,12.66838,Automobile shop
5012,BNC06,2,-11.62944,13.39389,Automobile shop
5116,BNC06,2,-17.15261,14.15753,Automobile shop
5156,BNC06,2,-22.89116,14.85146,Automobile shop
5191,BNC06,2,-28.70351,15.47753,Automobile shop
5231,BNC06,2,-34.52843,16.12156,Automobile shop
5276,BNC06,2,-40.36402,16.70488,Automobile shop
5395,BNC06,2,-46.14749,17.13174,Automobile shop
309,BNC10,2,0.0,-4.1,Automobile shop
365,BNC10,2,0.3240825,-0.8319256,Automobile shop
474,BNC10,2,0.4554766,2.441583,Automobile shop
778,BNC10,2,0.4591373,6.002983,Automobile shop
908,BNC10,2,-5.298359,7.526913,Automobile shop
986,BNC10,2,-11.38068,8.612711,Automobile shop
1094,BNC10,2,-17.48314,9.922971,Automobile shop
1153,BNC10,2,-23.48327,11.2767,Automobile shop
1205,BNC10,2,-29.58425,12.67905,Automobile shop
1248,BNC10,2,-35.76817,13.77097,Automobile shop
1418,BNC10,2,-42.10722,14.60891,Automobile shop
1578,BNC10,2,-47.83875,15.64229,Automobile shop
1003,BNC13,2,0.0,-4.1,Automobile shop
1096,BNC13,2,0.08757159,-2.251864,Automobile shop
1187,BNC13,2,0.257006,-0.2235321,Automobile shop
1278,BNC13,2,0.4125225,1.841568,Automobile shop
1370,BNC13,2,0.5427136,3.847529,Automobile shop
1509,BNC13,2,0.7011257,5.824456,Automobile shop
1588,BNC13,2,-1.103974,6.846674,Automobile shop
1669,BNC13,2,-3.513438,7.920767,Automobile shop
1756,BNC13,2,-6.507521,8.986237,Automobile shop
1865,BNC13,2,-10.13877,9.868767,Automobile shop
1950,BNC13,2,-14.17504,10.3423,Automobile shop
2035,BNC13,2,-18.81664,10.76882,Automobile shop
2121,BNC13,2,-23.68472,11.30592,Automobile shop
2204,BNC13,2,-28.73463,11.82467,Automobile shop
2294,BNC13,2,-33.9073,12.36688,Automobile shop
2385,BNC13,2,-38.98362,12.84651,Automobile shop
2601,BNC13,2,-44.05869,13.28326,Automobile shop
2942,BNC13,2,-49.76881,15.78902,Automobile shop
664,BNC14,2,0.0,-4.1,Automobile shop
724,BNC14,2,-0.1343766,-1.354895,Automobile shop
762,BNC14,2,-0.005361453,1.329383,Automobile shop
798,BNC14,2,0.1297708,3.905809,Automobile shop
839,BNC14,2,0.3347248,6.639407,Automobile shop
981,BNC14,2,0.6940921,9.276697,Automobile shop
1018,BNC14,2,-2.460834,9.819892,Automobile shop
1048,BNC14,2,-5.429628,10.31963,Automobile shop
1079,BNC14,2,-8.447658,10.83926,Automobile shop
1105,BNC14,2,-11.53914,11.3359,Automobile shop
1132,BNC14,2,-14.66864,11.79103,Automobile shop
1159,BNC14,2,-17.80922,12.211,Automobile shop
1190,BNC14,2,-20.97791,12.557,Automobile shop
1222,BNC14,2,-24.25869,12.7018,Automobile shop
1255,BNC14,2,-27.60029,12.63158,Automobile shop
1286,BNC14,2,-30.94905,12.51877,Automobile shop
1319,BNC14,2,-34.30758,12.32581,Automobile shop
1359,BNC14,2,-37.58364,12.09148,Automobile shop
1526,BNC14,2,-41.03002,11.83261,Automobile shop
1616,BNC14,2,-43.33198,13.28077,Automobile shop
1738,BNC14,2,-46.20162,14.70538,Automobile shop
1955,BNC14,2,-49.67163,16.03666,Automobile shop
2263,BNC15,2,0.0,-4.1,Automobile shop
2442,BNC15,2,-0.5498523,2.730848,Automobile shop
2644,BNC15,2,0.004255116,9.603915,Automobile shop
2740,BNC15,2,-6.61701,10.79724,Automobile shop
2820,BNC15,2,-13.36627,11.67046,Automobile shop
2907,BNC15,2,-20.14746,12.81713,Automobile shop
2987,BNC15,2,-26.96728,13.8071,Automobile shop
3063,BNC15,2,-33.81,14.71467,Automobile shop
3219,BNC15,2,-40.66993,15.65,Automobile shop
3423,BNC15,2,-47.58875,16.02913,Automobile shop
4030,BNC15,2,-52.96274,15.99652,Automobile shop
579,BNC16,2,0.0,-4.1,Automobile shop
742,BNC16,2,0.5264229,-1.707147,Automobile shop
830,BNC16,2,1.104422,1.37603,Automobile shop
893,BNC16,2,1.387007,3.692185,Automobile shop
958,BNC16,2,1.626339,8.668167,Automobile shop
1072,BNC16,2,1.641914,13.58833,Automobile shop
1136,BNC16,2,-4.248817,13.42398,Automobile shop
1178,BNC16,2,-9.647499,13.10182,Automobile shop
1233,BNC16,2,-15.14839,12.92838,Automobile shop
1280,BNC16,2,-20.4847,13.1421,Automobile shop
1331,BNC16,2,-25.39347,13.29882,Automobile shop
1376,BNC16,2,-29.86555,13.08533,Automobile shop
1429,BNC16,2,-34.08993,12.74857,Automobile shop
1487,BNC16,2,-38.02136,12.73052,Automobile shop
1609,BNC16,2,-42.19714,12.48808,Automobile shop
1734,BNC16,2,-46.38498,12.79354,Automobile shop
1010,BNC17,2,0.0,-4.1,Automobile shop
1277,BNC17,2,-0.0861364,1.78557,Automobile shop
1430,BNC17,2,-3.651289,6.618239,Automobile shop
1603,BNC17,2,-9.194461,9.294148,Automobile shop
1862,BNC17,2,-15.54344,10.15002,Automobile shop
2103,BNC17,2,-21.65692,11.89927,Automobile shop
2223,BNC17,2,-28.16575,13.41529,Automobile shop
2355,BNC17,2,-34.86873,14.66848,Automobile shop
2534,BNC17,2,-41.58054,15.99246,Automobile shop
3000,BNC17,2,-48.11133,16.84519,Automobile shop
2616,BNC18,2,0.0,-4.1,Automobile shop
2724,BNC18,2,0.2161716,-0.6187354,Automobile shop
2933,BNC18,2,0.6196447,2.855286,Automobile shop
3015,BNC18,2,1.169238,6.233171,Automobile shop
3184,BNC18,2,1.742471,9.459216,Automobile shop
3249,BNC18,2,-1.272371,9.861732,Automobile shop
3302,BNC18,2,-4.925615,10.15802,Automobile shop
3372,BNC18,2,-8.858646,10.69202,Automobile shop
3429,BNC18,2,-12.99608,11.18641,Automobile shop
3481,BNC18,2,-17.72274,11.82091,Automobile shop
3528,BNC18,2,-22.47274,12.21579,Automobile shop
3581,BNC18,2,-27.35052,12.63769,Automobile shop
3633,BNC18,2,-32.24367,13.05888,Automobile shop
3686,BNC18,2,-36.98513,13.43438,Automobile shop
3834,BNC18,2,-42.0857,14.40118,Automobile shop
3978,BNC18,2,-47.36647,15.42642,Automobile shop
585,BNC19,2,0.0,-4.1,Automobile shop
772,BNC19,2,-0.8857793,2.580967,Automobile shop
910,BNC19,2,0.2245455,9.5165,Automobile shop
1124,BNC19,2,0.9170511,16.57163,Automobile shop
1230,BNC19,2,-6.218526,17.10219,Automobile shop
1318,BNC19,2,-13.32098,16.33335,Automobile shop
1386,BNC19,2,-19.82523,15.58013,Automobile shop
1443,BNC19,2,-26.39361,14.76582,Automobile shop
1499,BNC19,2,-32.91917,14.00536,Automobile shop
1553,BNC19,2,-39.39077,13.51151,Automobile shop
1787,BNC19,2,-45.73436,13.12184,Automobile shop
1949,BNC19,2,-49.97958,15.96589,Automobile shop
465,BNC20,2,0.0,-4.1,Automobile shop
525,BNC20,2,0.3155806,-0.2211607,Automobile shop
578,BNC20,2,0.6062787,4.047654,Automobile shop
702,BNC20,2,0.2962624,8.201052,Automobile shop
758,BNC20,2,-5.296679,8.826925,Automobile shop
815,BNC20,2,-11.2297,9.961884,Automobile shop
880,BNC20,2,-17.49073,11.16641,Automobile shop
944,BNC20,2,-23.98424,12.28623,Automobile shop
1005,BNC20,2,-30.53156,13.62396,Automobile shop
1068,BNC20,2,-37.21262,14.75662,Automobile shop
1412,BNC20,2,-43.96549,15.4163,Automobile shop
1669,BNC20,2,-49.74118,15.93275,Automobile shop
2000,BNC20,2,-52.8841,16.79466,Automobile shop
1186,BNC24,2,0.0,-4.1,Automobile shop
1248,BNC24,2,0.5451285,0.7437143,Automobile shop
1400,BNC24,2,0.7750683,5.908093,Automobile shop
1502,BNC24,2,-1.929529,9.575686,Automobile shop
1569,BNC24,2,-7.398535,10.90619,Automobile shop
1627,BNC24,2,-13.63929,11.98481,Automobile shop
1676,BNC24,2,-20.25131,12.87819,Automobile shop
1723,BNC24,2,-27.04816,13.9229,Automobile shop
1785,BNC24,2,-33.95987,14.81869,Automobile shop
1847,BNC24,2,-40.87023,15.68924,Automobile shop
2214,BNC24,2,-47.71715,16.35021,Automobile shop
1763,BNC25,2,0.0,-4.1,Automobile shop
1887,BNC25,2,-0.5701761,2.051729,Automobile shop
3095,BNC25,2,-0.6405556,8.203527,Automobile shop
3207,BNC25,2,-0.2858837,13.86414,Automobile shop
3271,BNC25,2,-0.09157486,19.95368,Automobile shop
3309,BNC25,2,0.1486697,26.31814,Automobile shop
3437,BNC25,2,0.240184,32.70684,Automobile shop
3844,BNC25,2,-0.94887,38.62997,Automobile shop
3918,BNC25,2,4.350931,39.20328,Automobile shop
4065,BNC25,2,9.831392,39.57227,Automobile shop
4174,BNC25,2,15.38666,40.09314,Automobile shop
4296,BNC25,2,20.92562,39.77953,Automobile shop
4407,BNC25,2,25.72447,38.44036,Automobile shop
4974,BNC25,2,29.96327,36.40763,Automobile shop
5155,BNC25,2,34.84501,34.35474,Automobile shop
5212,BNC25,2,34.85877,29.29204,Automobile shop
5256,BNC25,2,34.94465,23.90782,Automobile shop
5312,BNC25,2,35.17132,18.34892,Automobile shop
5495,BNC25,2,35.47641,12.6928,Automobile shop
5879,BNC25,2,35.02001,6.926649,Automobile shop
5990,BNC25,2,38.76439,9.39081,Automobile shop
6074,BNC25,2,42.97994,10.9291,Automobile shop
6163,BNC25,2,47.50354,12.3073,Automobile shop
6360,BNC25,2,52.22916,13.56671,Automobile shop
6537,BNC25,2,57.32288,13.67053,Automobile shop
6806,BNC25,2,62.3365,13.90828,Automobile shop
6897,BNC25,2,63.105,19.06121,Automobile shop
7034,BNC25,2,63.59283,24.58091,Automobile shop
7154,BNC25,2,64.35519,30.08164,Automobile shop
7538,BNC25,2,65.27567,35.53292,Automobile shop
7621,BNC25,2,60.22448,37.86968,Automobile shop
7823,BNC25,2,55.11562,39.46932,Automobile shop
7925,BNC25,2,49.57214,39.48234,Automobile shop
8129,BNC25,2,43.84035,39.63545,Automobile shop
8721,BNC25,2,38.25279,40.03682,Automobile shop
8857,BNC25,2,36.44526,45.05162,Automobile shop
8947,BNC25,2,35.05534,50.39919,Automobile shop
9041,BNC25,2,33.7958,56.09989,Automobile shop
9161,BNC25,2,32.44943,61.73754,Automobile shop
9255,BNC25,2,31.00377,67.52885,Automobile shop
9442,BNC25,2,30.28993,73.35222,Automobile shop
9603,BNC25,2,25.81416,77.6256,Automobile shop
9692,BNC25,2,20.09885,77.74456,Automobile shop
9767,BNC25,2,14.44859,77.58572,Automobile shop
10489,BNC25,2,8.707099,77.42642,Automobile shop
10545,BNC25,2,3.186053,77.30936,Automobile shop
10751,BNC25,2,-1.866178,77.35711,Automobile shop
10842,BNC25,2,-7.145046,77.79938,Automobile shop
10893,BNC25,2,-12.77676,76.43629,Automobile shop
10929,BNC25,2,-18.94059,76.23357,Automobile shop
10982,BNC25,2,-25.05182,76.29941,Automobile shop
11802,BNC25,2,-31.21134,76.74493,Automobile shop
11857,BNC25,2,-36.76994,77.31278,Automobile shop
11877,BNC25,2,-42.5327,77.97749,Automobile shop
11924,BNC25,2,-48.55565,78.42789,Automobile shop
11975,BNC25,2,-54.67102,78.86581,Automobile shop
12124,BNC25,2,-61.07216,78.70379,Automobile shop
12231,BNC25,2,-64.34432,75.76126,Automobile shop
12316,BNC25,2,-66.08006,71.54841,Automobile shop
12353,BNC25,2,-66.82845,66.79056,Automobile shop
12400,BNC25,2,-67.6996,61.6962,Automobile shop
12496,BNC25,2,-68.3454,56.38714,Automobile shop
12584,BNC25,2,-68.89487,50.99833,Automobile shop
12661,BNC25,2,-69.4788,45.39885,Automobile shop
12714,BNC25,2,-69.76668,39.70856,Automobile shop
12764,BNC25,2,-69.90701,33.93986,Automobile shop
12822,BNC25,2,-70.20561,28.16848,Automobile shop
13230,BNC25,2,-70.43587,22.38846,Automobile shop
14431,BNC25,2,-70.19604,16.92848,Automobile shop
14742,BNC25,2,-65.8312,17.63753,Automobile shop
15118,BNC25,2,-62.61731,18.04946,Automobile shop
15189,BNC25,2,-58.25114,15.85534,Automobile shop
15352,BNC25,2,-53.29962,14.11625,Automobile shop
15496,BNC25,2,-47.66146,13.24804,Automobile shop
16221,BNC25,2,-41.71577,13.59819,Automobile shop
16276,BNC25,2,-40.71175,8.498316,Automobile shop
16406,BNC25,2,-39.80032,3.094556,Automobile shop
