,Participant,Block_num,X,Z,Target_Name
9059,BNC06,2,0.0,-4.1,Fire Station
9089,BNC06,2,-0.1043369,0.4922522,Fire Station
9123,BNC06,2,-0.03216192,5.451971,Fire Station
9157,BNC06,2,-0.0009514838,10.91963,Fire Station
9191,BNC06,2,0.09457883,16.59599,Fire Station
9291,BNC06,2,0.2787212,22.50029,Fire Station
9325,BNC06,2,0.4128458,28.62547,Fire Station
9397,BNC06,2,0.5530153,34.81365,Fire Station
9434,BNC06,2,0.7050507,41.09243,Fire Station
9469,BNC06,2,0.8584737,47.36889,Fire Station
9510,BNC06,2,1.005643,53.66192,Fire Station
9552,BNC06,2,1.08686,59.91668,Fire Station
9604,BNC06,2,1.099968,66.14072,Fire Station
9720,BNC06,2,1.125097,72.31434,Fire Station
9756,BNC06,2,-3.924189,74.74357,Fire Station
9793,BNC06,2,-9.205217,77.11745,Fire Station
9889,BNC06,2,-14.67791,79.07826,Fire Station
9944,BNC06,2,-20.79116,78.88071,Fire Station
9984,BNC06,2,-26.94142,78.88741,Fire Station
10025,BNC06,2,-33.17083,78.91132,Fire Station
10124,BNC06,2,-39.49438,78.77171,Fire Station
10173,BNC06,2,-45.73592,78.33913,Fire Station
10382,BNC06,2,-51.92855,77.67088,Fire Station
10445,BNC06,2,-46.21484,77.41144,Fire Station
10489,BNC06,2,-40.32189,77.07944,Fire Station
10531,BNC06,2,-34.21256,76.62748,Fire Station
10575,BNC06,2,-28.00817,76.48098,Fire Station
10614,BNC06,2,-21.65331,76.28747,Fire Station
10652,BNC06,2,-15.29822,76.37829,Fire Station
10692,BNC06,2,-8.922814,76.50255,Fire Station
10732,BNC06,2,-2.601392,76.42982,Fire Station
10780,BNC06,2,3.602877,75.99449,Fire Station
10826,BNC06,2,9.607651,75.35696,Fire Station
10973,BNC06,2,15.65291,74.49134,Fire Station
5859,BNC10,2,0.0,-4.1,Fire Station
6787,BNC10,2,-2.652103,-5.878053,Fire Station
6857,BNC10,2,-0.8268929,-3.255734,Fire Station
6967,BNC10,2,1.04959,-0.3969705,Fire Station
7030,BNC10,2,1.823682,2.735316,Fire Station
7354,BNC10,2,2.587497,5.737391,Fire Station
7862,BNC10,2,4.236093,8.043533,Fire Station
7913,BNC10,2,4.158031,12.79243,Fire Station
7951,BNC10,2,3.857604,17.84139,Fire Station
7995,BNC10,2,3.439138,23.0453,Fire Station
8016,BNC10,2,2.953999,28.60794,Fire Station
8039,BNC10,2,2.50297,34.4454,Fire Station
8055,BNC10,2,2.024866,40.26001,Fire Station
8086,BNC10,2,1.527469,46.11761,Fire Station
