,Participant,Block_num,X,Z,Target_Name
21245,BNC06,2,0.0,-4.1,High School
21281,BNC06,2,-0.05795243,0.1903016,High School
21318,BNC06,2,-0.02959758,4.432119,High School
21353,BNC06,2,-0.1051731,8.482862,High School
21499,BNC06,2,-0.2409568,12.14721,High School
21534,BNC06,2,4.834082,11.52833,High School
21568,BNC06,2,10.06595,10.95213,High School
21602,BNC06,2,15.24124,10.59953,High School
21637,BNC06,2,20.32919,10.38793,High School
21679,BNC06,2,25.27449,10.90644,High School
21719,BNC06,2,30.32183,11.28782,High School
21755,BNC06,2,35.45753,11.65468,High School
21797,BNC06,2,40.66169,12.10844,High School
21832,BNC06,2,45.9313,12.6197,High School
21877,BNC06,2,51.22573,13.1719,High School
21923,BNC06,2,56.54122,13.68347,High School
22049,BNC06,2,61.79744,14.29675,High School
22102,BNC06,2,63.58968,19.37149,High School
22140,BNC06,2,65.15413,24.33839,High School
22178,BNC06,2,66.49366,29.59253,High School
22208,BNC06,2,67.48592,35.04029,High School
22243,BNC06,2,68.3384,40.49454,High School
22278,BNC06,2,69.0272,46.05196,High School
22420,BNC06,2,69.54932,51.60815,High School
22552,BNC06,2,67.51465,57.77846,High School
86628,BNC10,2,0.0,-4.1,High School
86938,BNC10,2,-0.6134076,-2.180126,High School
86991,BNC10,2,-2.02419,1.569781,High School
87031,BNC10,2,-2.922715,4.631484,High School
87227,BNC10,2,-3.511863,7.393958,High School
87520,BNC10,2,-4.137904,9.834438,High School
87563,BNC10,2,-7.855492,10.19229,High School
87590,BNC10,2,-11.49848,10.79059,High School
87671,BNC10,2,-15.14511,11.48382,High School
87721,BNC10,2,-18.84063,12.05921,High School
87773,BNC10,2,-22.67037,12.28829,High School
87931,BNC10,2,-26.45687,12.53216,High School
87983,BNC10,2,-30.22516,12.45609,High School
88083,BNC10,2,-33.98433,12.69629,High School
88180,BNC10,2,-38.1055,12.25738,High School
88919,BNC10,2,-42.07626,12.0771,High School
88970,BNC10,2,-41.19403,16.57434,High School
89000,BNC10,2,-40.62017,21.43978,High School
89030,BNC10,2,-39.87195,26.07111,High School
89077,BNC10,2,-39.14063,30.88207,High School
89238,BNC10,2,-38.63688,35.4219,High School
89481,BNC10,2,-38.21473,39.43252,High School
89570,BNC10,2,-37.63904,43.44738,High School
89769,BNC10,2,-36.98705,47.48959,High School
89827,BNC10,2,-36.73816,51.19781,High School
89865,BNC10,2,-36.97707,55.12381,High School
89901,BNC10,2,-37.04644,59.37051,High School
90046,BNC10,2,-37.08077,63.86284,High School
90138,BNC10,2,-36.79258,67.34087,High School
90285,BNC10,2,-36.89198,70.85982,High School
90442,BNC10,2,-34.61525,72.78817,High School
90526,BNC10,2,-30.13787,73.37039,High School
90549,BNC10,2,-25.31876,73.40111,High School
90603,BNC10,2,-20.37629,73.60425,High School
90647,BNC10,2,-15.52813,73.98898,High School
90700,BNC10,2,-10.65119,74.31582,High School
90857,BNC10,2,-5.541121,74.5912,High School
90920,BNC10,2,-0.4368162,74.68426,High School
90969,BNC10,2,4.912257,74.79059,High School
91046,BNC10,2,10.20801,74.68972,High School
91077,BNC10,2,15.53199,74.70396,High School
91111,BNC10,2,20.96453,74.80611,High School
91169,BNC10,2,26.51505,75.00414,High School
91219,BNC10,2,32.04723,75.04619,High School
91286,BNC10,2,37.40448,74.74872,High School
91338,BNC10,2,42.82468,74.51784,High School
91387,BNC10,2,48.28849,74.33625,High School
91629,BNC10,2,53.58928,73.89643,High School
91687,BNC10,2,47.78508,73.50515,High School
91730,BNC10,2,41.56488,74.23352,High School
91885,BNC10,2,35.44667,74.68515,High School
92001,BNC10,2,29.68479,74.98634,High School
92054,BNC10,2,23.34615,75.05859,High School
92127,BNC10,2,17.03449,75.48696,High School
92182,BNC10,2,10.88981,75.87361,High School
92202,BNC10,2,4.623224,76.15369,High School
92221,BNC10,2,-1.625729,76.81236,High School
92276,BNC10,2,-7.994134,77.55472,High School
92328,BNC10,2,-14.32952,78.05957,High School
92396,BNC10,2,-20.3934,78.5399,High School
92584,BNC10,2,-26.59144,78.82652,High School
92636,BNC10,2,-32.64595,78.77822,High School
92670,BNC10,2,-38.85631,78.83824,High School
92763,BNC10,2,-45.1621,78.63794,High School
92813,BNC10,2,-51.49428,78.54076,High School
92845,BNC10,2,-57.81563,78.06113,High School
92974,BNC10,2,-63.93917,77.27122,High School
92993,BNC10,2,-66.01616,71.60392,High School
93015,BNC10,2,-67.91045,65.65734,High School
93126,BNC10,2,-69.53929,59.73127,High School
93188,BNC10,2,-69.73719,53.68297,High School
