,Participant,Block_num,X,Z,Target_Name
14826,BNC06,2,0.0,-4.1,Pawn Shop
14864,BNC06,2,-0.2682831,-8.029744,Pawn Shop
14913,BNC06,2,-0.2869695,-11.86852,Pawn Shop
15158,BNC06,2,0.2827333,-15.07099,Pawn Shop
15197,BNC06,2,-3.240954,-15.33497,Pawn Shop
15235,BNC06,2,-6.916331,-15.6838,Pawn Shop
15274,BNC06,2,-10.63993,-16.10441,Pawn Shop
15310,BNC06,2,-14.36439,-16.55736,Pawn Shop
15351,BNC06,2,-18.03325,-17.00078,Pawn Shop
15399,BNC06,2,-21.73304,-17.45408,Pawn Shop
15447,BNC06,2,-25.37508,-17.853,Pawn Shop
15504,BNC06,2,-28.9386,-18.28662,Pawn Shop
15610,BNC06,2,-32.32873,-18.72557,Pawn Shop
15723,BNC06,2,-35.49766,-19.4299,Pawn Shop
15888,BNC06,2,-35.93913,-24.19138,Pawn Shop
16024,BNC06,2,-32.3937,-28.84341,Pawn Shop
46022,BNC10,2,0.0,-4.1,Pawn Shop
46664,BNC10,2,-0.3804368,-2.243175,Pawn Shop
46721,BNC10,2,-0.5694805,-5.150043,Pawn Shop
46743,BNC10,2,-0.8069923,-8.02659,Pawn Shop
46765,BNC10,2,-1.019118,-11.01678,Pawn Shop
46780,BNC10,2,-1.3632,-13.93309,Pawn Shop
46877,BNC10,2,-1.356881,-13.93077,Pawn Shop
47015,BNC10,2,-6.218179,-15.22098,Pawn Shop
47069,BNC10,2,-10.81002,-15.67136,Pawn Shop
47104,BNC10,2,-15.57199,-16.10208,Pawn Shop
47304,BNC10,2,-20.36403,-16.18275,Pawn Shop
47680,BNC10,2,-25.79601,-16.43464,Pawn Shop
47764,BNC10,2,-31.10554,-17.10359,Pawn Shop
47974,BNC10,2,-35.83476,-18.40403,Pawn Shop
48083,BNC10,2,-40.27734,-18.30898,Pawn Shop
48349,BNC10,2,-45.26929,-17.8348,Pawn Shop
48465,BNC10,2,-43.44271,-22.99124,Pawn Shop
48584,BNC10,2,-42.32324,-28.27796,Pawn Shop
48645,BNC10,2,-37.19808,-29.5272,Pawn Shop
48780,BNC10,2,-31.55736,-30.98357,Pawn Shop
23844,BNC13,2,0.0,-4.1,Pawn Shop
24069,BNC13,2,-0.1029933,-0.2792163,Pawn Shop
24416,BNC13,2,-0.3101474,3.297623,Pawn Shop
24531,BNC13,2,2.756504,4.544218,Pawn Shop
24678,BNC13,2,6.45342,5.782564,Pawn Shop
24809,BNC13,2,10.91615,6.20011,Pawn Shop
24948,BNC13,2,15.30848,6.683193,Pawn Shop
25210,BNC13,2,19.80895,7.232129,Pawn Shop
25630,BNC13,2,24.00101,7.217875,Pawn Shop
26595,BNC13,2,27.85226,7.719752,Pawn Shop
26690,BNC13,2,29.41393,10.16962,Pawn Shop
26789,BNC13,2,30.88927,13.88506,Pawn Shop
26890,BNC13,2,32.27639,18.19657,Pawn Shop
26995,BNC13,2,33.48727,22.86764,Pawn Shop
27208,BNC13,2,34.21341,27.83197,Pawn Shop
27759,BNC13,2,34.27214,32.72885,Pawn Shop
27895,BNC13,2,34.86829,35.82727,Pawn Shop
27984,BNC13,2,37.7915,36.58436,Pawn Shop
28062,BNC13,2,41.60889,37.29345,Pawn Shop
28146,BNC13,2,45.7543,37.95657,Pawn Shop
28223,BNC13,2,50.50755,38.83212,Pawn Shop
28353,BNC13,2,55.50583,39.27942,Pawn Shop
29916,BNC13,2,59.74609,38.5017,Pawn Shop
30129,BNC13,2,62.18113,35.61454,Pawn Shop
30233,BNC13,2,62.74361,32.36468,Pawn Shop
30318,BNC13,2,63.27431,28.99838,Pawn Shop
30404,BNC13,2,63.86075,25.3947,Pawn Shop
30501,BNC13,2,64.17741,21.43274,Pawn Shop
30612,BNC13,2,64.30582,17.48886,Pawn Shop
30731,BNC13,2,63.91698,13.35334,Pawn Shop
30786,BNC13,2,63.59952,9.084982,Pawn Shop
30832,BNC13,2,63.46493,4.438709,Pawn Shop
30870,BNC13,2,63.44331,-0.632063,Pawn Shop
30915,BNC13,2,63.30124,-5.505939,Pawn Shop
30951,BNC13,2,63.15302,-10.44907,Pawn Shop
31091,BNC13,2,63.00318,-15.45572,Pawn Shop
31174,BNC13,2,62.71312,-20.40177,Pawn Shop
