,Participant,Block_num,X,Z,Target_Name
5763,BNC06,2,0.0,-4.1,Police station 
5812,BNC06,2,-0.07879016,0.8830646,Police station 
5849,BNC06,2,-0.2794358,5.803242,Police station 
5959,BNC06,2,-0.4760916,10.47985,Police station 
6217,BNC06,2,-0.9892261,14.24248,Police station 
6247,BNC06,2,-0.3858361,18.21811,Police station 
6281,BNC06,2,0.3211424,22.20586,Police station 
6313,BNC06,2,1.039497,26.22912,Police station 
6350,BNC06,2,1.649724,30.32426,Police station 
6386,BNC06,2,2.181642,34.51796,Police station 
6520,BNC06,2,2.688419,38.67414,Police station 
6554,BNC06,2,8.031073,40.0628,Police station 
6588,BNC06,2,13.38406,41.52525,Police station 
6638,BNC06,2,18.70559,42.84664,Police station 
6684,BNC06,2,24.04113,43.44124,Police station 
6970,BNC06,2,29.38515,43.87151,Police station 
7021,BNC06,2,29.89853,47.83469,Police station 
7057,BNC06,2,30.44886,51.86759,Police station 
7095,BNC06,2,30.78681,56.20258,Police station 
7138,BNC06,2,30.99597,60.68969,Police station 
7240,BNC06,2,31.20263,65.17719,Police station 
7343,BNC06,2,32.03643,69.60248,Police station 
7423,BNC06,2,34.59204,73.26495,Police station 
7517,BNC06,2,39.4744,75.47118,Police station 
7552,BNC06,2,44.2539,76.59578,Police station 
7588,BNC06,2,49.13447,77.60039,Police station 
7623,BNC06,2,54.17212,78.53253,Police station 
7730,BNC06,2,59.18101,78.87698,Police station 
7769,BNC06,2,62.62326,75.38921,Police station 
7811,BNC06,2,65.95876,71.82813,Police station 
7921,BNC06,2,68.86119,67.88364,Police station 
7956,BNC06,2,69.43628,62.64685,Police station 
7988,BNC06,2,69.81053,57.31526,Police station 
8020,BNC06,2,69.98446,51.90598,Police station 
8056,BNC06,2,69.95674,46.44521,Police station 
8086,BNC06,2,69.87244,40.83509,Police station 
8120,BNC06,2,69.64618,35.16612,Police station 
8157,BNC06,2,69.34464,29.49748,Police station 
8191,BNC06,2,68.95006,23.84547,Police station 
8227,BNC06,2,68.49866,18.2719,Police station 
8263,BNC06,2,68.07706,12.78403,Police station 
8301,BNC06,2,67.62568,7.306141,Police station 
8344,BNC06,2,67.12666,1.902141,Police station 
8455,BNC06,2,66.52724,-3.417216,Police station 
8524,BNC06,2,62.9954,-7.595555,Police station 
8604,BNC06,2,58.93486,-11.51539,Police station 
8705,BNC06,2,54.7846,-15.24114,Police station 
2349,BNC10,2,0.0,-4.1,Police station 
2409,BNC10,2,-0.3339916,-0.005466938,Police station 
2453,BNC10,2,-0.7614028,4.52861,Police station 
2503,BNC10,2,-1.149028,8.858207,Police station 
2543,BNC10,2,1.948468,11.83256,Police station 
2602,BNC10,2,6.220796,12.26626,Police station 
2669,BNC10,2,10.94268,11.84133,Police station 
2717,BNC10,2,15.38425,9.894073,Police station 
2828,BNC10,2,20.27887,8.503244,Police station 
2972,BNC10,2,25.04539,9.502774,Police station 
3074,BNC10,2,30.01259,10.02963,Police station 
3193,BNC10,2,35.04271,10.26757,Police station 
3449,BNC10,2,39.5051,10.52988,Police station 
4678,BNC10,2,44.22562,10.51223,Police station 
4739,BNC10,2,49.06541,11.23827,Police station 
4789,BNC10,2,54.4746,12.16387,Police station 
4967,BNC10,2,59.75983,12.94389,Police station 
5036,BNC10,2,62.17545,9.240637,Police station 
5234,BNC10,2,63.92016,4.667388,Police station 
5408,BNC10,2,65.81765,-0.4778318,Police station 
5592,BNC10,2,67.5205,-5.27015,Police station 
5656,BNC10,2,63.60483,-8.700416,Police station 
5694,BNC10,2,58.97678,-12.33911,Police station 
5742,BNC10,2,54.31586,-16.36556,Police station 
4860,BNC13,2,0.0,-4.1,Police station 
4945,BNC13,2,0.08099326,-2.208642,Police station 
5130,BNC13,2,0.1848363,-0.007097006,Police station 
5252,BNC13,2,0.2364249,1.945046,Police station 
5589,BNC13,2,0.1935076,3.96989,Police station 
5947,BNC13,2,0.1785865,5.676869,Police station 
6020,BNC13,2,1.967396,6.716885,Police station 
6220,BNC13,2,4.752304,7.755587,Police station 
6288,BNC13,2,7.804899,8.31322,Police station 
6362,BNC13,2,11.3106,9.007292,Police station 
6438,BNC13,2,15.1853,9.701564,Police station 
6532,BNC13,2,19.60027,10.43763,Police station 
6683,BNC13,2,24.04601,11.0085,Police station 
6805,BNC13,2,28.87741,10.7821,Police station 
6949,BNC13,2,33.01108,10.86047,Police station 
7856,BNC13,2,37.32099,11.22877,Police station 
7975,BNC13,2,37.37407,13.75053,Police station 
8048,BNC13,2,36.98622,17.18125,Police station 
8116,BNC13,2,36.4853,20.97066,Police station 
8218,BNC13,2,36.10162,25.41343,Police station 
8285,BNC13,2,35.60516,29.5129,Police station 
8360,BNC13,2,34.90779,33.7778,Police station 
8617,BNC13,2,34.00437,38.3994,Police station 
8829,BNC13,2,33.69404,42.28081,Police station 
8934,BNC13,2,32.40273,45.49297,Police station 
8989,BNC13,2,31.83981,49.79436,Police station 
9033,BNC13,2,31.48766,54.58155,Police station 
9071,BNC13,2,31.14388,59.75748,Police station 
9131,BNC13,2,31.08832,64.76581,Police station 
9275,BNC13,2,31.14684,69.87881,Police station 
9769,BNC13,2,33.07425,72.48138,Police station 
10027,BNC13,2,36.79395,72.00378,Police station 
10323,BNC13,2,36.74493,68.72012,Police station 
10417,BNC13,2,35.26164,69.97865,Police station 
10611,BNC13,2,32.69717,70.00919,Police station 
10688,BNC13,2,31.9216,67.83768,Police station 
10750,BNC13,2,31.4684,65.0118,Police station 
10809,BNC13,2,31.22323,61.69459,Police station 
10865,BNC13,2,31.02686,58.08924,Police station 
10933,BNC13,2,30.8829,54.43029,Police station 
11056,BNC13,2,30.65687,50.59703,Police station 
11503,BNC13,2,30.78446,47.02419,Police station 
11578,BNC13,2,31.81878,42.72798,Police station 
11649,BNC13,2,32.40733,37.13404,Police station 
11723,BNC13,2,32.91542,31.29501,Police station 
11804,BNC13,2,33.27168,25.27983,Police station 
11881,BNC13,2,33.59642,18.99642,Police station 
11959,BNC13,2,33.71414,12.66459,Police station 
12045,BNC13,2,33.67199,6.35048,Police station 
12131,BNC13,2,33.68155,-0.04877722,Police station 
12214,BNC13,2,33.8924,-6.304721,Police station 
12440,BNC13,2,35.67056,-11.50888,Police station 
12556,BNC13,2,40.31221,-14.43457,Police station 
12871,BNC13,2,45.2871,-17.50671,Police station 
2265,BNC14,2,0.0,-4.1,Police station 
2671,BNC14,2,0.2627955,-1.314369,Police station 
2707,BNC14,2,0.2613578,-3.376056,Police station 
2735,BNC14,2,0.3430795,-5.606446,Police station 
2761,BNC14,2,0.4401674,-7.864533,Police station 
2789,BNC14,2,0.54856,-10.12813,Police station 
2816,BNC14,2,0.6490901,-12.37635,Police station 
2984,BNC14,2,0.7338396,-14.68745,Police station 
3021,BNC14,2,3.288692,-15.48678,Police station 
3047,BNC14,2,5.936491,-16.2841,Police station 
3079,BNC14,2,8.625972,-16.95322,Police station 
3105,BNC14,2,11.44106,-17.40756,Police station 
3136,BNC14,2,14.28238,-17.61037,Police station 
3161,BNC14,2,17.23298,-17.67867,Police station 
3188,BNC14,2,20.20242,-17.60793,Police station 
3213,BNC14,2,23.16192,-17.37338,Police station 
3243,BNC14,2,26.08121,-17.02062,Police station 
3271,BNC14,2,29.00344,-16.63089,Police station 
3298,BNC14,2,31.8361,-16.24619,Police station 
3347,BNC14,2,34.75599,-15.91503,Police station 
3474,BNC14,2,37.69219,-15.8573,Police station 
3511,BNC14,2,40.31453,-16.26144,Police station 
