,Participant,Block_num,X,Z,Target_Name
19375,BNC06,2,0.0,-4.1,Quattroki Restaurant
19441,BNC06,2,-0.1884417,-0.7185487,Quattroki Restaurant
19491,BNC06,2,-0.4081237,3.20892,Quattroki Restaurant
19536,BNC06,2,-0.5072187,7.547294,Quattroki Restaurant
19577,BNC06,2,-0.475545,12.05875,Quattroki Restaurant
19655,BNC06,2,-0.4166052,16.57916,Quattroki Restaurant
19751,BNC06,2,-0.4153889,21.01987,Quattroki Restaurant
19788,BNC06,2,-0.4375172,25.41812,Quattroki Restaurant
19821,BNC06,2,-0.3539262,29.98894,Quattroki Restaurant
19855,BNC06,2,-0.2727593,34.69041,Quattroki Restaurant
19889,BNC06,2,-0.08453423,39.45884,Quattroki Restaurant
19959,BNC06,2,0.08029002,44.26493,Quattroki Restaurant
20010,BNC06,2,0.1759754,49.03745,Quattroki Restaurant
20050,BNC06,2,0.284409,53.98363,Quattroki Restaurant
20093,BNC06,2,0.3319219,58.98809,Quattroki Restaurant
20142,BNC06,2,0.281069,64.00847,Quattroki Restaurant
20191,BNC06,2,0.1312079,68.97644,Quattroki Restaurant
20328,BNC06,2,-0.2240227,73.91453,Quattroki Restaurant
20426,BNC06,2,-5.478188,75.03057,Quattroki Restaurant
20483,BNC06,2,-10.53253,76.21645,Quattroki Restaurant
20523,BNC06,2,-15.79037,77.51828,Quattroki Restaurant
20632,BNC06,2,-21.21929,78.75746,Quattroki Restaurant
20693,BNC06,2,-26.67658,78.36973,Quattroki Restaurant
20732,BNC06,2,-32.10526,77.88554,Quattroki Restaurant
20776,BNC06,2,-37.51028,77.32263,Quattroki Restaurant
20895,BNC06,2,-42.84957,76.49612,Quattroki Restaurant
50914,BNC10,2,0.0,-4.1,Quattroki Restaurant
51534,BNC10,2,-0.1626593,-2.21347,Quattroki Restaurant
51586,BNC10,2,-1.079706,1.026763,Quattroki Restaurant
51624,BNC10,2,-1.568207,3.956369,Quattroki Restaurant
51712,BNC10,2,-2.197293,6.811513,Quattroki Restaurant
52028,BNC10,2,-6.003819,8.772224,Quattroki Restaurant
52071,BNC10,2,-1.900549,9.233095,Quattroki Restaurant
52114,BNC10,2,2.106703,9.978919,Quattroki Restaurant
52159,BNC10,2,6.806457,10.54201,Quattroki Restaurant
52213,BNC10,2,11.87717,11.19826,Quattroki Restaurant
52266,BNC10,2,17.3705,11.81969,Quattroki Restaurant
52353,BNC10,2,22.79425,12.52236,Quattroki Restaurant
52421,BNC10,2,28.38727,13.97322,Quattroki Restaurant
52527,BNC10,2,33.83421,15.13947,Quattroki Restaurant
52634,BNC10,2,39.22013,16.31441,Quattroki Restaurant
52826,BNC10,2,43.92979,15.9095,Quattroki Restaurant
52933,BNC10,2,48.07336,16.12614,Quattroki Restaurant
53213,BNC10,2,52.52501,16.42999,Quattroki Restaurant
53274,BNC10,2,58.10939,16.92323,Quattroki Restaurant
53862,BNC10,2,64.07107,17.03553,Quattroki Restaurant
53945,BNC10,2,63.99698,21.5305,Quattroki Restaurant
53972,BNC10,2,63.3866,26.18943,Quattroki Restaurant
