,Participant,Block_num,X,Z,Target_Name
12326,BNC06,3,0.0,-4.1,Pizzeria
12357,BNC06,3,-0.1109652,-0.5007157,Pizzeria
12390,BNC06,3,-0.3108322,3.051266,Pizzeria
12427,BNC06,3,-0.4952761,6.438334,Pizzeria
12542,BNC06,3,-0.6168559,9.594301,Pizzeria
12575,BNC06,3,3.8394,9.669342,Pizzeria
12609,BNC06,3,8.375374,9.76894,Pizzeria
12640,BNC06,3,12.90279,10.09503,Pizzeria
12673,BNC06,3,17.59444,10.55777,Pizzeria
12707,BNC06,3,22.38419,11.09239,Pizzeria
12744,BNC06,3,27.12225,11.6131,Pizzeria
12780,BNC06,3,31.77621,12.08368,Pizzeria
12817,BNC06,3,36.40533,12.54992,Pizzeria
12855,BNC06,3,40.9702,13.05671,Pizzeria
12893,BNC06,3,45.47565,13.57967,Pizzeria
12931,BNC06,3,50.02406,14.08182,Pizzeria
12972,BNC06,3,54.55626,14.55605,Pizzeria
13037,BNC06,3,58.99761,15.02608,Pizzeria
13146,BNC06,3,63.31156,15.6976,Pizzeria
13195,BNC06,3,64.24323,19.86787,Pizzeria
13332,BNC06,3,65.04975,23.909,Pizzeria
13463,BNC06,3,61.88872,27.67596,Pizzeria
46913,BNC10,3,0.0,-4.1,Pizzeria
46959,BNC10,3,-0.3118648,-0.1710728,Pizzeria
46998,BNC10,3,-0.832542,4.437976,Pizzeria
47042,BNC10,3,-1.115097,8.964348,Pizzeria
47083,BNC10,3,-1.175612,14.16157,Pizzeria
47119,BNC10,3,-1.11809,19.74082,Pizzeria
47147,BNC10,3,-0.8332269,25.10718,Pizzeria
47297,BNC10,3,-0.7686282,30.60842,Pizzeria
47338,BNC10,3,-1.657906,35.64476,Pizzeria
47376,BNC10,3,-2.332899,40.87191,Pizzeria
47396,BNC10,3,-2.933774,46.02787,Pizzeria
47509,BNC10,3,-3.579677,51.10781,Pizzeria
47568,BNC10,3,-3.798666,55.1618,Pizzeria
47622,BNC10,3,-3.220292,59.66077,Pizzeria
47681,BNC10,3,-3.279471,64.37496,Pizzeria
47711,BNC10,3,-2.594568,68.71967,Pizzeria
47780,BNC10,3,-1.706495,73.01136,Pizzeria
47959,BNC10,3,2.47869,75.06358,Pizzeria
48000,BNC10,3,7.401959,76.12189,Pizzeria
48112,BNC10,3,12.28802,77.22456,Pizzeria
48155,BNC10,3,16.92829,76.87105,Pizzeria
48182,BNC10,3,21.91203,76.47047,Pizzeria
48208,BNC10,3,26.89407,76.26408,Pizzeria
48600,BNC10,3,31.82145,76.19922,Pizzeria
48893,BNC10,3,34.33686,76.12143,Pizzeria
48913,BNC10,3,38.30025,74.17329,Pizzeria
49111,BNC10,3,42.47215,72.49131,Pizzeria
49171,BNC10,3,45.44522,75.84752,Pizzeria
49208,BNC10,3,48.97177,75.43095,Pizzeria
49242,BNC10,3,52.8709,74.65224,Pizzeria
49285,BNC10,3,56.92928,73.91991,Pizzeria
49335,BNC10,3,60.85703,72.43271,Pizzeria
49372,BNC10,3,64.62977,70.45885,Pizzeria
49444,BNC10,3,67.47142,67.42187,Pizzeria
49593,BNC10,3,68.21332,63.21445,Pizzeria
49634,BNC10,3,66.94667,58.95832,Pizzeria
49668,BNC10,3,65.99001,54.83965,Pizzeria
49757,BNC10,3,65.17207,50.58895,Pizzeria
49796,BNC10,3,64.5525,46.55335,Pizzeria
49829,BNC10,3,64.1386,43.38903,Pizzeria
49876,BNC10,3,63.70474,40.24284,Pizzeria
50026,BNC10,3,63.06049,36.45143,Pizzeria
50117,BNC10,3,61.65168,32.37315,Pizzeria
20560,BNC13,3,0.0,-4.1,Pizzeria
20665,BNC13,3,0.5140224,-8.729492,Pizzeria
20705,BNC13,3,0.8141453,-13.59085,Pizzeria
20739,BNC13,3,1.261144,-18.87993,Pizzeria
20772,BNC13,3,1.739524,-24.2,Pizzeria
20801,BNC13,3,2.309386,-29.57494,Pizzeria
20830,BNC13,3,2.910316,-35.01084,Pizzeria
20858,BNC13,3,3.481306,-40.4755,Pizzeria
21045,BNC13,3,3.918807,-45.96154,Pizzeria
21613,BNC13,3,4.745169,-50.39299,Pizzeria
21662,BNC13,3,8.87965,-51.1451,Pizzeria
21701,BNC13,3,13.58614,-51.65219,Pizzeria
21757,BNC13,3,18.77369,-52.17875,Pizzeria
21927,BNC13,3,23.91382,-52.8563,Pizzeria
22031,BNC13,3,28.84478,-52.98387,Pizzeria
22132,BNC13,3,30.31109,-49.59945,Pizzeria
22238,BNC13,3,30.95859,-45.59631,Pizzeria
22325,BNC13,3,31.34266,-41.2793,Pizzeria
22370,BNC13,3,31.69245,-36.44769,Pizzeria
22404,BNC13,3,32.08681,-31.28429,Pizzeria
22690,BNC13,3,32.46748,-26.02794,Pizzeria
22802,BNC13,3,34.3172,-21.65195,Pizzeria
22861,BNC13,3,38.96861,-20.04164,Pizzeria
22902,BNC13,3,44.52694,-18.26874,Pizzeria
22941,BNC13,3,50.3531,-16.24683,Pizzeria
23045,BNC13,3,56.06105,-14.31207,Pizzeria
23192,BNC13,3,61.12449,-12.05781,Pizzeria
23297,BNC13,3,61.98844,-7.090896,Pizzeria
23403,BNC13,3,62.85034,-2.442842,Pizzeria
23474,BNC13,3,63.44975,2.60946,Pizzeria
23513,BNC13,3,63.85203,7.939886,Pizzeria
23699,BNC13,3,64.27332,13.29174,Pizzeria
23858,BNC13,3,64.40018,18.29084,Pizzeria
24086,BNC13,3,63.03338,23.34031,Pizzeria
18904,BNC14,3,0.0,-4.1,Pizzeria
18940,BNC14,3,0.2213231,-2.620465,Pizzeria
18967,BNC14,3,0.5363288,-0.4711846,Pizzeria
18997,BNC14,3,0.9247065,2.023096,Pizzeria
19029,BNC14,3,1.270971,4.663076,Pizzeria
19131,BNC14,3,1.859742,7.464692,Pizzeria
19157,BNC14,3,4.918029,7.853296,Pizzeria
19188,BNC14,3,8.155664,8.321846,Pizzeria
19254,BNC14,3,11.50048,8.988248,Pizzeria
19297,BNC14,3,14.95969,9.594964,Pizzeria
19370,BNC14,3,18.46338,10.19284,Pizzeria
19402,BNC14,3,22.03412,10.80273,Pizzeria
19431,BNC14,3,25.65402,11.38184,Pizzeria
19456,BNC14,3,29.4003,11.90323,Pizzeria
19486,BNC14,3,33.16034,12.40911,Pizzeria
19512,BNC14,3,36.85336,12.87301,Pizzeria
19607,BNC14,3,40.57963,13.27817,Pizzeria
19648,BNC14,3,44.25607,13.4368,Pizzeria
19700,BNC14,3,48.08347,13.58688,Pizzeria
19737,BNC14,3,51.89018,13.84436,Pizzeria
19794,BNC14,3,55.60168,13.94694,Pizzeria
20050,BNC14,3,59.21706,14.10913,Pizzeria
20171,BNC14,3,61.48064,14.61607,Pizzeria
20280,BNC14,3,63.49312,15.12743,Pizzeria
20359,BNC14,3,63.33977,16.961,Pizzeria
20411,BNC14,3,63.05967,19.09763,Pizzeria
20450,BNC14,3,62.63251,21.29633,Pizzeria
20623,BNC14,3,62.13956,23.64218,Pizzeria
20702,BNC14,3,61.25031,26.92964,Pizzeria
21289,BNC14,3,60.32194,29.95704,Pizzeria
21511,BNC14,3,60.28574,31.24832,Pizzeria
21547,BNC14,3,61.96755,31.46437,Pizzeria
21579,BNC14,3,63.63182,31.65991,Pizzeria
21603,BNC14,3,65.28725,31.84864,Pizzeria
21832,BNC14,3,66.94989,32.06972,Pizzeria
22000,BNC14,3,65.28865,31.22974,Pizzeria
22156,BNC14,3,62.73897,29.57016,Pizzeria
28439,BNC15,3,0.0,-4.1,Pizzeria
28545,BNC15,3,-0.7569147,1.608241,Pizzeria
28745,BNC15,3,-1.466889,7.078854,Pizzeria
28801,BNC15,3,5.534541,8.21624,Pizzeria
28845,BNC15,3,12.72599,9.226942,Pizzeria
28878,BNC15,3,19.98917,10.15174,Pizzeria
28920,BNC15,3,27.2989,10.98111,Pizzeria
28968,BNC15,3,34.62014,11.88966,Pizzeria
29048,BNC15,3,41.94501,12.79615,Pizzeria
29107,BNC15,3,49.25933,13.2945,Pizzeria
29161,BNC15,3,56.54993,13.88153,Pizzeria
29377,BNC15,3,63.78757,14.66084,Pizzeria
29548,BNC15,3,62.53428,21.49775,Pizzeria
68344,BNC16,3,0.0,-4.1,Pizzeria
68433,BNC16,3,0.1917279,-1.632377,Pizzeria
68512,BNC16,3,0.1328128,2.795698,Pizzeria
68537,BNC16,3,-0.2461185,6.246816,Pizzeria
68684,BNC16,3,-0.496568,9.766963,Pizzeria
68853,BNC16,3,-0.7254378,13.03998,Pizzeria
68939,BNC16,3,0.1110684,16.45183,Pizzeria
69027,BNC16,3,0.5394,19.78264,Pizzeria
69093,BNC16,3,0.6782805,23.35241,Pizzeria
69158,BNC16,3,0.9281036,27.35391,Pizzeria
69237,BNC16,3,1.472469,31.2747,Pizzeria
69333,BNC16,3,1.725964,35.05915,Pizzeria
69452,BNC16,3,1.553462,38.64763,Pizzeria
69532,BNC16,3,1.177484,41.70129,Pizzeria
69701,BNC16,3,1.084399,45.54317,Pizzeria
69792,BNC16,3,0.7890823,49.09609,Pizzeria
69863,BNC16,3,0.6529575,54.88338,Pizzeria
69938,BNC16,3,1.026689,60.03817,Pizzeria
70014,BNC16,3,1.24064,64.5482,Pizzeria
70115,BNC16,3,1.852203,69.42396,Pizzeria
70449,BNC16,3,2.149,73.69431,Pizzeria
70517,BNC16,3,-2.041495,75.33965,Pizzeria
70615,BNC16,3,-6.661197,76.34107,Pizzeria
70695,BNC16,3,-11.30708,77.02277,Pizzeria
70781,BNC16,3,-16.17849,78.05595,Pizzeria
70851,BNC16,3,-21.11063,77.94671,Pizzeria
70928,BNC16,3,-26.33809,77.8695,Pizzeria
71017,BNC16,3,-30.43787,77.87522,Pizzeria
71253,BNC16,3,-34.38105,77.42257,Pizzeria
71334,BNC16,3,-38.59647,77.46152,Pizzeria
71536,BNC16,3,-42.67451,77.30006,Pizzeria
71603,BNC16,3,-47.11915,77.77325,Pizzeria
71657,BNC16,3,-51.5996,77.64551,Pizzeria
71728,BNC16,3,-55.76434,77.61285,Pizzeria
71784,BNC16,3,-60.29448,77.37474,Pizzeria
71912,BNC16,3,-64.82938,77.03918,Pizzeria
72053,BNC16,3,-68.09296,75.1702,Pizzeria
72586,BNC16,3,-68.69792,75.15733,Pizzeria
72605,BNC16,3,-68.47607,75.45253,Pizzeria
72986,BNC16,3,-68.23951,75.64877,Pizzeria
73088,BNC16,3,-69.01627,72.4424,Pizzeria
73167,BNC16,3,-69.95531,68.71527,Pizzeria
