,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
0,BNC06,1,Automobile shop,75.3797467,7.4438897,67.93585699999998,632.2199131465459,9.306129944699835,0.688541791588785,108
1,BNC06,1,Police station ,29.374258,3.548512,25.825746,260.3653017050579,10.081617843877885,0.6387039999999997,41
2,BNC06,1,Fire Station,16.784353199999998,4.2709872,12.513366,213.0375501471454,17.024799733912154,0.4743539124999998,33
3,BNC06,1,Bank,12.6596225,4.4791525,8.180470000000001,143.2093700437275,17.5062520911057,0.5773617857142855,15
4,BNC06,1,Pawn Shop,24.0062092,2.6734282,21.332781,238.4959395750451,11.179786619243178,0.5696443837837838,38
5,BNC06,1,Pizzeria,28.5762094,3.840337400000001,24.735872,297.509472311089,12.027450348671316,0.5416524775510208,50
6,BNC06,1,Quattroki Restaurant,31.3672315,5.1803365,26.186895,314.6324562883934,12.014882111391728,0.6726759222222218,46
7,BNC06,1,High School,12.2150368,3.2709608,8.944076,204.710198948581,22.887797347493574,0.4401949,21
0,BNC06,2,Automobile shop,37.8225267,11.9054767,25.91705,232.97667244703547,8.98932063822987,0.7330719339999999,51
1,BNC06,2,Police station ,22.9789652,2.5485722,20.430393,279.7949943521489,13.695037308002291,0.4537655913043479,47
2,BNC06,2,Fire Station,15.7418892,2.4514792,13.29041,254.57886653344315,19.15507998123784,0.4262880666666667,34
3,BNC06,2,Bank,22.3339247,4.4933557,17.840569000000002,186.8423209644712,10.472890240466612,0.8424446038461538,27
4,BNC06,2,Pawn Shop,12.72877,4.409617,8.319153,99.58330757380516,11.970366162733772,0.7656876666666667,16
5,BNC06,2,Pizzeria,20.458224,2.6112650000000004,17.846959000000002,224.40022243617412,12.573583120585088,0.5049137894736843,39
6,BNC06,2,Quattroki Restaurant,13.3537188,2.7986498,10.555069,193.4199163839405,18.32483675700656,0.494506192,26
