ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC04_ss_trial,0,-4.1,0,0.02,0.02,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC04_ss_trial,0,-4.1,1,0.04,0.04,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC04_ss_trial,0,-4.1,2,0.06,0.06,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC04_ss_trial,0,-4.1,3,0.3933333,0.3933333,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.5, 2.2, 359.9)
BNC04_ss_trial,0,-4.1,4,0.4518474,0.4518474,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.1, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,5,0.4620185,0.4620185,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.2, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,6,0.4663789,0.4663789,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.3, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,7,0.4725166,0.4725166,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.3, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,8,0.4797625,0.4797625,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.4, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,9,0.4862181,0.4862181,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.4, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,10,0.4933003,0.4933003,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.5, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,11,0.5000569,0.5000569,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.5, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,12,0.506934,0.506934,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.6, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,13,0.5139484,0.5139484,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.6, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,14,0.5209029,0.5209029,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.7, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,15,0.5281409,0.5281409,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.7, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,16,0.535511,0.535511,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.7, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,17,0.5454256,0.5454256,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,18,0.5486918,0.5486918,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,19,0.5557431,0.5557431,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,20,0.5628419,0.5628419,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.9, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,21,0.5696887,0.5696887,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.9, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,22,0.5766105,0.5766105,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.9, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,23,0.5843872,0.5843872,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.9, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,24,0.590464,0.590464,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.9, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,25,0.5973807,0.5973807,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.9, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,26,0.6049952,0.6049952,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.9, 359.6)
BNC04_ss_trial,0,-4.1,27,0.6115034,0.6115034,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,28,0.6182263,0.6182263,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,29,0.6252008,0.6252008,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.8, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,30,0.6321774,0.6321774,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.7, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,31,0.6390436,0.6390436,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.7, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,32,0.6465698,0.6465698,Bank Square #1 || Task: Count backwards from 56 by 3s,(356.7, 4.8, 359.6)
BNC04_ss_trial,0,-4.1,33,0.949977,0.949977,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.2, 4.2, 359.7)
BNC04_ss_trial,0,-4.1,34,0.9837924,0.9837924,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,35,0.9886412,0.9886412,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,36,0.9933773,0.9933773,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,37,1.000454,1.000454,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,38,1.007299,1.007299,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,39,1.014295,1.014295,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,40,1.021356,1.021356,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,41,1.028254,1.028254,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,42,1.035058,1.035058,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,43,1.042044,1.042044,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,44,1.048954,1.048954,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,45,1.056015,1.056015,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,46,1.062838,1.062838,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,47,1.069815,1.069815,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,48,1.07677,1.07677,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,49,1.083821,1.083821,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,50,1.090655,1.090655,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,51,1.097573,1.097573,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,52,1.104858,1.104858,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,53,1.112262,1.112262,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,54,1.119091,1.119091,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,55,1.12535,1.12535,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.4, 4.3, 359.7)
BNC04_ss_trial,0,-4.1,56,1.132353,1.132353,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
BNC04_ss_trial,0,-4.1,57,1.139263,1.139263,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
BNC04_ss_trial,0,-4.1,58,1.146232,1.146232,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
BNC04_ss_trial,0,-4.1,59,1.153137,1.153137,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
BNC04_ss_trial,0,-4.1,60,1.160893,1.160893,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
BNC04_ss_trial,0,-4.1,61,1.167264,1.167264,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
BNC04_ss_trial,0,-4.1,62,1.173975,1.173975,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.3, 4.3, 359.8)
