ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC05_ss_trial,0,-4.1,0,0.02,0.02,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC05_ss_trial,0,-4.1,1,0.04,0.04,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC05_ss_trial,0,-4.1,2,0.06,0.06,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC05_ss_trial,0,-4.1,3,0.3933333,0.3933333,Bank Square #1 || Task: Count backwards from 56 by 3s,(1.3, 4.7, 2.1)
BNC05_ss_trial,0,-4.1,4,0.472957,0.472957,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.8, 4.8, 2.0)
BNC05_ss_trial,0,-4.1,5,0.4969659,0.4969659,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.8, 4.8, 2.0)
BNC05_ss_trial,0,-4.1,6,0.5024028,0.5024028,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.9, 4.9, 2.0)
BNC05_ss_trial,0,-4.1,7,0.5072773,0.5072773,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.9, 4.9, 2.0)
BNC05_ss_trial,0,-4.1,8,0.514846,0.514846,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.9, 4.9, 2.0)
BNC05_ss_trial,0,-4.1,9,0.5214708,0.5214708,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.9, 4.9, 2.1)
BNC05_ss_trial,0,-4.1,10,0.5286902,0.5286902,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.9, 4.9, 2.1)
BNC05_ss_trial,0,-4.1,11,0.5351828,0.5351828,Bank Square #1 || Task: Count backwards from 56 by 3s,(1.0, 4.9, 2.1)
BNC05_ss_trial,0,-4.1,12,0.5420776,0.5420776,Bank Square #1 || Task: Count backwards from 56 by 3s,(1.0, 4.9, 2.1)
BNC05_ss_trial,0,-4.1,13,0.5491833,0.5491833,Bank Square #1 || Task: Count backwards from 56 by 3s,(1.0, 4.9, 2.1)
