ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC11_ss_control,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC11_ss_control,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC11_ss_control,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC11_ss_control,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(358.1, 14.2, 358.4)
BNC11_ss_control,0,-4.1,4,0.4622673,0.4622673,Bank #1 || Task: None,(358.7, 13.6, 358.5)
BNC11_ss_control,0,-4.1,5,0.4908725,0.4908725,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,6,0.4960354,0.4960354,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,7,0.4995381,0.4995381,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,8,0.5031258,0.5031258,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,9,0.5097924,0.5097924,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,10,0.5167124,0.5167124,Bank #1 || Task: None,(358.7, 13.4, 358.5)
BNC11_ss_control,0,-4.1,11,0.5241365,0.5241365,Bank #1 || Task: None,(358.7, 13.4, 358.5)
BNC11_ss_control,0,-4.1,12,0.5306119,0.5306119,Bank #1 || Task: None,(358.7, 13.4, 358.5)
BNC11_ss_control,0,-4.1,13,0.53756,0.53756,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,14,0.5444791,0.5444791,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,15,0.5517161,0.5517161,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,16,0.5584323,0.5584323,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,17,0.5655214,0.5655214,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,18,0.5725064,0.5725064,Bank #1 || Task: None,(358.7, 13.4, 358.5)
BNC11_ss_control,0,-4.1,19,0.579664,0.579664,Bank #1 || Task: None,(358.7, 13.4, 358.5)
BNC11_ss_control,0,-4.1,20,0.5862769,0.5862769,Bank #1 || Task: None,(358.7, 13.4, 358.5)
BNC11_ss_control,0,-4.1,21,0.5933413,0.5933413,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,22,0.60021,0.60021,Bank #1 || Task: None,(358.7, 13.5, 358.5)
BNC11_ss_control,0,-4.1,23,0.6071569,0.6071569,Bank #1 || Task: None,(358.6, 13.5, 358.5)
BNC11_ss_control,0,-4.1,24,0.6141715,0.6141715,Bank #1 || Task: None,(358.6, 13.5, 358.5)
BNC11_ss_control,0,-4.1,25,0.6209673,0.6209673,Bank #1 || Task: None,(358.6, 13.5, 358.5)
BNC11_ss_control,0,-4.1,26,0.6278825,0.6278825,Bank #1 || Task: None,(358.6, 13.5, 358.5)
BNC11_ss_control,0,-4.1,27,0.6347597,0.6347597,Bank #1 || Task: None,(358.6, 13.5, 358.4)
BNC11_ss_control,0,-4.1,28,0.6417277,0.6417277,Bank #1 || Task: None,(358.6, 13.5, 358.4)
BNC11_ss_control,0,-4.1,29,0.6487836,0.6487836,Bank #1 || Task: None,(358.6, 13.5, 358.4)
BNC11_ss_control,0,-4.1,30,0.9452922,0.9452922,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,31,0.9768772,0.9768772,Bank #1 || Task: None,(358.3, 13.7, 358.3)
BNC11_ss_control,0,-4.1,32,0.9849908,0.9849908,Bank #1 || Task: None,(358.3, 13.7, 358.3)
BNC11_ss_control,0,-4.1,33,0.9893337,0.9893337,Bank #1 || Task: None,(358.3, 13.7, 358.3)
BNC11_ss_control,0,-4.1,34,0.9962366,0.9962366,Bank #1 || Task: None,(358.3, 13.7, 358.3)
BNC11_ss_control,0,-4.1,35,1.00318,1.00318,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,36,1.010053,1.010053,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,37,1.017031,1.017031,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,38,1.023902,1.023902,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,39,1.030942,1.030942,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,40,1.037851,1.037851,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,41,1.044775,1.044775,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,42,1.05173,1.05173,Bank #1 || Task: None,(358.3, 13.7, 358.4)
BNC11_ss_control,0,-4.1,43,1.058612,1.058612,Bank #1 || Task: None,(358.2, 13.7, 358.4)
BNC11_ss_control,0,-4.1,44,1.065589,1.065589,Bank #1 || Task: None,(358.2, 13.7, 358.4)
BNC11_ss_control,0,-4.1,45,1.072527,1.072527,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,46,1.079608,1.079608,Bank #1 || Task: None,(358.2, 13.8, 358.3)
BNC11_ss_control,0,-4.1,47,1.086455,1.086455,Bank #1 || Task: None,(358.2, 13.8, 358.3)
BNC11_ss_control,0,-4.1,48,1.09338,1.09338,Bank #1 || Task: None,(358.2, 13.8, 358.3)
BNC11_ss_control,0,-4.1,49,1.100667,1.100667,Bank #1 || Task: None,(358.2, 13.8, 358.3)
BNC11_ss_control,0,-4.1,50,1.107255,1.107255,Bank #1 || Task: None,(358.2, 13.8, 358.3)
BNC11_ss_control,0,-4.1,51,1.114276,1.114276,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,52,1.121161,1.121161,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,53,1.128298,1.128298,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,54,1.135042,1.135042,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,55,1.14207,1.14207,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,56,1.148933,1.148933,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,57,1.155975,1.155975,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,58,1.162905,1.162905,Bank #1 || Task: None,(358.2, 13.8, 358.4)
BNC11_ss_control,0,-4.1,59,1.16978,1.16978,Bank #1 || Task: None,(358.2, 13.8, 358.3)
BNC11_ss_control,0,-4.1,60,1.176674,1.176674,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,61,1.18387,1.18387,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,62,1.190602,1.190602,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,63,1.197555,1.197555,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,64,1.204513,1.204513,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,65,1.211879,1.211879,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,66,1.219059,1.219059,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,67,1.226092,1.226092,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,68,1.233164,1.233164,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,69,1.24021,1.24021,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,70,1.247337,1.247337,Bank #1 || Task: None,(358.2, 13.9, 358.3)
BNC11_ss_control,0,-4.1,71,1.2541,1.2541,Bank #1 || Task: None,(358.2, 14.0, 358.3)
BNC11_ss_control,0,-4.1,72,1.26097,1.26097,Bank #1 || Task: None,(358.2, 14.0, 358.3)
BNC11_ss_control,0,-4.1,73,1.268046,1.268046,Bank #1 || Task: None,(358.2, 14.0, 358.3)
BNC11_ss_control,0,-4.1,74,1.274976,1.274976,Bank #1 || Task: None,(358.2, 14.0, 358.3)
BNC11_ss_control,0,-4.1,75,1.28182,1.28182,Bank #1 || Task: None,(358.3, 14.0, 358.3)
BNC11_ss_control,0,-4.1,76,1.28875,1.28875,Bank #1 || Task: None,(358.3, 14.0, 358.3)
BNC11_ss_control,0,-4.1,77,1.295614,1.295614,Bank #1 || Task: None,(358.3, 14.0, 358.2)
BNC11_ss_control,0,-4.1,78,1.302601,1.302601,Bank #1 || Task: None,(358.3, 14.0, 358.2)
BNC11_ss_control,0,-4.1,79,1.309662,1.309662,Bank #1 || Task: None,(358.3, 14.1, 358.2)
BNC11_ss_control,0,-4.1,80,1.316475,1.316475,Bank #1 || Task: None,(358.3, 14.1, 358.2)
BNC11_ss_control,0,-4.1,81,1.323448,1.323448,Bank #1 || Task: None,(358.3, 14.1, 358.2)
BNC11_ss_control,0,-4.1,82,1.330482,1.330482,Bank #1 || Task: None,(358.3, 14.1, 358.2)
BNC11_ss_control,0,-4.1,83,1.337295,1.337295,Bank #1 || Task: None,(358.3, 14.2, 358.1)
BNC11_ss_control,0,-4.1,84,1.344547,1.344547,Bank #1 || Task: None,(358.3, 14.2, 358.1)
BNC11_ss_control,0,-4.1,85,1.351259,1.351259,Bank #1 || Task: None,(358.3, 14.2, 358.1)
