ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC29,0,-4.1,0,0.02,0.02,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC29,0,-4.1,1,0.04,0.04,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC29,0,-4.1,2,0.06,0.06,Bank Square #1 || Task: Count backwards from 56 by 3s,(0.0, 0.0, 0.0)
BNC29,0,-4.1,3,0.3933333,0.3933333,Bank Square #1 || Task: Count backwards from 56 by 3s,(354.7, 357.7, 355.4)
BNC29,0,-4.1,4,0.4685301,0.4685301,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.2, 360.0, 355.6)
BNC29,0,-4.1,5,0.4965475,0.4965475,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.2, 0.0, 355.6)
BNC29,0,-4.1,6,0.5027035,0.5027035,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.2, 0.1, 355.6)
BNC29,0,-4.1,7,0.5059042,0.5059042,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.2, 0.1, 355.5)
BNC29,0,-4.1,8,0.5133233,0.5133233,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.2, 0.1, 355.5)
BNC29,0,-4.1,9,0.5197914,0.5197914,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.1, 355.5)
BNC29,0,-4.1,10,0.5268713,0.5268713,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.1, 355.5)
BNC29,0,-4.1,11,0.5344129,0.5344129,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.1, 355.5)
BNC29,0,-4.1,12,0.541553,0.541553,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.1, 355.5)
BNC29,0,-4.1,13,0.5478244,0.5478244,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.1, 355.5)
BNC29,0,-4.1,14,0.5546072,0.5546072,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.2, 355.5)
BNC29,0,-4.1,15,0.5654001,0.5654001,Bank Square #1 || Task: Count backwards from 56 by 3s,(355.1, 0.2, 355.5)
