ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
NAV061_t2,0,-4.1,0,0.02,0.02,Automobile shop,(0.0, 0.0, 0.0)
NAV061_t2,0,-4.1,1,0.04,0.04,Automobile shop,(0.0, 0.0, 0.0)
NAV061_t2,0,-4.1,2,0.06,0.06,Automobile shop,(0.0, 0.0, 0.0)
NAV061_t2,0,-4.1,3,0.3933333,0.3933333,Automobile shop,(342.7, 359.6, 2.7)
NAV061_t2,0,-4.1,4,0.4415402,0.4415402,Automobile shop,(345.3, 357.8, 3.1)
NAV061_t2,0,-4.1,5,0.4501429,0.4501429,Automobile shop,(345.4, 357.8, 3.1)
NAV061_t2,0,-4.1,6,0.4551772,0.4551772,Automobile shop,(345.4, 357.8, 3.1)
NAV061_t2,0,-4.1,7,0.4582859,0.4582859,Automobile shop,(345.5, 357.8, 3.1)
NAV061_t2,0,-4.1,8,0.4646748,0.4646748,Automobile shop,(345.5, 357.8, 3.1)
NAV061_t2,0,-4.1,9,0.4712704,0.4712704,Automobile shop,(345.6, 357.8, 3.1)
NAV061_t2,0,-4.1,10,0.478102,0.478102,Automobile shop,(345.7, 357.8, 3.1)
NAV061_t2,0,-4.1,11,0.4852204,0.4852204,Automobile shop,(345.8, 357.8, 3.1)
NAV061_t2,0,-4.1,12,0.4919678,0.4919678,Automobile shop,(345.9, 357.8, 3.1)
NAV061_t2,0,-4.1,13,0.4990237,0.4990237,Automobile shop,(346.0, 357.8, 3.1)
NAV061_t2,0,-4.1,14,0.505903,0.505903,Automobile shop,(346.2, 357.8, 3.1)
NAV061_t2,0,-4.1,15,0.5127913,0.5127913,Automobile shop,(346.4, 357.8, 3.1)
NAV061_t2,0,-4.1,16,0.5198815,0.5198815,Automobile shop,(346.6, 357.7, 3.1)
NAV061_t2,0,-4.1,17,0.5266781,0.5266781,Automobile shop,(346.8, 357.7, 3.1)
NAV061_t2,0,-4.1,18,0.5337538,0.5337538,Automobile shop,(347.1, 357.7, 3.1)
NAV061_t2,0,-4.1,19,0.5412073,0.5412073,Automobile shop,(347.3, 357.7, 3.1)
NAV061_t2,0,-4.1,20,0.5477964,0.5477964,Automobile shop,(347.6, 357.7, 3.0)
NAV061_t2,0,-4.1,21,0.5550166,0.5550166,Automobile shop,(347.8, 357.7, 3.0)
NAV061_t2,0,-4.1,22,0.5618289,0.5618289,Automobile shop,(348.1, 357.6, 3.0)
NAV061_t2,0,-4.1,23,0.5686211,0.5686211,Automobile shop,(348.4, 357.6, 3.0)
NAV061_t2,0,-4.1,24,0.5757625,0.5757625,Automobile shop,(348.7, 357.6, 3.0)
NAV061_t2,0,-4.1,25,0.5828184,0.5828184,Automobile shop,(348.9, 357.6, 3.0)
NAV061_t2,0,-4.1,26,0.5895571,0.5895571,Automobile shop,(349.2, 357.6, 3.0)
NAV061_t2,0,-4.1,27,0.5964285,0.5964285,Automobile shop,(349.5, 357.6, 3.0)
NAV061_t2,0,-4.1,28,0.6034693,0.6034693,Automobile shop,(349.8, 357.6, 3.0)
NAV061_t2,0,-4.1,29,0.6102783,0.6102783,Automobile shop,(350.0, 357.6, 3.0)
NAV061_t2,0,-4.1,30,0.6173041,0.6173041,Automobile shop,(350.3, 357.6, 3.0)
NAV061_t2,0,-4.1,31,0.6241776,0.6241776,Automobile shop,(350.6, 357.6, 3.1)
NAV061_t2,0,-4.1,32,0.6310719,0.6310719,Automobile shop,(350.8, 357.6, 3.1)
NAV061_t2,0,-4.1,33,0.6382536,0.6382536,Automobile shop,(351.0, 357.6, 3.1)
NAV061_t2,0,-4.1,34,0.7999017,0.7999017,Automobile shop,(355.1, 358.1, 3.3)
NAV061_t2,0,-4.1,35,0.8205197,0.8205197,Automobile shop,(355.9, 358.1, 3.3)
NAV061_t2,0,-4.1,36,0.82585,0.82585,Automobile shop,(356.0, 358.2, 3.3)
NAV061_t2,0,-4.1,37,0.8326325,0.8326325,Automobile shop,(356.2, 358.2, 3.2)
NAV061_t2,0,-4.1,38,0.8396932,0.8396932,Automobile shop,(356.4, 358.2, 3.2)
NAV061_t2,0,-4.1,39,0.8467261,0.8467261,Automobile shop,(356.5, 358.2, 3.2)
NAV061_t2,0,-4.1,40,0.8535237,0.8535237,Automobile shop,(356.7, 358.3, 3.2)
NAV061_t2,0,-4.1,41,0.8605528,0.8605528,Automobile shop,(356.8, 358.3, 3.2)
NAV061_t2,0,-4.1,42,0.8673201,0.8673201,Automobile shop,(357.0, 358.3, 3.1)
NAV061_t2,0,-4.1,43,0.874506,0.874506,Automobile shop,(357.1, 358.4, 3.1)
NAV061_t2,0,-4.1,44,0.881228,0.881228,Automobile shop,(357.3, 358.4, 3.0)
