,Participant,Block_num,X,Z,Target_Name
535,BNC01,1,0.0,-4.1,Automobile shop
684,BNC01,1,0.6212517,2.70301,Automobile shop
801,BNC01,1,0.4367217,9.480286,Automobile shop
977,BNC01,1,0.8572314,16.52687,Automobile shop
1523,BNC01,1,0.9238823,23.68929,Automobile shop
1908,BNC01,1,6.138554,23.55188,Automobile shop
2002,BNC01,1,3.364336,29.69263,Automobile shop
2109,BNC01,1,0.8755351,36.27871,Automobile shop
2324,BNC01,1,-3.127724,41.883,Automobile shop
2417,BNC01,1,-9.815905,42.29067,Automobile shop
2483,BNC01,1,-16.69168,43.05333,Automobile shop
2729,BNC01,1,-23.66689,43.7455,Automobile shop
2864,BNC01,1,-30.35542,41.96488,Automobile shop
2975,BNC01,1,-34.6231,36.92693,Automobile shop
3057,BNC01,1,-36.41894,30.62346,Automobile shop
3153,BNC01,1,-37.25851,23.92362,Automobile shop
3240,BNC01,1,-37.84801,17.22543,Automobile shop
3628,BNC01,1,-38.36892,10.83751,Automobile shop
3704,BNC01,1,-44.89298,13.89769,Automobile shop
140,BNC01,2,0.0,-4.1,Automobile shop
210,BNC01,2,-0.08593203,-0.205248,Automobile shop
336,BNC01,2,0.1186316,3.941924,Automobile shop
446,BNC01,2,3.315377,6.356686,Automobile shop
526,BNC01,2,8.483637,8.048094,Automobile shop
608,BNC01,2,14.40401,9.29509,Automobile shop
697,BNC01,2,20.10985,10.14727,Automobile shop
840,BNC01,2,25.80977,10.51068,Automobile shop
934,BNC01,2,31.8451,11.05085,Automobile shop
1236,BNC01,2,38.10949,11.78437,Automobile shop
1330,BNC01,2,35.54598,5.81062,Automobile shop
1452,BNC01,2,33.91213,-0.2274165,Automobile shop
1668,BNC01,2,33.16969,-6.377587,Automobile shop
1942,BNC01,2,36.66788,-10.46517,Automobile shop
2028,BNC01,2,35.52017,-5.274197,Automobile shop
2099,BNC01,2,35.43839,0.3012418,Automobile shop
2208,BNC01,2,35.51638,6.139801,Automobile shop
2298,BNC01,2,35.85445,11.95598,Automobile shop
2379,BNC01,2,35.81972,17.93137,Automobile shop
2511,BNC01,2,35.63865,24.15139,Automobile shop
2593,BNC01,2,34.65272,30.36169,Automobile shop
2977,BNC01,2,33.44546,36.56808,Automobile shop
3178,BNC01,2,28.41316,39.40779,Automobile shop
3269,BNC01,2,23.1493,39.3082,Automobile shop
3399,BNC01,2,17.49264,40.7108,Automobile shop
3474,BNC01,2,11.6124,41.43942,Automobile shop
3809,BNC01,2,5.778774,41.89406,Automobile shop
3890,BNC01,2,4.217548,46.88921,Automobile shop
4095,BNC01,2,2.972278,52.63819,Automobile shop
4220,BNC01,2,-0.7450036,48.71869,Automobile shop
4373,BNC01,2,-1.075153,43.54618,Automobile shop
4462,BNC01,2,-5.452835,39.95782,Automobile shop
4554,BNC01,2,-11.80644,40.46353,Automobile shop
4646,BNC01,2,-17.90475,41.45458,Automobile shop
4775,BNC01,2,-24.14271,42.33345,Automobile shop
5010,BNC01,2,-29.99952,42.47876,Automobile shop
5095,BNC01,2,-31.64008,36.52139,Automobile shop
5167,BNC01,2,-33.68478,30.23037,Automobile shop
5250,BNC01,2,-35.53951,23.74362,Automobile shop
5377,BNC01,2,-37.862,17.35102,Automobile shop
5486,BNC01,2,-44.60101,16.23685,Automobile shop
170,BNC01,3,0.0,-4.1,Automobile shop
243,BNC01,3,0.6227012,-0.2772746,Automobile shop
