,Participant,Block_num,X,Z,Target_Name
24705,BNC01,1,0.0,-4.1,Bank
24775,BNC01,1,1.412221,0.4824697,Bank
24933,BNC01,1,2.753719,5.548587,Bank
25003,BNC01,1,8.553064,8.105585,Bank
25141,BNC01,1,15.1762,9.702353,Bank
25230,BNC01,1,21.62392,10.69154,Bank
25486,BNC01,1,28.10411,11.12786,Bank
25918,BNC01,1,33.91084,10.36399,Bank
26374,BNC01,1,34.393,10.21057,Bank
26456,BNC01,1,34.91179,10.05337,Bank
26541,BNC01,1,35.4705,9.886235,Bank
26602,BNC01,1,34.88925,2.961265,Bank
26680,BNC01,1,33.61407,-4.057169,Bank
26970,BNC01,1,32.60417,-11.20239,Bank
27188,BNC01,1,31.33235,-18.29146,Bank
27265,BNC01,1,30.22007,-25.12287,Bank
27349,BNC01,1,30.11435,-32.15316,Bank
27598,BNC01,1,30.41465,-39.27418,Bank
27659,BNC01,1,31.05953,-45.65596,Bank
27861,BNC01,1,30.49772,-52.35662,Bank
27943,BNC01,1,23.95315,-51.96974,Bank
28005,BNC01,1,17.14754,-52.60814,Bank
28159,BNC01,1,10.34243,-53.53736,Bank
28303,BNC01,1,3.985641,-53.60015,Bank
28376,BNC01,1,-2.687574,-53.62097,Bank
28543,BNC01,1,-9.759892,-53.1974,Bank
28636,BNC01,1,-16.71638,-52.21144,Bank
28713,BNC01,1,-23.57791,-50.82724,Bank
28813,BNC01,1,-30.05116,-48.0196,Bank
28920,BNC01,1,-34.19217,-42.16351,Bank
29222,BNC01,1,-34.56928,-35.25359,Bank
29296,BNC01,1,-35.52555,-28.43653,Bank
29364,BNC01,1,-35.35876,-21.61154,Bank
29423,BNC01,1,-35.44661,-14.58426,Bank
29540,BNC01,1,-35.25235,-7.520337,Bank
29692,BNC01,1,-35.3221,-0.411955,Bank
29899,BNC01,1,-35.48388,6.28381,Bank
29986,BNC01,1,-39.94567,11.07271,Bank
30060,BNC01,1,-46.03005,13.09692,Bank
30118,BNC01,1,-52.37804,13.68883,Bank
30240,BNC01,1,-58.59814,14.52152,Bank
30351,BNC01,1,-64.79076,16.85227,Bank
30441,BNC01,1,-67.85605,22.74732,Bank
30490,BNC01,1,-69.39236,29.34784,Bank
30547,BNC01,1,-69.94759,36.16908,Bank
30834,BNC01,1,-69.64024,43.01545,Bank
30950,BNC01,1,-68.42698,48.64399,Bank
31011,BNC01,1,-68.42297,55.19918,Bank
31067,BNC01,1,-68.68396,61.94054,Bank
31187,BNC01,1,-68.61639,68.93301,Bank
31316,BNC01,1,-66.05165,74.72947,Bank
31415,BNC01,1,-59.95506,77.87714,Bank
31565,BNC01,1,-52.95178,77.55464,Bank
31633,BNC01,1,-45.86038,77.35913,Bank
31990,BNC01,1,-38.72862,77.30417,Bank
32335,BNC01,1,-32.44254,75.09235,Bank
32407,BNC01,1,-33.85281,68.66771,Bank
32497,BNC01,1,-34.31593,61.93018,Bank
32588,BNC01,1,-34.48382,55.16692,Bank
32742,BNC01,1,-34.18016,48.44382,Bank
32852,BNC01,1,-28.32867,45.76893,Bank
32974,BNC01,1,-22.24376,43.72374,Bank
33064,BNC01,1,-16.04616,42.49376,Bank
33118,BNC01,1,-9.657013,41.65458,Bank
33199,BNC01,1,-3.247764,41.10979,Bank
33275,BNC01,1,3.298181,40.81589,Bank
33401,BNC01,1,10.0146,40.77872,Bank
33459,BNC01,1,16.50883,39.3356,Bank
33592,BNC01,1,23.10192,39.45797,Bank
33712,BNC01,1,29.73955,37.62992,Bank
33863,BNC01,1,31.60401,30.68954,Bank
33937,BNC01,1,36.05771,25.34286,Bank
34194,BNC01,1,38.93848,18.84444,Bank
34546,BNC01,1,44.18583,14.74778,Bank
34685,BNC01,1,38.26583,12.77514,Bank
34801,BNC01,1,31.99362,12.17682,Bank
35162,BNC01,1,25.58432,11.09,Bank
35254,BNC01,1,30.169,6.064613,Bank
35403,BNC01,1,31.48665,-0.5406193,Bank
35637,BNC01,1,33.12154,-6.962523,Bank
35862,BNC01,1,30.74364,-12.9617,Bank
35961,BNC01,1,24.93641,-16.73189,Bank
36042,BNC01,1,17.81618,-16.73309,Bank
36267,BNC01,1,10.74371,-16.21849,Bank
36567,BNC01,1,4.443871,-16.23727,Bank
36683,BNC01,1,-0.1884282,-18.45116,Bank
36789,BNC01,1,-6.591609,-17.78632,Bank
36871,BNC01,1,-13.04354,-17.43622,Bank
36982,BNC01,1,-19.43229,-16.97646,Bank
37208,BNC01,1,-25.90338,-17.5889,Bank
37296,BNC01,1,-31.98535,-16.97857,Bank
37358,BNC01,1,-37.53535,-19.00524,Bank
37961,BNC01,1,-41.09588,-23.68384,Bank
38105,BNC01,1,-39.76163,-17.45527,Bank
38208,BNC01,1,-37.61697,-11.36583,Bank
38299,BNC01,1,-36.89015,-4.90715,Bank
38460,BNC01,1,-36.63844,1.650766,Bank
38613,BNC01,1,-37.30653,7.72026,Bank
38966,BNC01,1,-35.62003,13.91181,Bank
39048,BNC01,1,-29.21565,11.93029,Bank
39167,BNC01,1,-22.44593,11.40903,Bank
39230,BNC01,1,-15.47262,11.48239,Bank
39478,BNC01,1,-8.428379,11.76116,Bank
