,Participant,Block_num,X,Z,Target_Name
14924,BNC01,1,0.0,-4.1,Fire Station
14994,BNC01,1,0.6346948,3.042732,Fire Station
15084,BNC01,1,0.903356,10.24212,Fire Station
15252,BNC01,1,1.467932,17.41051,Fire Station
15351,BNC01,1,-5.430766,17.19936,Fire Station
15419,BNC01,1,-12.29088,16.19142,Fire Station
15542,BNC01,1,-19.26651,15.51744,Fire Station
15673,BNC01,1,-26.17563,15.70575,Fire Station
15787,BNC01,1,-32.61549,15.53362,Fire Station
15849,BNC01,1,-33.71907,22.48112,Fire Station
15917,BNC01,1,-34.551,29.52855,Fire Station
16046,BNC01,1,-34.80281,36.66252,Fire Station
16155,BNC01,1,-34.81968,43.81038,Fire Station
16217,BNC01,1,-34.79945,50.97375,Fire Station
16277,BNC01,1,-35.33969,58.14901,Fire Station
16385,BNC01,1,-36.03694,65.30949,Fire Station
16504,BNC01,1,-37.51408,72.36082,Fire Station
16627,BNC01,1,-42.58102,77.48711,Fire Station
16670,BNC01,1,-49.34612,78.49946,Fire Station
16756,BNC01,1,-56.36652,79.00044,Fire Station
16816,BNC01,1,-62.89151,76.7309,Fire Station
16976,BNC01,1,-69.38564,73.8681,Fire Station
17047,BNC01,1,-70.66675,67.26971,Fire Station
17169,BNC01,1,-71.19894,60.33782,Fire Station
17308,BNC01,1,-69.58628,53.87476,Fire Station
17405,BNC01,1,-63.89576,49.78105,Fire Station
17888,BNC01,1,-57.59314,46.9016,Fire Station
17950,BNC01,1,-50.62737,47.01095,Fire Station
18082,BNC01,1,-43.53634,46.85011,Fire Station
18148,BNC01,1,-38.19773,42.30653,Fire Station
18193,BNC01,1,-34.60759,36.34528,Fire Station
18256,BNC01,1,-33.12534,29.31528,Fire Station
18353,BNC01,1,-33.13596,22.0453,Fire Station
18432,BNC01,1,-34.11607,14.93962,Fire Station
18564,BNC01,1,-35.07415,7.808681,Fire Station
18613,BNC01,1,-35.50673,0.5727164,Fire Station
18717,BNC01,1,-35.88494,-6.684782,Fire Station
18858,BNC01,1,-35.77125,-13.94346,Fire Station
18949,BNC01,1,-29.95057,-18.05759,Fire Station
19066,BNC01,1,-22.93045,-18.99867,Fire Station
19120,BNC01,1,-15.94102,-20.12769,Fire Station
19276,BNC01,1,-8.87492,-20.79733,Fire Station
19568,BNC01,1,-3.632472,-16.36377,Fire Station
19686,BNC01,1,1.621438,-19.68694,Fire Station
19745,BNC01,1,8.135921,-19.65892,Fire Station
19865,BNC01,1,14.85131,-19.41988,Fire Station
20011,BNC01,1,21.3729,-18.8238,Fire Station
20098,BNC01,1,26.48899,-23.27267,Fire Station
20344,BNC01,1,29.05242,-29.88006,Fire Station
20449,BNC01,1,29.74546,-36.73358,Fire Station
20564,BNC01,1,31.28329,-43.36487,Fire Station
20670,BNC01,1,35.89204,-48.54574,Fire Station
20735,BNC01,1,42.21399,-51.07304,Fire Station
20865,BNC01,1,48.96515,-52.56321,Fire Station
20988,BNC01,1,55.90399,-52.75908,Fire Station
21098,BNC01,1,62.59998,-50.88704,Fire Station
21222,BNC01,1,66.59448,-45.53315,Fire Station
21387,BNC01,1,67.92769,-39.10711,Fire Station
21481,BNC01,1,67.99746,-32.57133,Fire Station
21673,BNC01,1,68.40432,-25.90061,Fire Station
21950,BNC01,1,68.65243,-19.41831,Fire Station
22033,BNC01,1,69.08094,-12.64778,Fire Station
22111,BNC01,1,69.21729,-5.843165,Fire Station
22236,BNC01,1,68.95767,1.064463,Fire Station
22307,BNC01,1,68.11895,7.84963,Fire Station
22390,BNC01,1,67.66922,14.74528,Fire Station
22504,BNC01,1,67.45559,21.68005,Fire Station
22591,BNC01,1,67.31104,28.63117,Fire Station
22649,BNC01,1,66.98141,35.49188,Fire Station
22734,BNC01,1,67.65213,42.45491,Fire Station
22850,BNC01,1,68.80609,49.44672,Fire Station
22928,BNC01,1,69.98709,56.41992,Fire Station
23036,BNC01,1,70.37373,63.45214,Fire Station
23088,BNC01,1,68.10712,70.07036,Fire Station
23235,BNC01,1,64.89963,76.41245,Fire Station
23355,BNC01,1,58.3061,77.28577,Fire Station
23465,BNC01,1,51.2616,78.10305,Fire Station
23521,BNC01,1,44.14812,78.06015,Fire Station
23601,BNC01,1,36.96294,77.90502,Fire Station
23697,BNC01,1,29.7877,77.50842,Fire Station
23905,BNC01,1,22.90713,75.5461,Fire Station
24347,BNC01,1,16.99318,73.59727,Fire Station
7178,BNC01,2,0.0,-4.1,Fire Station
