,Participant,Block_num,X,Z,Target_Name
62919,BNC01,1,0.0,-4.1,High School
63007,BNC01,1,0.07696873,0.8268061,High School
63658,BNC01,1,0.4868377,6.205757,High School
63768,BNC01,1,0.5698166,11.00216,High School
63844,BNC01,1,0.762959,16.09131,High School
63910,BNC01,1,1.265726,22.29163,High School
63989,BNC01,1,1.392112,28.54144,High School
64052,BNC01,1,1.373322,34.88364,High School
64114,BNC01,1,1.040887,41.37953,High School
64173,BNC01,1,0.6994689,48.01388,High School
64232,BNC01,1,0.4898434,54.77726,High School
64303,BNC01,1,0.2420469,61.72585,High School
64422,BNC01,1,-0.2779635,68.535,High School
64489,BNC01,1,-4.999359,73.61719,High School
64593,BNC01,1,-10.14113,77.56421,High School
64640,BNC01,1,-16.7451,77.99126,High School
64732,BNC01,1,-23.45374,78.22417,High School
64779,BNC01,1,-30.35032,77.89634,High School
64825,BNC01,1,-37.34648,77.87862,High School
64881,BNC01,1,-44.41575,78.08671,High School
64970,BNC01,1,-51.47884,77.98635,High School
65026,BNC01,1,-58.53305,77.94879,High School
65090,BNC01,1,-65.57074,77.41895,High School
65345,BNC01,1,-71.80881,74.82429,High School
65407,BNC01,1,-71.03281,68.79474,High School
65461,BNC01,1,-70.91566,62.38558,High School
65519,BNC01,1,-70.70993,55.72791,High School
65572,BNC01,1,-70.42316,48.9608,High School
65629,BNC01,1,-70.37134,42.09633,High School
65682,BNC01,1,-70.44351,35.18712,High School
65763,BNC01,1,-70.63823,28.30464,High School
66082,BNC01,1,-70.70293,21.52442,High School
66122,BNC01,1,-70.28953,15.41784,High School
66166,BNC01,1,-69.90456,8.993259,High School
66217,BNC01,1,-69.55824,2.576172,High School
66325,BNC01,1,-68.87201,-3.819308,High School
66410,BNC01,1,-64.84868,-9.423424,High School
66570,BNC01,1,-60.04516,-14.21082,High School
66635,BNC01,1,-54.50355,-17.09674,High School
66678,BNC01,1,-49.46497,-20.88734,High School
66747,BNC01,1,-44.02283,-24.64078,High School
66793,BNC01,1,-40.36129,-30.31919,High School
66843,BNC01,1,-37.37633,-36.31192,High School
66936,BNC01,1,-33.82984,-42.07812,High School
67029,BNC01,1,-29.80989,-47.3913,High School
67124,BNC01,1,-23.8189,-50.23885,High School
67171,BNC01,1,-17.29177,-52.40582,High School
67213,BNC01,1,-10.59499,-54.20322,High School
67257,BNC01,1,-3.673186,-55.66788,High School
67333,BNC01,1,3.318792,-56.7128,High School
67761,BNC01,1,10.3189,-57.00704,High School
67841,BNC01,1,16.87482,-55.13785,High School
67916,BNC01,1,23.82037,-54.73043,High School
68152,BNC01,1,30.69973,-54.34548,High School
68228,BNC01,1,36.43605,-53.12916,High School
68271,BNC01,1,42.7394,-52.80059,High School
68359,BNC01,1,49.28962,-52.75275,High School
68468,BNC01,1,55.7077,-52.76424,High School
68532,BNC01,1,61.63686,-49.70997,High School
68797,BNC01,1,67.27936,-46.05726,High School
68851,BNC01,1,67.55397,-39.63065,High School
68947,BNC01,1,68.12489,-32.83047,High School
68988,BNC01,1,68.25347,-25.79985,High School
69079,BNC01,1,68.39602,-18.59439,High School
69148,BNC01,1,68.41277,-11.43231,High School
69201,BNC01,1,68.36201,-4.242496,High School
69253,BNC01,1,68.37143,2.96698,High School
69297,BNC01,1,68.5119,10.21399,High School
69345,BNC01,1,68.61844,17.47841,High School
69421,BNC01,1,68.94692,24.78259,High School
69482,BNC01,1,69.09666,32.09113,High School
69545,BNC01,1,68.89255,39.39625,High School
69610,BNC01,1,68.6596,46.71607,High School
69690,BNC01,1,68.29842,54.02979,High School
69969,BNC01,1,67.51997,61.31213,High School
29398,BNC01,2,0.0,-4.1,High School
29534,BNC01,2,0.7834172,-0.3180066,High School
29604,BNC01,2,0.1447675,3.982991,High School
29671,BNC01,2,-1.285988,7.733198,High School
29715,BNC01,2,-4.787915,10.4928,High School
29768,BNC01,2,-9.304117,12.07211,High School
29824,BNC01,2,-14.43478,12.6526,High School
29885,BNC01,2,-19.8703,12.91564,High School
29972,BNC01,2,-25.24459,12.66649,High School
30030,BNC01,2,-29.88684,9.840107,High School
30101,BNC01,2,-33.75425,6.000115,High School
30171,BNC01,2,-35.74748,0.7328744,High School
30265,BNC01,2,-37.41582,-4.712227,High School
30357,BNC01,2,-38.85015,-10.34316,High School
30433,BNC01,2,-41.67122,-15.42131,High School
30732,BNC01,2,-46.54789,-18.75895,High School
30812,BNC01,2,-43.64289,-23.91064,High School
30890,BNC01,2,-40.83302,-29.27405,High School
30965,BNC01,2,-38.43399,-34.90771,High School
31014,BNC01,2,-35.45436,-40.45636,High School
31061,BNC01,2,-31.80906,-45.70928,High School
31107,BNC01,2,-27.63554,-50.75016,High School
31159,BNC01,2,-22.29147,-54.54364,High School
31210,BNC01,2,-15.80858,-56.16698,High School
31264,BNC01,2,-9.127321,-56.71486,High School
31321,BNC01,2,-2.302589,-56.87361,High School
31414,BNC01,2,4.594028,-57.00289,High School
31486,BNC01,2,11.30184,-57.25242,High School
31538,BNC01,2,17.84319,-57.52372,High School
31587,BNC01,2,24.69422,-57.59865,High School
31629,BNC01,2,31.69054,-57.11695,High School
31672,BNC01,2,38.71569,-56.48048,High School
31782,BNC01,2,45.72874,-55.65788,High School
31835,BNC01,2,51.90128,-53.31905,High School
31923,BNC01,2,58.0791,-51.08767,High School
32085,BNC01,2,63.41514,-47.65516,High School
32133,BNC01,2,64.48706,-41.30853,High School
32212,BNC01,2,65.47107,-34.78806,High School
32248,BNC01,2,66.08465,-27.78245,High School
32326,BNC01,2,66.60244,-20.77027,High School
32369,BNC01,2,66.7533,-13.6525,High School
32419,BNC01,2,66.83951,-6.624093,High School
32456,BNC01,2,67.18395,0.289781,High School
32772,BNC01,2,67.29132,7.226402,High School
32812,BNC01,2,67.30791,13.69191,High School
32864,BNC01,2,67.60447,20.56266,High School
32908,BNC01,2,67.75863,27.62941,High School
32960,BNC01,2,67.91621,34.83969,High School
33004,BNC01,2,68.00118,42.04232,High School
