,Participant,Block_num,X,Z,Target_Name
46314,BNC01,1,0.0,-4.1,Pawn Shop
46457,BNC01,1,1.070835,2.625575,Pawn Shop
46562,BNC01,1,1.417168,8.796747,Pawn Shop
46786,BNC01,1,1.273514,14.77593,Pawn Shop
47504,BNC01,1,-5.621414,14.78267,Pawn Shop
47589,BNC01,1,-12.56891,15.65465,Pawn Shop
47681,BNC01,1,-19.14738,15.01579,Pawn Shop
47764,BNC01,1,-25.74454,14.04776,Pawn Shop
47969,BNC01,1,-32.43411,13.41133,Pawn Shop
48059,BNC01,1,-32.41853,20.18917,Pawn Shop
48441,BNC01,1,-33.4482,26.85454,Pawn Shop
48598,BNC01,1,-34.52294,33.6256,Pawn Shop
48728,BNC01,1,-37.99366,38.9613,Pawn Shop
49076,BNC01,1,-43.13919,43.00223,Pawn Shop
49240,BNC01,1,-36.65528,42.2992,Pawn Shop
49490,BNC01,1,-30.16607,41.45996,Pawn Shop
49547,BNC01,1,-32.74287,35.12885,Pawn Shop
49606,BNC01,1,-34.59148,28.476,Pawn Shop
49756,BNC01,1,-35.54501,21.70577,Pawn Shop
50131,BNC01,1,-35.44877,15.07947,Pawn Shop
50288,BNC01,1,-36.02828,8.429501,Pawn Shop
50414,BNC01,1,-36.23011,1.549404,Pawn Shop
50576,BNC01,1,-36.0344,-5.35331,Pawn Shop
50630,BNC01,1,-34.96682,-12.09821,Pawn Shop
50681,BNC01,1,-33.39615,-19.03447,Pawn Shop
50772,BNC01,1,-31.57678,-25.98607,Pawn Shop
16197,BNC01,2,0.0,-4.1,Pawn Shop
16286,BNC01,2,0.4852502,0.3692597,Pawn Shop
16407,BNC01,2,0.7773296,4.44919,Pawn Shop
16517,BNC01,2,5.317571,7.624057,Pawn Shop
16606,BNC01,2,11.39322,9.202607,Pawn Shop
16699,BNC01,2,17.41666,10.27378,Pawn Shop
16784,BNC01,2,22.86163,10.90477,Pawn Shop
17013,BNC01,2,27.82158,10.89593,Pawn Shop
17275,BNC01,2,30.08044,6.324005,Pawn Shop
17417,BNC01,2,33.72738,10.61942,Pawn Shop
17869,BNC01,2,34.08246,16.12471,Pawn Shop
17959,BNC01,2,38.59244,14.51622,Pawn Shop
18151,BNC01,2,42.96319,13.56954,Pawn Shop
18362,BNC01,2,44.69917,16.79982,Pawn Shop
18623,BNC01,2,39.91964,16.50941,Pawn Shop
18711,BNC01,2,37.71177,22.29304,Pawn Shop
18844,BNC01,2,35.61227,27.79411,Pawn Shop
18949,BNC01,2,34.23767,32.81654,Pawn Shop
19173,BNC01,2,34.64639,37.10312,Pawn Shop
19309,BNC01,2,33.73199,41.1813,Pawn Shop
19444,BNC01,2,28.7919,41.78393,Pawn Shop
19542,BNC01,2,23.25582,41.44872,Pawn Shop
19627,BNC01,2,17.9947,41.38652,Pawn Shop
19722,BNC01,2,12.32302,41.24224,Pawn Shop
20042,BNC01,2,6.918315,41.40059,Pawn Shop
20326,BNC01,2,4.249334,43.0195,Pawn Shop
20394,BNC01,2,2.267735,39.24256,Pawn Shop
20481,BNC01,2,1.36002,34.78208,Pawn Shop
20555,BNC01,2,1.013909,30.30442,Pawn Shop
20626,BNC01,2,0.7620367,25.43245,Pawn Shop
20696,BNC01,2,0.5724199,20.67397,Pawn Shop
21050,BNC01,2,0.3176827,16.00579,Pawn Shop
21196,BNC01,2,-0.8792633,12.67735,Pawn Shop
21280,BNC01,2,-1.533602,7.929022,Pawn Shop
21505,BNC01,2,-1.084002,2.883991,Pawn Shop
21570,BNC01,2,0.0211933,-2.027235,Pawn Shop
21630,BNC01,2,0.4179226,-7.395334,Pawn Shop
22041,BNC01,2,0.9193161,-12.79636,Pawn Shop
22177,BNC01,2,-3.241448,-15.25987,Pawn Shop
22281,BNC01,2,-8.416208,-16.55816,Pawn Shop
22491,BNC01,2,-14.17656,-17.243,Pawn Shop
22631,BNC01,2,-18.37802,-19.30707,Pawn Shop
22775,BNC01,2,-23.81503,-20.16884,Pawn Shop
22949,BNC01,2,-29.00239,-19.97525,Pawn Shop
23142,BNC01,2,-32.51819,-23.34832,Pawn Shop
23247,BNC01,2,-30.36028,-29.45019,Pawn Shop
8338,BNC01,3,0.0,-4.1,Pawn Shop
8399,BNC01,3,0.04599243,0.01369303,Pawn Shop
8787,BNC01,3,-0.169964,3.784492,Pawn Shop
8855,BNC01,3,-0.7239094,6.888846,Pawn Shop
8926,BNC01,3,-2.741722,9.396782,Pawn Shop
8996,BNC01,3,-6.145987,11.02189,Pawn Shop
9056,BNC01,3,-9.957668,11.89731,Pawn Shop
9132,BNC01,3,-14.04227,12.32916,Pawn Shop
9200,BNC01,3,-18.16999,12.49984,Pawn Shop
9280,BNC01,3,-22.42696,12.51808,Pawn Shop
9372,BNC01,3,-26.70023,12.12395,Pawn Shop
9632,BNC01,3,-30.81053,11.81869,Pawn Shop
10064,BNC01,3,-34.02177,12.78774,Pawn Shop
10136,BNC01,3,-35.0657,9.815735,Pawn Shop
10190,BNC01,3,-36.04701,5.482481,Pawn Shop
10268,BNC01,3,-36.49838,0.5011439,Pawn Shop
10337,BNC01,3,-36.07929,-4.434604,Pawn Shop
10391,BNC01,3,-35.36797,-9.446176,Pawn Shop
10449,BNC01,3,-34.34094,-14.83417,Pawn Shop
10509,BNC01,3,-33.04244,-20.55445,Pawn Shop
10625,BNC01,3,-31.29147,-26.4182,Pawn Shop
25200,BNC02,1,0.0,-4.1,Pawn Shop
25275,BNC02,1,-0.6943226,2.024431,Pawn Shop
25426,BNC02,1,-0.04072573,6.022173,Pawn Shop
