,Participant,Block_num,X,Z,Target_Name
51040,BNC01,1,0.0,-4.1,Pizzeria
51464,BNC01,1,-1.527614,-10.02246,Pizzeria
51674,BNC01,1,1.117601,-4.227245,Pizzeria
52054,BNC01,1,-0.5950902,1.897403,Pizzeria
52508,BNC01,1,-0.575002,8.02693,Pizzeria
52575,BNC01,1,-7.240193,10.07055,Pizzeria
52704,BNC01,1,-14.07284,11.67515,Pizzeria
52796,BNC01,1,-20.98345,12.6935,Pizzeria
53004,BNC01,1,-27.92244,13.08394,Pizzeria
53149,BNC01,1,-32.71523,8.58225,Pizzeria
53293,BNC01,1,-33.44517,2.028514,Pizzeria
53372,BNC01,1,-34.24548,-4.936831,Pizzeria
53601,BNC01,1,-34.42641,-12.06225,Pizzeria
53845,BNC01,1,-39.08929,-16.70889,Pizzeria
53984,BNC01,1,-39.73899,-23.31242,Pizzeria
54368,BNC01,1,-33.80337,-25.9451,Pizzeria
54439,BNC01,1,-31.42644,-20.18963,Pizzeria
54514,BNC01,1,-25.139,-19.00005,Pizzeria
54596,BNC01,1,-18.47711,-19.10795,Pizzeria
54753,BNC01,1,-11.73502,-19.20902,Pizzeria
54842,BNC01,1,-5.273551,-19.54502,Pizzeria
55117,BNC01,1,1.281176,-20.4899,Pizzeria
55174,BNC01,1,1.043532,-27.39617,Pizzeria
55557,BNC01,1,0.4979162,-34.36283,Pizzeria
55691,BNC01,1,2.141228,-27.41015,Pizzeria
55821,BNC01,1,1.90134,-20.42438,Pizzeria
56016,BNC01,1,1.647306,-13.5482,Pizzeria
56089,BNC01,1,7.729942,-16.22826,Pizzeria
56166,BNC01,1,14.25437,-18.77737,Pizzeria
56264,BNC01,1,21.03798,-19.46847,Pizzeria
56774,BNC01,1,27.72848,-17.95287,Pizzeria
57058,BNC01,1,34.90879,-17.48616,Pizzeria
57118,BNC01,1,41.77738,-16.08879,Pizzeria
57181,BNC01,1,48.99557,-15.59554,Pizzeria
57336,BNC01,1,56.14897,-15.59738,Pizzeria
57512,BNC01,1,62.34388,-18.54185,Pizzeria
57790,BNC01,1,64.8443,-24.92256,Pizzeria
57846,BNC01,1,68.6003,-19.86907,Pizzeria
57908,BNC01,1,70.66579,-13.39885,Pizzeria
57994,BNC01,1,70.66977,-6.418121,Pizzeria
58044,BNC01,1,69.8316,0.646418,Pizzeria
58108,BNC01,1,68.55375,7.652741,Pizzeria
58179,BNC01,1,66.57408,14.53506,Pizzeria
58257,BNC01,1,64.5831,21.43139,Pizzeria
23569,BNC01,2,0.0,-4.1,Pizzeria
23673,BNC01,2,0.4317429,1.056803,Pizzeria
23858,BNC01,2,1.047678,5.483047,Pizzeria
23948,BNC01,2,6.013276,7.665778,Pizzeria
24038,BNC01,2,12.23551,8.859786,Pizzeria
24130,BNC01,2,18.32635,10.03333,Pizzeria
24219,BNC01,2,24.35007,10.96935,Pizzeria
24428,BNC01,2,30.01488,12.09964,Pizzeria
24497,BNC01,2,36.05724,11.71708,Pizzeria
24580,BNC01,2,42.46212,12.053,Pizzeria
24665,BNC01,2,49.04943,12.49718,Pizzeria
24769,BNC01,2,55.60519,13.11996,Pizzeria
24884,BNC01,2,61.681,14.14166,Pizzeria
25069,BNC01,2,63.44788,19.89878,Pizzeria
25209,BNC01,2,61.65475,26.45906,Pizzeria
10951,BNC01,3,0.0,-4.1,Pizzeria
11000,BNC01,3,0.03150023,1.029516,Pizzeria
11047,BNC01,3,0.2906335,6.84868,Pizzeria
11093,BNC01,3,0.312163,13.13271,Pizzeria
11139,BNC01,3,0.357253,19.58995,Pizzeria
11185,BNC01,3,0.4225342,26.00844,Pizzeria
11232,BNC01,3,0.4323406,32.27856,Pizzeria
11279,BNC01,3,0.4854912,38.40374,Pizzeria
11332,BNC01,3,0.5580723,44.72312,Pizzeria
11383,BNC01,3,0.4783724,51.06586,Pizzeria
11432,BNC01,3,0.06770381,57.36715,Pizzeria
11487,BNC01,3,-0.4051802,63.7198,Pizzeria
11602,BNC01,3,-1.272595,70.04926,Pizzeria
11741,BNC01,3,-5.669346,74.13636,Pizzeria
11791,BNC01,3,-11.74179,75.72007,Pizzeria
11832,BNC01,3,-18.17467,77.00275,Pizzeria
11872,BNC01,3,-24.7513,77.79878,Pizzeria
12183,BNC01,3,-31.34692,78.18394,Pizzeria
12232,BNC01,3,-24.95732,77.66753,Pizzeria
12347,BNC01,3,-18.48336,77.17213,Pizzeria
12395,BNC01,3,-11.94632,76.85213,Pizzeria
12481,BNC01,3,-6.089498,76.71737,Pizzeria
12587,BNC01,3,-0.4860873,76.69218,Pizzeria
12663,BNC01,3,5.228548,76.11584,Pizzeria
12720,BNC01,3,11.00351,75.44978,Pizzeria
12770,BNC01,3,17.07775,75.62864,Pizzeria
12845,BNC01,3,23.11493,76.23965,Pizzeria
13099,BNC01,3,29.25195,76.84516,Pizzeria
13187,BNC01,3,35.42693,76.25818,Pizzeria
13307,BNC01,3,41.59993,76.1615,Pizzeria
13412,BNC01,3,47.95598,76.34541,Pizzeria
13526,BNC01,3,54.13981,76.55671,Pizzeria
13592,BNC01,3,60.05502,75.58845,Pizzeria
13718,BNC01,3,65.7998,73.86029,Pizzeria
13800,BNC01,3,68.68819,68.30301,Pizzeria
13883,BNC01,3,71.09164,62.6754,Pizzeria
13923,BNC01,3,71.04932,56.12281,Pizzeria
13963,BNC01,3,69.67974,49.67258,Pizzeria
14009,BNC01,3,67.73925,43.41375,Pizzeria
14091,BNC01,3,65.41785,37.09877,Pizzeria
14227,BNC01,3,62.07273,31.26189,Pizzeria
29703,BNC02,1,0.0,-4.1,Pizzeria
29788,BNC02,1,0.3432153,1.398013,Pizzeria
30247,BNC02,1,0.9782659,6.542106,Pizzeria
30408,BNC02,1,7.274823,7.153967,Pizzeria
30482,BNC02,1,14.42248,9.042479,Pizzeria
30536,BNC02,1,21.56871,10.31861,Pizzeria
30609,BNC02,1,28.0698,10.73612,Pizzeria
30723,BNC02,1,34.24098,11.06737,Pizzeria
31046,BNC02,1,40.31947,11.99872,Pizzeria
31153,BNC02,1,46.5588,12.96745,Pizzeria
31215,BNC02,1,52.78863,13.45864,Pizzeria
31342,BNC02,1,59.09116,13.60753,Pizzeria
31667,BNC02,1,62.90985,18.23483,Pizzeria
31770,BNC02,1,61.6434,24.27919,Pizzeria
8213,BNC02,2,0.0,-4.1,Pizzeria
