,Participant,Block_num,X,Z,Target_Name
4004,BNC01,1,0.0,-4.1,Police station 
4473,BNC01,1,1.054275,2.314774,Police station 
4841,BNC01,1,-0.8171088,-3.464052,Police station 
4927,BNC01,1,-0.7733979,3.522314,Police station 
5172,BNC01,1,-0.3908623,9.959385,Police station 
5279,BNC01,1,6.241416,9.472496,Police station 
5371,BNC01,1,13.07111,9.295609,Police station 
5462,BNC01,1,19.85371,10.07935,Police station 
5559,BNC01,1,26.64497,10.7336,Police station 
5658,BNC01,1,33.55636,11.84175,Police station 
5988,BNC01,1,40.59641,12.38336,Police station 
6248,BNC01,1,37.89553,18.66476,Police station 
6343,BNC01,1,35.68073,25.08291,Police station 
6441,BNC01,1,34.3768,31.70898,Police station 
6736,BNC01,1,33.55759,38.57801,Police station 
6952,BNC01,1,32.51084,45.53458,Police station 
7041,BNC01,1,25.85623,43.28709,Police station 
7100,BNC01,1,18.81075,42.06871,Police station 
7249,BNC01,1,11.59728,41.81194,Police station 
7410,BNC01,1,4.676856,40.24164,Police station 
7503,BNC01,1,2.246656,34.05361,Police station 
7579,BNC01,1,1.025043,27.48648,Police station 
7673,BNC01,1,0.2700746,20.64097,Police station 
8014,BNC01,1,-0.02964261,13.74082,Police station 
8098,BNC01,1,-6.935541,13.03272,Police station 
8305,BNC01,1,-13.95299,13.27893,Police station 
8407,BNC01,1,-20.62078,14.04114,Police station 
8496,BNC01,1,-26.93558,12.12422,Police station 
8603,BNC01,1,-32.02602,8.160338,Police station 
8686,BNC01,1,-33.58138,1.902027,Police station 
8884,BNC01,1,-35.39558,-4.618866,Police station 
9022,BNC01,1,-37.15027,-10.82498,Police station 
9178,BNC01,1,-43.4919,-12.96141,Police station 
9359,BNC01,1,-49.68969,-15.74917,Police station 
9423,BNC01,1,-56.66663,-15.4638,Police station 
9550,BNC01,1,-63.67681,-15.20804,Police station 
9640,BNC01,1,-65.2925,-8.343866,Police station 
9781,BNC01,1,-67.23075,-1.501717,Police station 
9843,BNC01,1,-68.85222,5.263149,Police station 
10134,BNC01,1,-70.38314,12.16333,Police station 
10303,BNC01,1,-71.44541,6.316885,Police station 
10380,BNC01,1,-69.90288,0.2523825,Police station 
10456,BNC01,1,-67.84678,-5.796741,Police station 
10550,BNC01,1,-65.38541,-11.60709,Police station 
10699,BNC01,1,-61.60971,-16.33386,Police station 
10782,BNC01,1,-55.67956,-18.13335,Police station 
10866,BNC01,1,-49.61536,-20.2468,Police station 
10976,BNC01,1,-44.00016,-23.48868,Police station 
11045,BNC01,1,-41.76041,-30.03209,Police station 
11134,BNC01,1,-39.22653,-36.55127,Police station 
11222,BNC01,1,-36.03183,-42.73681,Police station 
11353,BNC01,1,-32.26069,-48.60293,Police station 
11464,BNC01,1,-25.65325,-50.44875,Police station 
11588,BNC01,1,-18.75732,-52.1085,Police station 
11665,BNC01,1,-11.74346,-53.13873,Police station 
12088,BNC01,1,-4.691233,-54.0333,Police station 
12158,BNC01,1,1.31116,-53.21556,Police station 
12220,BNC01,1,7.919799,-53.63385,Police station 
12313,BNC01,1,14.79238,-53.94635,Police station 
12449,BNC01,1,21.62629,-54.2246,Police station 
12656,BNC01,1,27.94284,-53.69381,Police station 
12911,BNC01,1,30.2009,-48.33078,Police station 
12971,BNC01,1,36.01057,-50.622,Police station 
13036,BNC01,1,42.29501,-52.35407,Police station 
13125,BNC01,1,48.72847,-53.81491,Police station 
13244,BNC01,1,55.2827,-54.33796,Police station 
13312,BNC01,1,61.4209,-51.89576,Police station 
13518,BNC01,1,66.21922,-47.42978,Police station 
13589,BNC01,1,66.9351,-40.891,Police station 
13649,BNC01,1,67.37,-34.07291,Police station 
13713,BNC01,1,67.97381,-27.22659,Police station 
13814,BNC01,1,68.56652,-20.30715,Police station 
13889,BNC01,1,68.44396,-13.33764,Police station 
14345,BNC01,1,68.59663,-6.377483,Police station 
14404,BNC01,1,62.53885,-10.41179,Police station 
14496,BNC01,1,56.30139,-13.98024,Police station 
5787,BNC01,2,0.0,-4.1,Police station 
5861,BNC01,2,0.7665936,1.126101,Police station 
5972,BNC01,2,1.616653,5.994063,Police station 
6044,BNC01,2,7.466182,8.143635,Police station 
6106,BNC01,2,14.07842,9.187962,Police station 
6185,BNC01,2,20.59369,10.03074,Police station 
6421,BNC01,2,26.86844,11.1868,Police station 
6568,BNC01,2,29.76101,6.36104,Police station 
6651,BNC01,2,31.38772,0.04147905,Police station 
6780,BNC01,2,33.56833,-5.926893,Police station 
6812,BNC01,2,38.92784,-10.4334,Police station 
6946,BNC01,2,44.27868,-15.27353,Police station 
3422,BNC01,3,0.0,-4.1,Police station 
3462,BNC01,3,0.4748875,1.044554,Police station 
3512,BNC01,3,1.654286,6.31748,Police station 
3613,BNC01,3,3.774685,10.72684,Police station 
3655,BNC01,3,9.650919,10.99499,Police station 
3731,BNC01,3,15.62033,11.36935,Police station 
3808,BNC01,3,21.32531,11.86843,Police station 
3878,BNC01,3,26.51805,11.72253,Police station 
3922,BNC01,3,30.53558,8.77326,Police station 
3969,BNC01,3,33.31897,3.937618,Police station 
4010,BNC01,3,34.74695,-2.206648,Police station 
4064,BNC01,3,35.26149,-8.549783,Police station 
4122,BNC01,3,35.27737,-15.11046,Police station 
4364,BNC01,3,35.19704,-21.56929,Police station 
4778,BNC01,3,35.33421,-26.66448,Police station 
4838,BNC01,3,35.36086,-23.80527,Police station 
4945,BNC01,3,35.90611,-20.93391,Police station 
5037,BNC01,3,38.71258,-19.55667,Police station 
5142,BNC01,3,41.56709,-18.17649,Police station 
5306,BNC01,3,44.77614,-16.74799,Police station 
2478,BNC02,1,0.0,-4.1,Police station 
2581,BNC02,1,0.2316272,2.673547,Police station 
3106,BNC02,1,0.2743523,9.108701,Police station 
3181,BNC02,1,0.1381477,16.21759,Police station 
3248,BNC02,1,0.4563605,23.25992,Police station 
3335,BNC02,1,0.7096448,30.2597,Police station 
3771,BNC02,1,1.098011,37.01677,Police station 
4063,BNC02,1,4.80842,40.36951,Police station 
4152,BNC02,1,11.78878,40.98665,Police station 
4238,BNC02,1,18.67529,41.59056,Police station 
4371,BNC02,1,25.57943,42.13116,Police station 
5016,BNC02,1,32.07626,42.68368,Police station 
5681,BNC02,1,34.17999,36.62663,Police station 
5796,BNC02,1,35.07785,32.13093,Police station 
5895,BNC02,1,36.22903,25.46008,Police station 
6019,BNC02,1,35.28654,18.59529,Police station 
6513,BNC02,1,34.59144,12.1749,Police station 
6599,BNC02,1,34.28419,5.092598,Police station 
6711,BNC02,1,33.94738,-1.936745,Police station 
6922,BNC02,1,33.893,-8.693031,Police station 
7008,BNC02,1,39.93661,-11.93314,Police station 
7157,BNC02,1,45.54951,-15.8194,Police station 
1176,BNC02,2,0.0,-4.1,Police station 
1219,BNC02,2,0.6605408,1.021299,Police station 
1321,BNC02,2,1.070913,5.473538,Police station 
1506,BNC02,2,0.8430943,8.537296,Police station 
1572,BNC02,2,7.395125,7.386525,Police station 
1612,BNC02,2,14.20425,8.3176,Police station 
1710,BNC02,2,20.7438,9.924985,Police station 
1791,BNC02,2,25.99287,12.05481,Police station 
1924,BNC02,2,30.199,13.10944,Police station 
1972,BNC02,2,31.41543,6.485732,Police station 
2014,BNC02,2,32.91085,0.1256838,Police station 
2153,BNC02,2,34.61327,-6.030069,Police station 
2198,BNC02,2,39.17989,-9.913064,Police station 
2305,BNC02,2,43.80149,-14.04898,Police station 
1562,BNC02,3,0.0,-4.1,Police station 
1596,BNC02,3,0.5065561,0.677072,Police station 
1708,BNC02,3,1.232925,5.506595,Police station 
1790,BNC02,3,6.339029,8.482664,Police station 
