,Participant,Block_num,X,Z,Target_Name
58755,BNC01,1,0.0,-4.1,Quattroki Restaurant
58919,BNC01,1,1.347317,1.440983,Quattroki Restaurant
59005,BNC01,1,3.398641,6.91821,Quattroki Restaurant
59074,BNC01,1,2.829532,12.96052,Quattroki Restaurant
59214,BNC01,1,-0.320769,17.94177,Quattroki Restaurant
59509,BNC01,1,-6.287829,15.88949,Quattroki Restaurant
59649,BNC01,1,-2.592308,19.47524,Quattroki Restaurant
59923,BNC01,1,0.998133,23.92233,Quattroki Restaurant
60033,BNC01,1,1.525526,30.13536,Quattroki Restaurant
60139,BNC01,1,1.395947,36.21683,Quattroki Restaurant
60377,BNC01,1,1.341756,42.10242,Quattroki Restaurant
60514,BNC01,1,2.793164,48.06436,Quattroki Restaurant
60625,BNC01,1,3.072957,54.21621,Quattroki Restaurant
60751,BNC01,1,2.588602,60.24585,Quattroki Restaurant
60829,BNC01,1,0.9016921,66.6393,Quattroki Restaurant
60985,BNC01,1,-2.341202,72.48724,Quattroki Restaurant
61188,BNC01,1,-8.268433,74.76003,Quattroki Restaurant
61287,BNC01,1,-14.68396,75.35999,Quattroki Restaurant
61374,BNC01,1,-21.50488,76.25254,Quattroki Restaurant
61517,BNC01,1,-28.32691,76.53976,Quattroki Restaurant
61849,BNC01,1,-35.18982,76.31301,Quattroki Restaurant
61917,BNC01,1,-41.78281,76.36198,Quattroki Restaurant
62492,BNC01,1,-48.52777,75.99622,Quattroki Restaurant
25633,BNC01,2,0.0,-4.1,Quattroki Restaurant
25697,BNC01,2,0.2885243,-0.617763,Quattroki Restaurant
25804,BNC01,2,0.4654204,3.230753,Quattroki Restaurant
26065,BNC01,2,0.08634833,6.8116,Quattroki Restaurant
26142,BNC01,2,-2.159601,9.763102,Quattroki Restaurant
26211,BNC01,2,-6.077082,11.23347,Quattroki Restaurant
26280,BNC01,2,-10.56203,11.78466,Quattroki Restaurant
26347,BNC01,2,-15.6263,12.35496,Quattroki Restaurant
26418,BNC01,2,-20.71543,12.582,Quattroki Restaurant
26487,BNC01,2,-26.14359,12.84971,Quattroki Restaurant
26552,BNC01,2,-31.48003,12.88493,Quattroki Restaurant
26620,BNC01,2,-36.99037,12.79052,Quattroki Restaurant
26689,BNC01,2,-42.5666,12.88884,Quattroki Restaurant
26764,BNC01,2,-48.32377,12.81748,Quattroki Restaurant
26861,BNC01,2,-54.20192,12.65414,Quattroki Restaurant
27004,BNC01,2,-59.89577,11.87709,Quattroki Restaurant
27308,BNC01,2,-62.72765,7.620982,Quattroki Restaurant
27422,BNC01,2,-65.64754,12.17716,Quattroki Restaurant
27531,BNC01,2,-68.11896,16.69657,Quattroki Restaurant
27614,BNC01,2,-69.83722,22.29567,Quattroki Restaurant
27789,BNC01,2,-71.12656,28.23775,Quattroki Restaurant
27898,BNC01,2,-70.73573,33.11623,Quattroki Restaurant
27986,BNC01,2,-70.58184,38.21786,Quattroki Restaurant
28160,BNC01,2,-70.20454,43.19519,Quattroki Restaurant
28242,BNC01,2,-69.42265,48.53868,Quattroki Restaurant
28310,BNC01,2,-69.08484,54.10011,Quattroki Restaurant
28375,BNC01,2,-69.06295,59.7524,Quattroki Restaurant
28437,BNC01,2,-68.83781,64.98029,Quattroki Restaurant
28556,BNC01,2,-68.31569,70.15008,Quattroki Restaurant
28691,BNC01,2,-66.07845,74.93009,Quattroki Restaurant
28781,BNC01,2,-60.08473,76.34436,Quattroki Restaurant
