,Participant,Block_num,X,Z,Target_Name
46314,BNC01,1,0.0,-4.1,Pawn Shop
46457,BNC01,1,1.070835,2.625575,Pawn Shop
46562,BNC01,1,1.417168,8.796747,Pawn Shop
46786,BNC01,1,1.273514,14.77593,Pawn Shop
47504,BNC01,1,-5.621414,14.78267,Pawn Shop
47589,BNC01,1,-12.56891,15.65465,Pawn Shop
47681,BNC01,1,-19.14738,15.01579,Pawn Shop
47764,BNC01,1,-25.74454,14.04776,Pawn Shop
47969,BNC01,1,-32.43411,13.41133,Pawn Shop
48059,BNC01,1,-32.41853,20.18917,Pawn Shop
48441,BNC01,1,-33.4482,26.85454,Pawn Shop
48598,BNC01,1,-34.52294,33.6256,Pawn Shop
48728,BNC01,1,-37.99366,38.9613,Pawn Shop
49076,BNC01,1,-43.13919,43.00223,Pawn Shop
49240,BNC01,1,-36.65528,42.2992,Pawn Shop
49490,BNC01,1,-30.16607,41.45996,Pawn Shop
49547,BNC01,1,-32.74287,35.12885,Pawn Shop
49606,BNC01,1,-34.59148,28.476,Pawn Shop
49756,BNC01,1,-35.54501,21.70577,Pawn Shop
50131,BNC01,1,-35.44877,15.07947,Pawn Shop
50288,BNC01,1,-36.02828,8.429501,Pawn Shop
50414,BNC01,1,-36.23011,1.549404,Pawn Shop
50576,BNC01,1,-36.0344,-5.35331,Pawn Shop
50630,BNC01,1,-34.96682,-12.09821,Pawn Shop
50681,BNC01,1,-33.39615,-19.03447,Pawn Shop
50772,BNC01,1,-31.57678,-25.98607,Pawn Shop
25200,BNC02,1,0.0,-4.1,Pawn Shop
25275,BNC02,1,-0.6943226,2.024431,Pawn Shop
25426,BNC02,1,-0.04072573,6.022173,Pawn Shop
25491,BNC02,1,4.826931,8.116908,Pawn Shop
25562,BNC02,1,9.453276,9.718546,Pawn Shop
25648,BNC02,1,15.16826,9.516483,Pawn Shop
25701,BNC02,1,20.29554,9.082101,Pawn Shop
25733,BNC02,1,25.46831,8.826469,Pawn Shop
25983,BNC02,1,30.53272,8.538695,Pawn Shop
26036,BNC02,1,30.80405,3.302253,Pawn Shop
26071,BNC02,1,31.38661,-1.898492,Pawn Shop
26159,BNC02,1,31.90166,-7.215072,Pawn Shop
26547,BNC02,1,32.03181,-12.29868,Pawn Shop
26616,BNC02,1,26.54019,-15.13029,Pawn Shop
26692,BNC02,1,21.02957,-17.32529,Pawn Shop
26739,BNC02,1,15.22752,-17.25488,Pawn Shop
26783,BNC02,1,9.613948,-17.08519,Pawn Shop
27550,BNC02,1,4.034295,-16.7932,Pawn Shop
27600,BNC02,1,-1.624116,-17.70331,Pawn Shop
27639,BNC02,1,-7.367895,-17.96411,Pawn Shop
27682,BNC02,1,-13.09261,-17.98191,Pawn Shop
27724,BNC02,1,-18.61848,-17.50836,Pawn Shop
27784,BNC02,1,-24.06021,-16.91804,Pawn Shop
27974,BNC02,1,-29.33006,-16.10942,Pawn Shop
28094,BNC02,1,-32.09517,-11.19071,Pawn Shop
28178,BNC02,1,-36.59457,-12.5439,Pawn Shop
28740,BNC02,1,-40.66007,-14.38988,Pawn Shop
28776,BNC02,1,-38.45785,-18.79006,Pawn Shop
28810,BNC02,1,-35.41252,-23.93994,Pawn Shop
28930,BNC02,1,-31.99634,-29.23155,Pawn Shop
62437,BNC03,1,0.0,-4.1,Pawn Shop
62503,BNC03,1,1.175633,0.1909565,Pawn Shop
62709,BNC03,1,2.7606,4.999859,Pawn Shop
62884,BNC03,1,1.086526,9.902864,Pawn Shop
62948,BNC03,1,6.88156,9.055756,Pawn Shop
63050,BNC03,1,12.8304,8.801773,Pawn Shop
63105,BNC03,1,18.77778,7.372162,Pawn Shop
63415,BNC03,1,24.80139,6.582791,Pawn Shop
63579,BNC03,1,30.66004,7.169655,Pawn Shop
63725,BNC03,1,31.41453,13.21445,Pawn Shop
63788,BNC03,1,34.79974,19.07257,Pawn Shop
63966,BNC03,1,37.78973,25.09608,Pawn Shop
64052,BNC03,1,35.94606,31.08762,Pawn Shop
64136,BNC03,1,35.37139,37.32111,Pawn Shop
64706,BNC03,1,35.12102,43.6605,Pawn Shop
64774,BNC03,1,34.58912,50.2602,Pawn Shop
64825,BNC03,1,33.06424,56.75204,Pawn Shop
64903,BNC03,1,32.00375,63.27199,Pawn Shop
65090,BNC03,1,33.73635,69.47447,Pawn Shop
65155,BNC03,1,38.52939,73.81511,Pawn Shop
65220,BNC03,1,44.60885,76.65897,Pawn Shop
65288,BNC03,1,51.13295,77.24211,Pawn Shop
65346,BNC03,1,57.70855,76.29544,Pawn Shop
65383,BNC03,1,63.69417,73.86259,Pawn Shop
65731,BNC03,1,68.92567,70.29982,Pawn Shop
65767,BNC03,1,62.40244,73.13572,Pawn Shop
65800,BNC03,1,55.5803,74.94219,Pawn Shop
65831,BNC03,1,48.59541,75.89573,Pawn Shop
65859,BNC03,1,41.59819,76.12866,Pawn Shop
65887,BNC03,1,34.61016,76.01413,Pawn Shop
65989,BNC03,1,27.59771,75.91136,Pawn Shop
66024,BNC03,1,20.85472,77.24641,Pawn Shop
66122,BNC03,1,14.18254,78.56653,Pawn Shop
66155,BNC03,1,7.878363,77.34019,Pawn Shop
66275,BNC03,1,1.544838,76.35532,Pawn Shop
66346,BNC03,1,-4.850519,76.08018,Pawn Shop
66402,BNC03,1,-11.26528,76.4806,Pawn Shop
66435,BNC03,1,-17.75305,77.14461,Pawn Shop
66490,BNC03,1,-24.15644,77.93523,Pawn Shop
66694,BNC03,1,-30.57814,78.55214,Pawn Shop
