,Participant,Block_num,X,Z,Target_Name
140,BNC01,2,0.0,-4.1,Automobile shop
210,BNC01,2,-0.08593203,-0.205248,Automobile shop
336,BNC01,2,0.1186316,3.941924,Automobile shop
446,BNC01,2,3.315377,6.356686,Automobile shop
526,BNC01,2,8.483637,8.048094,Automobile shop
608,BNC01,2,14.40401,9.29509,Automobile shop
697,BNC01,2,20.10985,10.14727,Automobile shop
840,BNC01,2,25.80977,10.51068,Automobile shop
934,BNC01,2,31.8451,11.05085,Automobile shop
1236,BNC01,2,38.10949,11.78437,Automobile shop
1330,BNC01,2,35.54598,5.81062,Automobile shop
1452,BNC01,2,33.91213,-0.2274165,Automobile shop
1668,BNC01,2,33.16969,-6.377587,Automobile shop
1942,BNC01,2,36.66788,-10.46517,Automobile shop
2028,BNC01,2,35.52017,-5.274197,Automobile shop
2099,BNC01,2,35.43839,0.3012418,Automobile shop
2208,BNC01,2,35.51638,6.139801,Automobile shop
2298,BNC01,2,35.85445,11.95598,Automobile shop
2379,BNC01,2,35.81972,17.93137,Automobile shop
2511,BNC01,2,35.63865,24.15139,Automobile shop
2593,BNC01,2,34.65272,30.36169,Automobile shop
2977,BNC01,2,33.44546,36.56808,Automobile shop
3178,BNC01,2,28.41316,39.40779,Automobile shop
3269,BNC01,2,23.1493,39.3082,Automobile shop
3399,BNC01,2,17.49264,40.7108,Automobile shop
3474,BNC01,2,11.6124,41.43942,Automobile shop
3809,BNC01,2,5.778774,41.89406,Automobile shop
3890,BNC01,2,4.217548,46.88921,Automobile shop
4095,BNC01,2,2.972278,52.63819,Automobile shop
4220,BNC01,2,-0.7450036,48.71869,Automobile shop
4373,BNC01,2,-1.075153,43.54618,Automobile shop
4462,BNC01,2,-5.452835,39.95782,Automobile shop
4554,BNC01,2,-11.80644,40.46353,Automobile shop
4646,BNC01,2,-17.90475,41.45458,Automobile shop
4775,BNC01,2,-24.14271,42.33345,Automobile shop
5010,BNC01,2,-29.99952,42.47876,Automobile shop
5095,BNC01,2,-31.64008,36.52139,Automobile shop
5167,BNC01,2,-33.68478,30.23037,Automobile shop
5250,BNC01,2,-35.53951,23.74362,Automobile shop
5377,BNC01,2,-37.862,17.35102,Automobile shop
5486,BNC01,2,-44.60101,16.23685,Automobile shop
339,BNC02,2,0.0,-4.1,Automobile shop
394,BNC02,2,0.2352211,1.508132,Automobile shop
500,BNC02,2,0.3154908,6.587671,Automobile shop
538,BNC02,2,-5.200933,8.40901,Automobile shop
577,BNC02,2,-10.81041,10.22151,Automobile shop
613,BNC02,2,-16.34816,11.63274,Automobile shop
655,BNC02,2,-22.10821,12.64669,Automobile shop
697,BNC02,2,-27.78073,13.14284,Automobile shop
734,BNC02,2,-33.42287,13.55066,Automobile shop
764,BNC02,2,-38.76152,14.13748,Automobile shop
865,BNC02,2,-43.99569,14.86185,Automobile shop
964,BNC02,2,-49.29094,16.34581,Automobile shop
400,BNC03,2,0.0,-4.1,Automobile shop
589,BNC03,2,-0.3358841,1.400364,Automobile shop
984,BNC03,2,-0.6533329,6.601834,Automobile shop
1078,BNC03,2,-7.039718,8.810261,Automobile shop
1127,BNC03,2,-13.65055,10.33217,Automobile shop
1170,BNC03,2,-20.36255,11.57469,Automobile shop
1213,BNC03,2,-27.03742,12.67468,Automobile shop
1252,BNC03,2,-33.7179,13.74972,Automobile shop
1356,BNC03,2,-40.30292,14.79307,Automobile shop
1488,BNC03,2,-46.78909,15.76638,Automobile shop
613,BNC04,2,0.0,-4.1,Automobile shop
712,BNC04,2,-0.6143748,1.668282,Automobile shop
810,BNC04,2,0.2672476,6.76373,Automobile shop
1014,BNC04,2,0.7186838,11.94132,Automobile shop
1080,BNC04,2,-4.97553,12.39463,Automobile shop
1165,BNC04,2,-9.979717,13.92193,Automobile shop
1238,BNC04,2,-15.43732,13.90818,Automobile shop
1306,BNC04,2,-20.50085,14.62286,Automobile shop
1416,BNC04,2,-25.85878,15.04432,Automobile shop
1556,BNC04,2,-31.38848,15.34393,Automobile shop
1678,BNC04,2,-37.01125,15.58575,Automobile shop
1810,BNC04,2,-42.55671,16.18888,Automobile shop
1976,BNC04,2,-48.40363,16.44955,Automobile shop
270,BNC05,2,0.0,-4.1,Automobile shop
333,BNC05,2,-0.5255022,0.2126414,Automobile shop
443,BNC05,2,-0.9856184,6.281406,Automobile shop
494,BNC05,2,-6.181282,9.988291,Automobile shop
646,BNC05,2,-12.55964,11.60786,Automobile shop
709,BNC05,2,-19.2159,12.48544,Automobile shop
736,BNC05,2,-26.03004,13.42791,Automobile shop
776,BNC05,2,-32.91971,14.42624,Automobile shop
839,BNC05,2,-39.81805,15.44877,Automobile shop
965,BNC05,2,-46.80391,15.98237,Automobile shop
1585,BNC05,2,-53.38521,16.08737,Automobile shop
762,BNC07,2,0.0,-4.1,Automobile shop
906,BNC07,2,-0.2537795,1.132257,Automobile shop
1113,BNC07,2,-0.5732642,6.078761,Automobile shop
1193,BNC07,2,-5.681051,7.529652,Automobile shop
1221,BNC07,2,-11.03667,9.322151,Automobile shop
1260,BNC07,2,-16.38893,10.91051,Automobile shop
1298,BNC07,2,-21.72898,12.30771,Automobile shop
1327,BNC07,2,-27.08669,13.5996,Automobile shop
1406,BNC07,2,-32.42442,14.91027,Automobile shop
1457,BNC07,2,-37.52635,15.94027,Automobile shop
1580,BNC07,2,-42.62683,16.80277,Automobile shop
1665,BNC07,2,-47.2417,16.47398,Automobile shop
647,BNC08,2,0.0,-4.1,Automobile shop
719,BNC08,2,-0.4228009,-9.951823,Automobile shop
947,BNC08,2,-0.4601473,-15.46035,Automobile shop
1194,BNC08,2,6.164969,-15.06159,Automobile shop
1255,BNC08,2,0.9744409,-14.86253,Automobile shop
1320,BNC08,2,-4.739774,-14.98668,Automobile shop
1378,BNC08,2,-10.62162,-16.02375,Automobile shop
1449,BNC08,2,-16.46227,-16.53637,Automobile shop
1513,BNC08,2,-22.00587,-16.8352,Automobile shop
1686,BNC08,2,-27.64261,-17.23092,Automobile shop
1831,BNC08,2,-32.9235,-17.60815,Automobile shop
1881,BNC08,2,-33.52442,-12.15264,Automobile shop
1947,BNC08,2,-34.29935,-6.617492,Automobile shop
2013,BNC08,2,-35.46172,-1.232297,Automobile shop
2077,BNC08,2,-37.23765,3.555155,Automobile shop
2139,BNC08,2,-41.23748,6.99089,Automobile shop
2200,BNC08,2,-44.69086,10.61816,Automobile shop
2325,BNC08,2,-48.22662,14.01227,Automobile shop
954,BNC09,2,0.0,-4.1,Automobile shop
1308,BNC09,2,-0.3078467,-2.709187,Automobile shop
1389,BNC09,2,0.02167213,0.3778629,Automobile shop
1721,BNC09,2,0.3802896,3.691606,Automobile shop
1849,BNC09,2,-1.770247,7.193165,Automobile shop
1925,BNC09,2,-4.993715,8.834418,Automobile shop
1999,BNC09,2,-8.745035,9.935976,Automobile shop
2075,BNC09,2,-12.90221,10.80995,Automobile shop
2345,BNC09,2,-17.24169,11.43682,Automobile shop
2422,BNC09,2,-22.40699,12.17714,Automobile shop
2492,BNC09,2,-27.99374,13.04697,Automobile shop
2565,BNC09,2,-33.84657,13.90312,Automobile shop
2640,BNC09,2,-39.99873,14.70655,Automobile shop
2780,BNC09,2,-46.12901,15.45571,Automobile shop
555,BNC11,2,0.0,-4.1,Automobile shop
714,BNC11,2,0.09482676,2.686057,Automobile shop
930,BNC11,2,-1.149544,9.2822,Automobile shop
1011,BNC11,2,-7.717975,11.16843,Automobile shop
1088,BNC11,2,-14.4007,12.67666,Automobile shop
1177,BNC11,2,-21.21147,13.42608,Automobile shop
1272,BNC11,2,-28.05734,13.60139,Automobile shop
1377,BNC11,2,-34.90783,13.96615,Automobile shop
1597,BNC11,2,-41.75554,14.24177,Automobile shop
1815,BNC11,2,-48.41032,15.89159,Automobile shop
418,BNC12,2,0.0,-4.1,Automobile shop
472,BNC12,2,0.4269758,1.102837,Automobile shop
518,BNC12,2,-0.737203,6.458479,Automobile shop
563,BNC12,2,-4.812709,10.65189,Automobile shop
596,BNC12,2,-11.01169,11.98242,Automobile shop
622,BNC12,2,-17.42371,11.9194,Automobile shop
663,BNC12,2,-23.93609,11.96888,Automobile shop
701,BNC12,2,-30.41586,11.59335,Automobile shop
868,BNC12,2,-36.86279,11.4511,Automobile shop
900,BNC12,2,-43.5225,11.8028,Automobile shop
951,BNC12,2,-50.20103,12.16947,Automobile shop
1031,BNC12,2,-56.89342,12.49826,Automobile shop
1457,BNC12,2,-63.31984,12.10678,Automobile shop
1546,BNC12,2,-57.42266,13.97149,Automobile shop
523,BNC23,2,0.0,-4.1,Automobile shop
576,BNC23,2,0.5345798,0.6535543,Automobile shop
695,BNC23,2,0.6538467,5.13839,Automobile shop
765,BNC23,2,-1.647791,8.518461,Automobile shop
795,BNC23,2,-6.387754,9.683192,Automobile shop
826,BNC23,2,-11.2744,10.55778,Automobile shop
854,BNC23,2,-16.30873,11.43462,Automobile shop
870,BNC23,2,-21.2498,12.27789,Automobile shop
911,BNC23,2,-26.17087,13.12475,Automobile shop
944,BNC23,2,-31.23531,14.06396,Automobile shop
988,BNC23,2,-36.28184,15.07371,Automobile shop
1198,BNC23,2,-41.3092,15.92897,Automobile shop
1306,BNC23,2,-48.37497,16.72288,Automobile shop
319,BNC26,2,0.0,-4.1,Automobile shop
391,BNC26,2,0.1921822,2.148597,Automobile shop
554,BNC26,2,0.1794491,7.52594,Automobile shop
623,BNC26,2,-3.485874,9.083989,Automobile shop
678,BNC26,2,-7.686095,10.43654,Automobile shop
732,BNC26,2,-11.96967,11.35162,Automobile shop
787,BNC26,2,-16.18414,11.98423,Automobile shop
839,BNC26,2,-20.4202,12.54082,Automobile shop
896,BNC26,2,-24.74447,13.25227,Automobile shop
950,BNC26,2,-29.24118,14.06569,Automobile shop
1005,BNC26,2,-33.8257,14.86165,Automobile shop
1055,BNC26,2,-38.44896,15.52296,Automobile shop
1480,BNC26,2,-42.85436,15.92725,Automobile shop
1609,BNC26,2,-49.97894,17.18127,Automobile shop
736,BNC27,2,0.0,-4.1,Automobile shop
812,BNC27,2,0.4221312,0.7922841,Automobile shop
986,BNC27,2,0.3215453,5.95533,Automobile shop
1073,BNC27,2,-4.736557,8.18461,Automobile shop
1137,BNC27,2,-10.61929,9.258879,Automobile shop
1189,BNC27,2,-16.48257,10.88236,Automobile shop
1249,BNC27,2,-22.525,12.2562,Automobile shop
1300,BNC27,2,-28.49192,12.91598,Automobile shop
1352,BNC27,2,-34.54819,13.88041,Automobile shop
1447,BNC27,2,-40.6398,15.12784,Automobile shop
1563,BNC27,2,-46.88861,16.28164,Automobile shop
603,BNC28,2,0.0,-4.1,Automobile shop
641,BNC28,2,0.5680466,1.720492,Automobile shop
781,BNC28,2,0.9562815,7.720793,Automobile shop
831,BNC28,2,-5.480269,9.924265,Automobile shop
866,BNC28,2,-11.89571,11.61879,Automobile shop
1031,BNC28,2,-18.49402,13.08406,Automobile shop
1129,BNC28,2,-24.95444,14.72163,Automobile shop
1183,BNC28,2,-31.5161,14.88103,Automobile shop
1219,BNC28,2,-37.9082,15.98067,Automobile shop
1367,BNC28,2,-44.34383,17.08593,Automobile shop
1497,BNC28,2,-49.78072,16.3147,Automobile shop
250,BNC29,2,0.0,-4.1,Automobile shop
307,BNC29,2,-0.6478416,0.9398671,Automobile shop
433,BNC29,2,-1.493218,6.321433,Automobile shop
495,BNC29,2,-6.132113,9.005054,Automobile shop
549,BNC29,2,-11.27633,10.68175,Automobile shop
609,BNC29,2,-16.53256,11.45171,Automobile shop
658,BNC29,2,-22.2278,11.84456,Automobile shop
700,BNC29,2,-28.26169,12.49413,Automobile shop
747,BNC29,2,-34.38534,13.54569,Automobile shop
791,BNC29,2,-40.48917,14.71593,Automobile shop
918,BNC29,2,-46.42434,16.18896,Automobile shop
1076,BNC30,2,0.0,-4.1,Automobile shop
1436,BNC30,2,0.8204928,2.652477,Automobile shop
1602,BNC30,2,0.9769015,9.21133,Automobile shop
1668,BNC30,2,-5.421486,10.40678,Automobile shop
1691,BNC30,2,-11.63143,10.83444,Automobile shop
1714,BNC30,2,-17.83882,11.21255,Automobile shop
1766,BNC30,2,-24.04053,11.79742,Automobile shop
1793,BNC30,2,-30.10202,12.88141,Automobile shop
