,Participant,Block_num,X,Z,Target_Name
7178,BNC01,2,0.0,-4.1,Fire Station
7873,BNC01,2,-0.7180886,-9.314978,Fire Station
7949,BNC01,2,-0.1932056,-4.461485,Fire Station
8070,BNC01,2,0.05030217,0.8285669,Fire Station
8230,BNC01,2,-0.5465677,6.052705,Fire Station
8310,BNC01,2,-5.599176,7.441085,Fire Station
8370,BNC01,2,-10.59252,8.982262,Fire Station
8438,BNC01,2,-15.96369,10.17413,Fire Station
8541,BNC01,2,-21.55653,11.29733,Fire Station
8648,BNC01,2,-26.6719,12.89617,Fire Station
8725,BNC01,2,-30.30327,17.25158,Fire Station
8790,BNC01,2,-31.96919,23.10031,Fire Station
8880,BNC01,2,-33.76287,29.13503,Fire Station
8972,BNC01,2,-35.70129,34.97377,Fire Station
9041,BNC01,2,-39.53338,39.93191,Fire Station
9159,BNC01,2,-44.57831,43.57472,Fire Station
9228,BNC01,2,-50.71738,43.90819,Fire Station
9305,BNC01,2,-56.99482,44.13794,Fire Station
9401,BNC01,2,-63.03612,43.43209,Fire Station
9528,BNC01,2,-67.78383,40.40582,Fire Station
9596,BNC01,2,-68.89004,35.10658,Fire Station
9688,BNC01,2,-69.82384,29.55224,Fire Station
9802,BNC01,2,-70.39167,23.48694,Fire Station
10292,BNC01,2,-69.85146,17.69522,Fire Station
10387,BNC01,2,-63.64401,15.9474,Fire Station
10504,BNC01,2,-57.61201,13.89423,Fire Station
10607,BNC01,2,-51.72549,12.11592,Fire Station
10712,BNC01,2,-45.79451,12.19594,Fire Station
11014,BNC01,2,-40.56372,13.98631,Fire Station
11109,BNC01,2,-38.50035,8.48828,Fire Station
11211,BNC01,2,-36.49567,2.541542,Fire Station
11310,BNC01,2,-35.45055,-3.502939,Fire Station
11480,BNC01,2,-34.5408,-9.444181,Fire Station
11578,BNC01,2,-31.39195,-13.96199,Fire Station
11644,BNC01,2,-26.03121,-15.73025,Fire Station
11718,BNC01,2,-20.61879,-16.89322,Fire Station
11802,BNC01,2,-15.00191,-17.7705,Fire Station
11889,BNC01,2,-9.533599,-18.93522,Fire Station
12107,BNC01,2,-4.880523,-21.11017,Fire Station
12216,BNC01,2,0.3751774,-20.1368,Fire Station
12403,BNC01,2,6.346855,-19.58898,Fire Station
12562,BNC01,2,3.39362,-15.11586,Fire Station
12628,BNC01,2,3.236866,-8.309896,Fire Station
12684,BNC01,2,2.335298,-1.562266,Fire Station
12745,BNC01,2,1.394175,5.290024,Fire Station
13159,BNC01,2,0.3858006,12.16334,Fire Station
13233,BNC01,2,0.755461,17.88055,Fire Station
13336,BNC01,2,0.7829693,24.35328,Fire Station
13421,BNC01,2,0.3034943,31.03262,Fire Station
13677,BNC01,2,-0.4655954,37.561,Fire Station
13766,BNC01,2,0.7857687,43.04029,Fire Station
13852,BNC01,2,1.018906,49.26284,Fire Station
13925,BNC01,2,0.9183667,55.81329,Fire Station
13989,BNC01,2,0.4351419,62.27379,Fire Station
14113,BNC01,2,-0.06541297,68.77213,Fire Station
14286,BNC01,2,4.738366,73.36631,Fire Station
14353,BNC01,2,11.91803,73.64509,Fire Station
2512,BNC02,2,0.0,-4.1,Fire Station
2552,BNC02,2,-0.2335106,-10.3418,Fire Station
