,Participant,Block_num,X,Z,Target_Name
14388,BNC01,3,0.0,-4.1,Quattroki Restaurant
14470,BNC01,3,-0.3045707,-8.657486,Quattroki Restaurant
14506,BNC01,3,-0.2936815,-14.17956,Quattroki Restaurant
14587,BNC01,3,-0.1439332,-20.02353,Quattroki Restaurant
14655,BNC01,3,-0.04471925,-25.89565,Quattroki Restaurant
14709,BNC01,3,0.1855785,-31.84883,Quattroki Restaurant
14759,BNC01,3,0.7489177,-37.95022,Quattroki Restaurant
14808,BNC01,3,2.026527,-44.12732,Quattroki Restaurant
14852,BNC01,3,4.055854,-50.1003,Quattroki Restaurant
14897,BNC01,3,7.701127,-55.06504,Quattroki Restaurant
15036,BNC01,3,12.9648,-58.33275,Quattroki Restaurant
15074,BNC01,3,19.36437,-57.3118,Quattroki Restaurant
15109,BNC01,3,26.14512,-56.53217,Quattroki Restaurant
15141,BNC01,3,33.08015,-55.95442,Quattroki Restaurant
15174,BNC01,3,40.10666,-55.22467,Quattroki Restaurant
15253,BNC01,3,47.04667,-54.38498,Quattroki Restaurant
15291,BNC01,3,53.75501,-52.89126,Quattroki Restaurant
15414,BNC01,3,60.19713,-51.1753,Quattroki Restaurant
15457,BNC01,3,63.00605,-45.82904,Quattroki Restaurant
15492,BNC01,3,65.33208,-40.0288,Quattroki Restaurant
15601,BNC01,3,67.21801,-33.73998,Quattroki Restaurant
15706,BNC01,3,67.67487,-27.29458,Quattroki Restaurant
15765,BNC01,3,67.75948,-20.8869,Quattroki Restaurant
15861,BNC01,3,67.38114,-14.70679,Quattroki Restaurant
15911,BNC01,3,66.62653,-8.533569,Quattroki Restaurant
15950,BNC01,3,66.12436,-2.042544,Quattroki Restaurant
15997,BNC01,3,65.46825,4.589502,Quattroki Restaurant
16496,BNC01,3,64.72623,11.21966,Quattroki Restaurant
16543,BNC01,3,65.30467,17.46745,Quattroki Restaurant
16590,BNC01,3,65.9136,23.63312,Quattroki Restaurant
16635,BNC01,3,66.40491,29.77173,Quattroki Restaurant
16752,BNC01,3,66.81017,35.9623,Quattroki Restaurant
16821,BNC01,3,68.43439,42.15977,Quattroki Restaurant
16846,BNC01,3,69.69366,48.03381,Quattroki Restaurant
16907,BNC01,3,70.65357,53.87529,Quattroki Restaurant
16977,BNC01,3,70.56977,60.02394,Quattroki Restaurant
17035,BNC01,3,69.08564,66.06134,Quattroki Restaurant
17086,BNC01,3,66.29774,71.47128,Quattroki Restaurant
17156,BNC01,3,62.07498,75.73863,Quattroki Restaurant
17198,BNC01,3,56.40963,77.07508,Quattroki Restaurant
17241,BNC01,3,50.35286,77.87452,Quattroki Restaurant
17289,BNC01,3,44.12944,78.46852,Quattroki Restaurant
17329,BNC01,3,37.75931,78.50511,Quattroki Restaurant
17365,BNC01,3,31.40424,78.22722,Quattroki Restaurant
17443,BNC01,3,24.98344,77.90704,Quattroki Restaurant
17477,BNC01,3,18.52348,77.53602,Quattroki Restaurant
17519,BNC01,3,11.98433,77.36962,Quattroki Restaurant
17625,BNC01,3,5.385946,77.40173,Quattroki Restaurant
17681,BNC01,3,-1.309513,77.71947,Quattroki Restaurant
17745,BNC01,3,-8.040379,78.00636,Quattroki Restaurant
17839,BNC01,3,-14.84087,78.01482,Quattroki Restaurant
17889,BNC01,3,-21.63617,77.92342,Quattroki Restaurant
17946,BNC01,3,-28.40684,77.70367,Quattroki Restaurant
18006,BNC01,3,-35.22878,77.22424,Quattroki Restaurant
18101,BNC01,3,-42.03547,76.4428,Quattroki Restaurant
7315,BNC02,3,0.0,-4.1,Quattroki Restaurant
7350,BNC02,3,-0.2004376,1.657556,Quattroki Restaurant
7387,BNC02,3,-0.1099245,7.442597,Quattroki Restaurant
7427,BNC02,3,-0.06898022,12.84225,Quattroki Restaurant
7467,BNC02,3,0.1428449,17.84438,Quattroki Restaurant
7503,BNC02,3,0.7225474,23.01517,Quattroki Restaurant
7537,BNC02,3,1.196146,28.27768,Quattroki Restaurant
7568,BNC02,3,1.490235,33.5453,Quattroki Restaurant
7600,BNC02,3,1.706013,38.95475,Quattroki Restaurant
7633,BNC02,3,1.740873,44.22395,Quattroki Restaurant
7665,BNC02,3,1.497283,49.51901,Quattroki Restaurant
7701,BNC02,3,1.185401,54.63326,Quattroki Restaurant
7740,BNC02,3,0.7585379,58.95192,Quattroki Restaurant
7810,BNC02,3,0.5322394,62.76777,Quattroki Restaurant
7865,BNC02,3,-0.06984091,65.4364,Quattroki Restaurant
7945,BNC02,3,-0.8346621,68.24419,Quattroki Restaurant
8036,BNC02,3,-1.553796,70.94434,Quattroki Restaurant
8129,BNC02,3,-2.565874,73.26424,Quattroki Restaurant
