,Participant,Block_num,X,Z,Target_Name
18334,BNC01,3,0.0,-4.1,High School
18386,BNC01,3,-0.05537682,1.527683,High School
18444,BNC01,3,-0.2932556,7.431733,High School
18499,BNC01,3,-2.515244,11.94878,High School
18535,BNC01,3,-7.292501,14.17042,High School
18572,BNC01,3,-13.0886,14.99638,High School
18606,BNC01,3,-19.17535,15.02013,High School
18641,BNC01,3,-25.60786,15.17132,High School
18727,BNC01,3,-32.23452,15.07535,High School
18770,BNC01,3,-38.71563,14.964,High School
18812,BNC01,3,-45.44079,14.37407,High School
18862,BNC01,3,-52.2808,13.64018,High School
18917,BNC01,3,-59.13083,12.66536,High School
18958,BNC01,3,-65.11215,9.87036,High School
19029,BNC01,3,-69.38328,5.117801,High School
19064,BNC01,3,-70.45251,-1.222702,High School
19101,BNC01,3,-69.85886,-7.651875,High School
19245,BNC01,3,-68.42895,-13.90136,High School
19327,BNC01,3,-62.67299,-15.62502,High School
19383,BNC01,3,-56.83971,-17.63513,High School
19428,BNC01,3,-51.17384,-19.98491,High School
19475,BNC01,3,-45.56223,-22.96578,High School
19526,BNC01,3,-40.32865,-26.67852,High School
19571,BNC01,3,-37.1496,-32.2625,High School
19642,BNC01,3,-34.64491,-38.44907,High School
19698,BNC01,3,-31.24705,-44.02216,High School
19751,BNC01,3,-27.46274,-49.16376,High School
19794,BNC01,3,-23.08431,-53.65224,High School
19828,BNC01,3,-17.35612,-56.36112,High School
19898,BNC01,3,-11.00957,-58.42196,High School
19942,BNC01,3,-4.123749,-58.31532,High School
19977,BNC01,3,2.512836,-57.72052,High School
20009,BNC01,3,9.445949,-57.12017,High School
20302,BNC01,3,16.39832,-56.15162,High School
20349,BNC01,3,22.51788,-55.24266,High School
20389,BNC01,3,28.87047,-55.04044,High School
20430,BNC01,3,35.5519,-54.38611,High School
20489,BNC01,3,42.40305,-53.73796,High School
20532,BNC01,3,49.05987,-53.06356,High School
20568,BNC01,3,55.5633,-52.0335,High School
20698,BNC01,3,62.06199,-50.86874,High School
20757,BNC01,3,63.53019,-44.68144,High School
20789,BNC01,3,64.5864,-38.11355,High School
20822,BNC01,3,65.70592,-31.20543,High School
20854,BNC01,3,66.5053,-24.11238,High School
20959,BNC01,3,66.98603,-17.02448,High School
21017,BNC01,3,67.93715,-10.47739,High School
21116,BNC01,3,68.50623,-4.357913,High School
21162,BNC01,3,68.44946,2.165277,High School
21216,BNC01,3,68.46192,8.922961,High School
21261,BNC01,3,68.43989,15.74821,High School
21304,BNC01,3,68.46616,22.66747,High School
21346,BNC01,3,68.59449,29.67551,High School
21388,BNC01,3,68.57574,36.66791,High School
21429,BNC01,3,68.51153,43.67157,High School
21551,BNC01,3,68.22724,50.70231,High School
21693,BNC01,3,67.79617,57.83474,High School
8993,BNC02,3,0.0,-4.1,High School
9038,BNC02,3,0.6659186,1.431013,High School
9105,BNC02,3,1.849339,6.451151,High School
9210,BNC02,3,3.86702,10.12565,High School
9242,BNC02,3,10.3933,9.807206,High School
9276,BNC02,3,17.07301,10.14061,High School
9307,BNC02,3,23.76685,10.70598,High School
9338,BNC02,3,30.29389,11.46077,High School
9376,BNC02,3,36.78669,12.25693,High School
9410,BNC02,3,43.25986,12.81116,High School
9445,BNC02,3,49.65281,13.2449,High School
9513,BNC02,3,56.07281,13.6585,High School
9608,BNC02,3,62.38107,14.55528,High School
9642,BNC02,3,64.64012,20.40454,High School
9671,BNC02,3,66.23256,26.4643,High School
9705,BNC02,3,67.46798,32.64915,High School
9742,BNC02,3,68.33875,38.82172,High School
9773,BNC02,3,68.26893,44.72681,High School
9806,BNC02,3,67.95686,50.50185,High School
9890,BNC02,3,67.0747,55.93176,High School
9977,BNC02,3,66.4299,60.33917,High School
26408,BNC03,3,0.0,-4.1,High School
26509,BNC03,3,-0.6853225,0.9729481,High School
26545,BNC03,3,-0.6524878,6.332403,High School
26573,BNC03,3,-0.3611526,12.17304,High School
26604,BNC03,3,-0.07647365,18.0375,High School
26633,BNC03,3,0.5052194,23.91563,High School
26660,BNC03,3,1.479465,29.58986,High School
26691,BNC03,3,2.576916,35.19202,High School
26718,BNC03,3,3.674214,40.69293,High School
26787,BNC03,3,4.549116,46.19772,High School
26816,BNC03,3,2.441863,50.77936,High School
26848,BNC03,3,0.2410634,55.35619,High School
26874,BNC03,3,-1.712622,60.10094,High School
26909,BNC03,3,-3.363217,64.82018,High School
26995,BNC03,3,-4.817193,69.57039,High School
27204,BNC03,3,-1.886284,74.1411,High School
27244,BNC03,3,4.668867,74.06868,High School
27271,BNC03,3,11.28534,74.35139,High School
27359,BNC03,3,17.95479,74.67415,High School
27391,BNC03,3,24.76961,75.12163,High School
27422,BNC03,3,31.54881,75.195,High School
27448,BNC03,3,38.35516,74.82501,High School
27479,BNC03,3,45.15983,74.09364,High School
27510,BNC03,3,51.84691,73.16946,High School
27541,BNC03,3,58.34198,72.23322,High School
27834,BNC03,3,64.80486,71.20555,High School
27970,BNC03,3,66.7695,66.50539,High School
24689,BNC04,3,0.0,-4.1,High School
24753,BNC04,3,0.07264961,1.618205,High School
24819,BNC04,3,0.03518412,7.90718,High School
24883,BNC04,3,0.3988374,14.26233,High School
24972,BNC04,3,0.2625873,20.61325,High School
25059,BNC04,3,0.6467764,27.11194,High School
25163,BNC04,3,0.6128522,33.71505,High School
25253,BNC04,3,0.3193694,40.32977,High School
25333,BNC04,3,0.4217279,46.99325,High School
25411,BNC04,3,0.4211681,53.70435,High School
25502,BNC04,3,0.4681812,60.43955,High School
25643,BNC04,3,0.4570826,67.12837,High School
25859,BNC04,3,1.250121,73.66106,High School
25930,BNC04,3,7.473951,73.09249,High School
26015,BNC04,3,13.66499,73.65933,High School
26104,BNC04,3,19.73113,75.32625,High School
26246,BNC04,3,25.94361,77.25636,High School
26334,BNC04,3,32.32085,77.16769,High School
26425,BNC04,3,38.65702,77.18141,High School
26552,BNC04,3,45.04351,76.00526,High School
26649,BNC04,3,51.52864,75.9172,High School
26741,BNC04,3,57.96552,75.55021,High School
26931,BNC04,3,64.44469,74.79855,High School
27179,BNC04,3,68.32771,70.00313,High School
27327,BNC04,3,66.9648,64.27834,High School
7729,BNC05,3,0.0,-4.1,High School
7755,BNC05,3,1.012023,2.154661,High School
7859,BNC05,3,1.967879,8.558349,High School
7882,BNC05,3,8.341979,9.476954,High School
7905,BNC05,3,14.70685,10.45554,High School
7925,BNC05,3,21.14211,11.27576,High School
7947,BNC05,3,27.64371,11.98326,High School
7968,BNC05,3,34.14425,12.5689,High School
7990,BNC05,3,40.58453,13.08787,High School
8012,BNC05,3,46.98611,13.65828,High School
8037,BNC05,3,53.37022,14.3263,High School
8169,BNC05,3,59.8345,15.07037,High School
8190,BNC05,3,61.49559,21.47566,High School
8225,BNC05,3,63.14907,27.91264,High School
8254,BNC05,3,64.78745,34.24183,High School
8278,BNC05,3,65.9742,40.68306,High School
8302,BNC05,3,66.98388,47.15094,High School
8407,BNC05,3,67.91754,53.73003,High School
16817,BNC07,3,0.0,-4.1,High School
16998,BNC07,3,-0.2536424,1.103387,High School
17290,BNC07,3,3.406274,4.60428,High School
17332,BNC07,3,7.176165,7.292084,High School
17363,BNC07,3,12.76849,8.883235,High School
17435,BNC07,3,18.79107,9.818627,High School
17484,BNC07,3,24.94273,10.63536,High School
17520,BNC07,3,31.24557,11.52483,High School
17601,BNC07,3,37.65556,12.36738,High School
17634,BNC07,3,44.02807,12.97057,High School
17671,BNC07,3,50.21707,13.35855,High School
17704,BNC07,3,56.24516,13.88495,High School
17745,BNC07,3,61.98024,15.22482,High School
17880,BNC07,3,64.38115,19.72663,High School
17903,BNC07,3,64.69695,25.33163,High School
17935,BNC07,3,64.93647,31.11499,High School
