,Participant,Block_num,X,Z,Target_Name
10951,BNC01,3,0.0,-4.1,Pizzeria
11000,BNC01,3,0.03150023,1.029516,Pizzeria
11047,BNC01,3,0.2906335,6.84868,Pizzeria
11093,BNC01,3,0.312163,13.13271,Pizzeria
11139,BNC01,3,0.357253,19.58995,Pizzeria
11185,BNC01,3,0.4225342,26.00844,Pizzeria
11232,BNC01,3,0.4323406,32.27856,Pizzeria
11279,BNC01,3,0.4854912,38.40374,Pizzeria
11332,BNC01,3,0.5580723,44.72312,Pizzeria
11383,BNC01,3,0.4783724,51.06586,Pizzeria
11432,BNC01,3,0.06770381,57.36715,Pizzeria
11487,BNC01,3,-0.4051802,63.7198,Pizzeria
11602,BNC01,3,-1.272595,70.04926,Pizzeria
11741,BNC01,3,-5.669346,74.13636,Pizzeria
11791,BNC01,3,-11.74179,75.72007,Pizzeria
11832,BNC01,3,-18.17467,77.00275,Pizzeria
11872,BNC01,3,-24.7513,77.79878,Pizzeria
12183,BNC01,3,-31.34692,78.18394,Pizzeria
12232,BNC01,3,-24.95732,77.66753,Pizzeria
12347,BNC01,3,-18.48336,77.17213,Pizzeria
12395,BNC01,3,-11.94632,76.85213,Pizzeria
12481,BNC01,3,-6.089498,76.71737,Pizzeria
12587,BNC01,3,-0.4860873,76.69218,Pizzeria
12663,BNC01,3,5.228548,76.11584,Pizzeria
12720,BNC01,3,11.00351,75.44978,Pizzeria
12770,BNC01,3,17.07775,75.62864,Pizzeria
12845,BNC01,3,23.11493,76.23965,Pizzeria
13099,BNC01,3,29.25195,76.84516,Pizzeria
13187,BNC01,3,35.42693,76.25818,Pizzeria
13307,BNC01,3,41.59993,76.1615,Pizzeria
13412,BNC01,3,47.95598,76.34541,Pizzeria
13526,BNC01,3,54.13981,76.55671,Pizzeria
13592,BNC01,3,60.05502,75.58845,Pizzeria
13718,BNC01,3,65.7998,73.86029,Pizzeria
13800,BNC01,3,68.68819,68.30301,Pizzeria
13883,BNC01,3,71.09164,62.6754,Pizzeria
13923,BNC01,3,71.04932,56.12281,Pizzeria
13963,BNC01,3,69.67974,49.67258,Pizzeria
14009,BNC01,3,67.73925,43.41375,Pizzeria
14091,BNC01,3,65.41785,37.09877,Pizzeria
14227,BNC01,3,62.07273,31.26189,Pizzeria
6098,BNC02,3,0.0,-4.1,Pizzeria
6135,BNC02,3,0.6580296,1.481547,Pizzeria
6213,BNC02,3,1.727351,6.821916,Pizzeria
6300,BNC02,3,3.190079,9.387583,Pizzeria
6342,BNC02,3,8.920404,9.716584,Pizzeria
6379,BNC02,3,14.90506,9.715518,Pizzeria
6417,BNC02,3,20.78905,10.00719,Pizzeria
6455,BNC02,3,26.3601,10.88151,Pizzeria
6489,BNC02,3,31.84048,11.93765,Pizzeria
6522,BNC02,3,37.16268,12.80041,Pizzeria
6566,BNC02,3,42.36832,12.98069,Pizzeria
6656,BNC02,3,47.20399,12.60047,Pizzeria
6698,BNC02,3,51.78776,12.61561,Pizzeria
6780,BNC02,3,56.43429,12.70345,Pizzeria
6851,BNC02,3,60.80401,13.30673,Pizzeria
6906,BNC02,3,63.09572,17.8601,Pizzeria
7024,BNC02,3,65.06401,22.19597,Pizzeria
7144,BNC02,3,61.94686,25.89629,Pizzeria
18806,BNC03,3,0.0,-4.1,Pizzeria
18844,BNC03,3,-0.08122629,1.226329,Pizzeria
18875,BNC03,3,0.6249781,6.633004,Pizzeria
19381,BNC03,3,2.015686,11.82429,Pizzeria
19415,BNC03,3,1.361727,18.04399,Pizzeria
19471,BNC03,3,0.9072026,24.26326,Pizzeria
19505,BNC03,3,0.2462592,30.48816,Pizzeria
19538,BNC03,3,-0.2869802,36.66875,Pizzeria
19617,BNC03,3,-0.8385149,42.75928,Pizzeria
19651,BNC03,3,-0.8748534,49.0363,Pizzeria
19684,BNC03,3,-0.6072601,55.16505,Pizzeria
19762,BNC03,3,-0.3738461,61.18974,Pizzeria
19883,BNC03,3,-0.06034726,67.13223,Pizzeria
20014,BNC03,3,-0.2174499,73.0457,Pizzeria
20054,BNC03,3,-6.284788,73.47388,Pizzeria
20088,BNC03,3,-12.48211,74.27396,Pizzeria
20123,BNC03,3,-18.66528,75.03832,Pizzeria
20153,BNC03,3,-25.06759,75.44372,Pizzeria
20322,BNC03,3,-31.32667,75.48743,Pizzeria
20358,BNC03,3,-32.96819,70.00209,Pizzeria
20398,BNC03,3,-33.86418,64.59937,Pizzeria
20447,BNC03,3,-34.47226,59.1914,Pizzeria
20564,BNC03,3,-35.16184,53.86726,Pizzeria
20664,BNC03,3,-35.89872,48.80894,Pizzeria
20700,BNC03,3,-42.18511,47.98207,Pizzeria
20730,BNC03,3,-48.43821,46.89706,Pizzeria
20765,BNC03,3,-54.58078,45.69377,Pizzeria
20801,BNC03,3,-60.67113,44.29517,Pizzeria
20914,BNC03,3,-66.68677,42.66414,Pizzeria
20949,BNC03,3,-67.78983,36.71671,Pizzeria
20982,BNC03,3,-68.25467,30.84694,Pizzeria
21016,BNC03,3,-68.32721,24.7104,Pizzeria
21148,BNC03,3,-67.83122,18.62273,Pizzeria
21239,BNC03,3,-63.04842,15.27456,Pizzeria
21279,BNC03,3,-58.0046,13.40075,Pizzeria
21313,BNC03,3,-52.65686,11.48468,Pizzeria
21388,BNC03,3,-47.20698,9.925567,Pizzeria
21508,BNC03,3,-41.6986,9.228568,Pizzeria
21571,BNC03,3,-39.20855,3.572961,Pizzeria
21623,BNC03,3,-36.96092,-2.048419,Pizzeria
21709,BNC03,3,-36.55715,-7.947594,Pizzeria
22079,BNC03,3,-37.8605,-13.57683,Pizzeria
22155,BNC03,3,-32.4534,-14.54265,Pizzeria
22190,BNC03,3,-27.07061,-16.00453,Pizzeria
22224,BNC03,3,-21.71714,-18.23185,Pizzeria
22258,BNC03,3,-16.85974,-20.95626,Pizzeria
22288,BNC03,3,-12.2689,-24.04764,Pizzeria
22328,BNC03,3,-7.697186,-27.17362,Pizzeria
22513,BNC03,3,-3.414191,-30.25315,Pizzeria
22605,BNC03,3,-2.132547,-35.56983,Pizzeria
22684,BNC03,3,-0.5849938,-40.77738,Pizzeria
22758,BNC03,3,2.477593,-44.9099,Pizzeria
22938,BNC03,3,6.261764,-48.723,Pizzeria
23080,BNC03,3,12.19354,-51.07903,Pizzeria
23144,BNC03,3,17.65695,-51.30616,Pizzeria
23196,BNC03,3,23.30845,-51.22548,Pizzeria
23354,BNC03,3,29.03764,-51.02324,Pizzeria
23394,BNC03,3,29.88035,-44.45394,Pizzeria
23431,BNC03,3,30.77341,-37.96465,Pizzeria
23468,BNC03,3,31.8826,-31.66426,Pizzeria
23503,BNC03,3,33.7901,-25.7214,Pizzeria
23530,BNC03,3,36.0954,-20.03631,Pizzeria
23662,BNC03,3,38.5401,-14.46076,Pizzeria
23695,BNC03,3,44.61849,-14.02042,Pizzeria
23724,BNC03,3,50.61128,-13.25935,Pizzeria
23753,BNC03,3,56.52919,-12.27404,Pizzeria
23857,BNC03,3,62.3984,-11.06305,Pizzeria
23891,BNC03,3,63.92355,-4.649621,Pizzeria
23924,BNC03,3,65.24214,1.533769,Pizzeria
24006,BNC03,3,66.49977,7.689811,Pizzeria
24061,BNC03,3,64.96899,13.72305,Pizzeria
24126,BNC03,3,63.24286,19.68996,Pizzeria
24250,BNC03,3,61.98004,25.63409,Pizzeria
20479,BNC04,3,0.0,-4.1,Pizzeria
20751,BNC04,3,0.7740185,1.076989,Pizzeria
21055,BNC04,3,0.1544266,7.289521,Pizzeria
21114,BNC04,3,6.546269,7.770856,Pizzeria
21182,BNC04,3,13.00652,8.199524,Pizzeria
21253,BNC04,3,19.09494,8.509949,Pizzeria
21342,BNC04,3,25.33517,9.042329,Pizzeria
21419,BNC04,3,31.71938,9.479046,Pizzeria
21497,BNC04,3,38.17538,9.995241,Pizzeria
21575,BNC04,3,44.65521,10.38271,Pizzeria
21663,BNC04,3,51.13565,10.69651,Pizzeria
21818,BNC04,3,57.58544,10.87692,Pizzeria
22076,BNC04,3,63.4228,12.9505,Pizzeria
22208,BNC04,3,62.94281,19.59927,Pizzeria
22325,BNC04,3,61.28997,26.19034,Pizzeria
5710,BNC05,3,0.0,-4.1,Pizzeria
5740,BNC05,3,1.103667,1.373311,Pizzeria
5839,BNC05,3,1.783731,7.276396,Pizzeria
5865,BNC05,3,7.494784,8.023132,Pizzeria
5889,BNC05,3,13.36881,8.910615,Pizzeria
5911,BNC05,3,19.21716,9.964826,Pizzeria
5933,BNC05,3,25.16905,10.88418,Pizzeria
5955,BNC05,3,31.13428,11.72268,Pizzeria
5977,BNC05,3,37.23763,12.43958,Pizzeria
5997,BNC05,3,43.45493,13.01516,Pizzeria
6019,BNC05,3,49.67134,13.56932,Pizzeria
6044,BNC05,3,55.93614,14.15423,Pizzeria
6151,BNC05,3,62.15445,14.92634,Pizzeria
6342,BNC05,3,63.8705,20.41475,Pizzeria
9934,BNC07,3,0.0,-4.1,Pizzeria
9977,BNC07,3,-1.770044,0.405605,Pizzeria
10007,BNC07,3,-2.57776,4.607123,Pizzeria
10150,BNC07,3,-3.129666,9.007469,Pizzeria
10179,BNC07,3,2.470797,9.098357,Pizzeria
10254,BNC07,3,7.806056,9.081432,Pizzeria
10304,BNC07,3,13.19399,9.491329,Pizzeria
10373,BNC07,3,18.5948,9.912893,Pizzeria
10538,BNC07,3,23.841,10.32469,Pizzeria
10562,BNC07,3,29.35111,11.0338,Pizzeria
10724,BNC07,3,34.83228,11.72307,Pizzeria
10755,BNC07,3,34.50602,16.84974,Pizzeria
10780,BNC07,3,33.97147,22.12992,Pizzeria
10846,BNC07,3,33.42681,27.60279,Pizzeria
10928,BNC07,3,32.58521,31.99284,Pizzeria
10992,BNC07,3,28.58687,34.71109,Pizzeria
11029,BNC07,3,25.38346,37.42622,Pizzeria
11056,BNC07,3,21.17278,39.2415,Pizzeria
11100,BNC07,3,16.90818,40.95436,Pizzeria
11129,BNC07,3,12.38775,42.01297,Pizzeria
11185,BNC07,3,7.847559,43.01947,Pizzeria
11249,BNC07,3,3.133037,43.9005,Pizzeria
11381,BNC07,3,1.77201,48.17954,Pizzeria
11409,BNC07,3,1.167859,53.54471,Pizzeria
11452,BNC07,3,0.6580494,58.84378,Pizzeria
11519,BNC07,3,-0.2341117,64.27275,Pizzeria
11559,BNC07,3,-1.406721,69.30777,Pizzeria
11592,BNC07,3,-2.606432,73.88212,Pizzeria
11639,BNC07,3,-5.241011,77.80543,Pizzeria
11673,BNC07,3,-9.010906,78.146,Pizzeria
11720,BNC07,3,-13.26364,78.31031,Pizzeria
11752,BNC07,3,-17.70601,78.35503,Pizzeria
11791,BNC07,3,-22.17813,78.1132,Pizzeria
11905,BNC07,3,-27.01624,77.84775,Pizzeria
11936,BNC07,3,-30.68997,75.35848,Pizzeria
11975,BNC07,3,-33.54802,72.17775,Pizzeria
12024,BNC07,3,-35.62831,68.65883,Pizzeria
12066,BNC07,3,-36.18883,64.85101,Pizzeria
12108,BNC07,3,-36.22511,60.53948,Pizzeria
12157,BNC07,3,-36.06959,56.18793,Pizzeria
12298,BNC07,3,-36.0315,51.8021,Pizzeria
12646,BNC07,3,-36.18176,48.39376,Pizzeria
12716,BNC07,3,-33.00955,44.9589,Pizzeria
12820,BNC07,3,-33.1223,40.56793,Pizzeria
13128,BNC07,3,-33.46766,35.61027,Pizzeria
13167,BNC07,3,-33.68458,30.5577,Pizzeria
13219,BNC07,3,-34.28524,25.7294,Pizzeria
13250,BNC07,3,-35.12016,20.50477,Pizzeria
13363,BNC07,3,-33.49823,16.06853,Pizzeria
13388,BNC07,3,-29.03962,14.97353,Pizzeria
13425,BNC07,3,-24.45324,13.83134,Pizzeria
13467,BNC07,3,-19.8471,12.68162,Pizzeria
13494,BNC07,3,-15.38616,11.91309,Pizzeria
13582,BNC07,3,-10.86999,11.22892,Pizzeria
13670,BNC07,3,-6.36739,10.56544,Pizzeria
13800,BNC07,3,-1.732984,9.595446,Pizzeria
14007,BNC07,3,-1.938129,4.46712,Pizzeria
14042,BNC07,3,1.876372,5.834328,Pizzeria
14079,BNC07,3,5.742903,7.30224,Pizzeria
14133,BNC07,3,10.01376,8.557854,Pizzeria
14169,BNC07,3,14.63821,9.149249,Pizzeria
14257,BNC07,3,19.37505,9.479133,Pizzeria
14329,BNC07,3,23.94663,10.2534,Pizzeria
14363,BNC07,3,28.64267,10.91942,Pizzeria
14390,BNC07,3,33.33893,11.47045,Pizzeria
14441,BNC07,3,38.08412,12.09248,Pizzeria
14515,BNC07,3,42.92748,12.54249,Pizzeria
14558,BNC07,3,47.85599,12.85141,Pizzeria
14930,BNC07,3,53.01987,12.94614,Pizzeria
14975,BNC07,3,57.69531,14.04226,Pizzeria
15126,BNC07,3,62.3417,15.15922,Pizzeria
15156,BNC07,3,61.27467,20.58496,Pizzeria
15238,BNC07,3,60.53092,25.83907,Pizzeria
10957,BNC08,3,0.0,-4.1,Pizzeria
10997,BNC08,3,0.4088892,-9.676817,Pizzeria
11035,BNC08,3,0.9591191,-15.3431,Pizzeria
11081,BNC08,3,1.523367,-20.9963,Pizzeria
11122,BNC08,3,2.144602,-26.4123,Pizzeria
11197,BNC08,3,2.679808,-32.09518,Pizzeria
11340,BNC08,3,2.65566,-37.64291,Pizzeria
