,Unnamed: 0,Participant,Block_num,X,Z,Target_Name
1232,194,BNC37,3,0.0,-4.1,Automobile shop
1233,792,BNC37,3,0.05592877,2.900566,Automobile shop
1234,1149,BNC37,3,-1.165597,9.59152,Automobile shop
1235,1194,BNC37,3,-7.980577,10.73172,Automobile shop
1236,1223,BNC37,3,-14.92039,11.34628,Automobile shop
1237,1258,BNC37,3,-21.84857,12.07455,Automobile shop
1238,1289,BNC37,3,-28.75748,12.85231,Automobile shop
1239,1320,BNC37,3,-35.63551,13.79513,Automobile shop
1240,1351,BNC37,3,-42.46742,14.96132,Automobile shop
1241,1556,BNC37,3,-49.24615,16.39783,Automobile shop
487,1055,BNC05,3,0.0,-4.1,Police station 
488,1408,BNC05,3,-0.9500323,2.558515,Police station 
489,1435,BNC05,3,-0.329293,-3.914594,Police station 
490,1502,BNC05,3,0.7242661,-10.23511,Police station 
491,1605,BNC05,3,3.485122,-15.99145,Police station 
492,1628,BNC05,3,10.39419,-16.75362,Police station 
493,1650,BNC05,3,17.37958,-17.41768,Police station 
494,1672,BNC05,3,24.39176,-17.97018,Police station 
495,1696,BNC05,3,31.4143,-18.62944,Police station 
496,1728,BNC05,3,38.46638,-19.25297,Police station 
497,1867,BNC05,3,45.51217,-20.01563,Police station 
1839,3623,BNC36,3,0.0,-4.1,Fire Station
1840,3664,BNC36,3,0.9855075,2.76859,Fire Station
1841,3700,BNC36,3,1.919414,9.734126,Fire Station
1842,3771,BNC36,3,2.479306,16.75064,Fire Station
1843,3801,BNC36,3,2.039067,23.76723,Fire Station
1844,3838,BNC36,3,2.217449,30.81977,Fire Station
1845,3859,BNC36,3,2.886207,37.82661,Fire Station
1846,3899,BNC36,3,2.742094,44.87207,Fire Station
1847,3950,BNC36,3,3.617032,51.86156,Fire Station
1848,3980,BNC36,3,4.480051,58.85699,Fire Station
1849,4050,BNC36,3,4.930649,65.88726,Fire Station
1850,4350,BNC36,3,4.271245,72.90978,Fire Station
1851,4484,BNC36,3,11.19088,74.43367,Fire Station
1774,8126,BNC28,1,0.0,-4.1,Bank
1775,8178,BNC28,1,2.812473,0.4623355,Bank
1776,8245,BNC28,1,4.011577,6.491556,Bank
1777,8460,BNC28,1,6.770044,12.27032,Bank
1778,8517,BNC28,1,13.84858,10.38446,Bank
1779,8598,BNC28,1,21.08114,9.110937,Bank
1780,8697,BNC28,1,27.89106,11.53564,Bank
1781,8905,BNC28,1,32.56172,16.45684,Bank
2569,18446,BNC33,1,0.0,-4.1,Pawn Shop
2570,18511,BNC33,1,-0.06016363,-11.24679,Pawn Shop
2571,18838,BNC33,1,-0.5412307,-17.77485,Pawn Shop
2572,18917,BNC33,1,-7.462478,-16.97445,Pawn Shop
2573,18962,BNC33,1,-14.19658,-17.73471,Pawn Shop
2574,19023,BNC33,1,-20.70505,-19.43846,Pawn Shop
2575,19095,BNC33,1,-25.67929,-22.78555,Pawn Shop
2576,19324,BNC33,1,-29.96921,-26.57251,Pawn Shop
1209,5062,BNC27,3,0.0,-4.1,Pizzeria
1210,5101,BNC27,3,-0.2194039,0.3243582,Pizzeria
1211,5206,BNC27,3,-0.2629344,5.276354,Pizzeria
1212,5251,BNC27,3,5.437724,7.799962,Pizzeria
1213,5279,BNC27,3,12.11222,8.600754,Pizzeria
1214,5303,BNC27,3,18.74329,9.277493,Pizzeria
1215,5328,BNC27,3,25.31526,10.40306,Pizzeria
1216,5376,BNC27,3,31.8878,11.28211,Pizzeria
1217,5402,BNC27,3,38.32121,11.71121,Pizzeria
1218,5431,BNC27,3,44.68462,12.12572,Pizzeria
1219,5457,BNC27,3,50.96273,12.74065,Pizzeria
1220,5550,BNC27,3,57.21004,13.45495,Pizzeria
1221,5687,BNC27,3,62.14236,17.07813,Pizzeria
1222,5784,BNC27,3,60.80297,23.21294,Pizzeria
3212,23792,BNC35,2,0.0,-4.1,Quattroki Restaurant
3213,23911,BNC35,2,0.367679,2.54792,Quattroki Restaurant
3214,24325,BNC35,2,0.8433749,9.053513,Quattroki Restaurant
3215,24489,BNC35,2,-4.992293,9.195039,Quattroki Restaurant
3216,24640,BNC35,2,-11.70067,9.799015,Quattroki Restaurant
3217,24771,BNC35,2,-18.46722,10.6132,Quattroki Restaurant
3218,24900,BNC35,2,-24.94805,12.26972,Quattroki Restaurant
3219,25091,BNC35,2,-31.30375,14.27943,Quattroki Restaurant
3220,25227,BNC35,2,-32.53527,20.93661,Quattroki Restaurant
3221,25367,BNC35,2,-33.29421,27.5985,Quattroki Restaurant
3222,25493,BNC35,2,-34.20539,34.2851,Quattroki Restaurant
3223,25623,BNC35,2,-34.76797,41.11882,Quattroki Restaurant
3224,25756,BNC35,2,-35.15448,47.99802,Quattroki Restaurant
3225,25890,BNC35,2,-35.87674,54.83554,Quattroki Restaurant
3226,26009,BNC35,2,-36.30922,61.7365,Quattroki Restaurant
3227,26120,BNC35,2,-36.67659,68.63937,Quattroki Restaurant
3228,26604,BNC35,2,-37.0029,75.54573,Quattroki Restaurant
3229,26837,BNC35,2,-43.47227,77.06611,Quattroki Restaurant
829,11108,BNC11,3,0.0,-4.1,High School
830,11251,BNC11,3,1.04149,2.842266,High School
831,11417,BNC11,3,1.769253,9.852165,High School
832,11482,BNC11,3,8.986049,9.610737,High School
833,11534,BNC11,3,16.15685,10.4094,High School
834,11592,BNC11,3,23.28677,11.48207,High School
835,11665,BNC11,3,30.29267,13.18953,High School
836,11732,BNC11,3,34.53309,18.91072,High School
837,11802,BNC11,3,36.45675,25.63342,High School
838,11883,BNC11,3,37.06715,32.52671,High School
839,11961,BNC11,3,38.58822,39.33198,High School
840,12125,BNC11,3,44.6425,43.10763,High School
841,12183,BNC11,3,51.90853,42.44592,High School
842,12244,BNC11,3,59.14193,42.87348,High School
843,12342,BNC11,3,65.64815,46.04337,High School
844,12412,BNC11,3,65.42458,53.05999,High School
845,12601,BNC11,3,67.34597,59.86555,High School
