,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
0,BNC06,1,Automobile shop,75.3797467,7.4438897,67.935857,632.2199131,9.306129945,0.688541792,108
1,BNC06,1,Police station ,29.374258,3.548512,25.825746,260.3653017,10.08161784,0.638704,41
2,BNC06,1,Fire Station,16.7843532,4.2709872,12.513366,213.0375501,17.02479973,0.474353912,33
3,BNC06,1,Bank,12.6596225,4.4791525,8.18047,143.20937,17.50625209,0.577361786,15
4,BNC06,1,Pawn Shop,24.0062092,2.6734282,21.332781,238.4959396,11.17978662,0.569644384,38
5,BNC06,1,Pizzeria,28.5762094,3.8403374,24.735872,297.5094723,12.02745035,0.541652478,50
6,BNC06,1,Quattroki Restaurant,31.3672315,5.1803365,26.186895,314.6324563,12.01488211,0.672675922,46
7,BNC06,1,High School,12.2150368,3.2709608,8.944076,204.7101989,22.88779735,0.4401949,21
0,BNC06,2,Automobile shop,37.8225267,11.9054767,25.91705,232.9766724,8.989320638,0.733071934,51
1,BNC06,2,Police station ,22.9789652,2.5485722,20.430393,279.7949944,13.69503731,0.453765591,47
2,BNC06,2,Fire Station,15.7418892,2.4514792,13.29041,254.5788665,19.15507998,0.426288067,34
3,BNC06,2,Bank,22.3339247,4.4933557,17.840569,186.842321,10.47289024,0.842444604,27
4,BNC06,2,Pawn Shop,12.72877,4.409617,8.319153,99.58330757,11.97036616,0.765687667,16
5,BNC06,2,Pizzeria,20.458224,2.611265,17.846959,224.4002224,12.57358312,0.504913789,39
6,BNC06,2,Quattroki Restaurant,13.3537188,2.7986498,10.555069,193.4199164,18.32483676,0.494506192,26
7,BNC06,2,High School,11.4997204,2.4238704,9.07585,214.5889273,23.6439482,0.430354017,25
0,BNC06,3,Automobile shop,7.5014757,3.0387247,4.462751,62.14427638,13.92510503,0.511451131,14
1,BNC06,3,Police station ,26.0547387,1.7084647,24.346274,273.9067104,11.25045707,0.488988244,53
2,BNC06,3,Fire Station,11.6869757,2.3890207,9.297955,136.2112955,14.6495972,0.33741963,28
3,BNC06,3,Bank,23.8190794,1.9238294,21.89525,243.0843889,11.10215179,0.490691295,45
4,BNC06,3,Pawn Shop,14.3190737,1.5616617,12.757412,141.6572678,11.10391887,0.568564029,25
5,BNC06,3,Pizzeria,10.4235095,2.5270275,7.896482,131.6713258,16.67468194,0.451757738,22
6,BNC06,3,Quattroki Restaurant,10.8399393,1.5971023,9.242837,198.8923775,21.51854214,0.3335689,28
7,BNC06,3,High School,10.1457085,2.3749575,7.770751,210.213094,27.05183758,0.2919625,27
0,BNC10,1,Automobile shop,86.4863267,2.1714727,84.314854,89.10002301,1.05675357,4.02181638,16
1,BNC10,1,Police station ,26.3464998,6.0483578,20.298142,130.9877094,6.453187161,1.994777067,13
2,BNC10,1,Fire Station,106.0807097,3.5271387,102.553571,518.1988216,5.052957362,1.368021928,75
3,BNC10,1,Bank,80.5885777,8.8887467,71.699831,391.3259305,5.457836162,1.273427839,57
4,BNC10,1,Pawn Shop,63.2764798,7.0280108,56.248469,334.5561642,5.947827029,1.269519057,50
5,BNC10,1,Pizzeria,15.6445149,4.2498029,11.394712,158.3704608,13.89859268,0.592806684,20
6,BNC10,1,Quattroki Restaurant,51.5486048,6.1257228,45.422882,271.311275,5.973008823,1.250828995,41
7,BNC10,1,High School,114.2663484,0.2152668,114.0510816,547.4127103,4.799715204,1.37493245,83
0,BNC10,2,Automobile shop,11.3136667,2.5036117,8.810055,59.40617009,6.742996506,0.921455245,12
1,BNC10,2,Police station ,28.916241,5.347246,23.568995,164.9832481,7.000012012,1.235495522,24
2,BNC10,2,Fire Station,23.9787629,0.8054798,23.1732831,147.474482,6.363987412,0.87014469,21
3,BNC10,2,Bank,253.9891311,5.1666071,248.822524,1364.673822,5.484526881,0.953239644,265
4,BNC10,2,Pawn Shop,20.8803619,1.7290509,19.151311,120.9433169,6.315145576,0.995164679,20
5,BNC10,2,Pizzeria,13.090731,3.160213,9.930518,154.0419407,15.51197437,0.466036333,22
6,BNC10,2,Quattroki Restaurant,241.4952893,1.7215933,239.773696,1283.831372,5.354346174,0.988072439,243
7,BNC10,2,High School,107.6370069,8.2637869,99.37322,742.9872259,7.476734938,0.794341871,134
0,BNC10,3,Automobile shop,10.4471067,1.8850547,8.562052,60.92862117,7.116123702,0.705752977,14
1,BNC10,3,Police station ,34.2692533,1.9237303,32.345523,274.2169045,8.477739083,0.68373772,50
2,BNC10,3,Fire Station,64.9719208,12.6120108,52.35991,536.8994043,10.25401694,0.670527668,95
3,BNC10,3,Bank,192.9135661,4.2491151,188.664451,1244.110362,6.594301973,0.770699183,248
4,BNC10,3,Pawn Shop,16.9567939,1.8532519,15.103542,104.7973039,6.938591218,0.795553732,20
5,BNC10,3,Pizzeria,28.8122054,6.5636734,22.248532,228.3712477,10.26455353,0.66949851,43
6,BNC10,3,Quattroki Restaurant,114.0686353,0.3062831,113.7623522,976.0551396,8.579772839,0.61064652,185
7,BNC10,3,High School,35.7701497,5.1873787,30.582771,385.3887411,12.60149844,0.634888395,56
0,BNC13,1,Automobile shop,106.0080667,10.6730867,95.33498,259.2785567,2.719658165,2.429910388,44
