Participant,NavAgingID,Group,Age ,Gender,Handedness,VR_Experience_Quantified,Video_Game_Experience_Quantified,Navigation_Strategy,Losing_Your_Way_Quantified,Exercise_Quantified,Sleep_Quantified
BNC01,S01,0,24.7,W,R,0,0,GPS,0,6,8
BNC02,S02,0,26.3,W,R,2,10,GPS,0,10,7
BNC03,S03,0,19.7,M,M,2,2,GPS,0,2,7
BNC04,S04,0,22.7,W,R,1,0,GPS,0,4.4,6
BNC05,S05,0,28.7,W,R,1,0,GPS,0,2.3,6.5
BNC06,S31,1,61.4,M,R,0,0,GPS,0,1.5,6
BNC07,S06,0,27.3,M,R,1,7,"GPS, Landmarks",1,6.3,6
BNC08,S07,0,30,M,R,0,5,GPS,0,4.5,6.5
BNC09,S08,0,25.3,W,L,1,0,GPS,0,3,8
BNC10,S32,1,78.9,M,M,2,0,GPS,0,7,6
BNC11,S09,0,25.6,W,M,0,0,"GPS, Landmarks",0,2.5,6.5
BNC12,S10,0,28.8,M,R,2,3,GPS,0,2,7
BNC13,S33,1,69.1,W,R,0,0,GPS,0,4.5,8.5
BNC14,S34,1,65.6,W,R,0,0,GPS,0,4,7
BNC15,S35,1,60,W,R,0,0,"GPS, Landmarks",0,2,7
BNC16,S36,1,65.8,W,R,0,8,GPS,0,0,7
BNC17,S37,1,74.4,W,R,0,0,GPS,0,6,5.5
BNC18,S38,1,73.8,M,M,0,0,Landmarks,0,7,9
BNC19,S39,1,65.6,W,R,1,0,GPS,0,5,6.5
BNC20,S40,1,65.4,M,L,0,0,GPS,0,3,8
BNC23,S11,0,23.6,M,R,2,3,GPS,0,3,7
BNC24,S41,1,64.7,W,R,0,0,GPS,0,3,7.5
BNC25,S42,1,70.3,M,L,0,0,GPS,0,3,7.5
BNC26,S12,0,21.4,W,R,0,3,GPS,5,0,7
BNC27,S13,0,26.2,W,R,1,1,GPS,0,4.5,7
BNC28,S14,0,24.5,M,R,2,10,GPS,0,15,5.5
BNC29,S15,0,21.4,W,M,0,0,GPS,2,1.3,7
BNC30,S16,0,26.5,W,R,0,0,GPS,0,11,7
BNC31,S17,0,25.9,W,R,0,0,GPS,0,3.5,6.5
BNC32,S18,0,21.6,W,R,0,7.5,GPS,0,3,8
BNC33,S19,0,24.3,M,R,1,0,GPS,0,3.2,7.25
BNC34,S20,0,26,W,R,0,0,GPS,0,3.5,8
BNC35,S21,0,26.6,W,R,2,3,GPS,0,0.5,6.5
BNC36,S22,0,27.8,M,R,0,4,GPS,0,4,7
BNC37,S23,0,22.3,W,R,1,0,GPS,0,2,7
BNC39,S43,1,71.1,M,R,0,0,GPS,0,2.5,8.5
BNC40,S44,1,82.2,W,R,0,0,Landmarks,0,3.5,6
BNC41,S45,1,69.9,W,R,0,2,GPS,0,2,8
BNC42,S46,1,61.7,M,R,1,0,GPS,0,0,7
BNC43,S47,1,65.4,W,R,1,0,GPS,0,2.8,7.5
BNC44,S48,1,76.2,W,R,0,0,GPS,0,8,8
BNC45,S49,1,74.5,W,R,0,0,GPS,0,5,5.5
BNC46,S50,1,70.9,M,R,0,0,GPS,0,5.25,8
BNC47,S51,1,67.2,W,R,0,0,GPS,0,5,7.5
BNC50,S24,0,20.9,W,R,1,0,GPS,0,3.8,8
BNC51,S25,0,20.3,W,L,0,0,GPS,0,5,7
BNC52,S26,0,18.8,M,R,2,2.5,GPS,0,7.5,7
NAV053,S52,1,69.3,M,R,0,0,GPS,0,5,6
NAV054,S27,0,24.5,M,R,2,0,GPS,0,5,6.5
NAV055,S28,0,21.3,M,R,2,7,GPS,0,10,8
NAV056,S29,0,22.8,M,R,0,3,GPS,0,6,7.75
NAV058,S53,1,72.4,W,R,0,0,GPS,0,10.5,7.5
NAV059,S54,1,74.2,M,R,0,0,Physical map,0,9,6.75
NAV060,S55,1,72,W,R,1,0,GPS,0,14,7
NAV061,S30,0,24.3,M,R,2,10,GPS,0,6,7
NAV062,S56,1,61.2,W,R,1,0,GPS,0,7,6.5
NAV064,S57,1,63.5,M,R,0,0,GPS,0,10,7
NAV065,S58,1,72,M,R,1,0,GPS,0,3,8
NAV094,S59,1,72.3,W,R,1,0,GPS,0,8,6.5
NAV095,S60,1,60,W,R,1,7,GPS,0,4.5,7.5
