,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Dwell,Teleportations
0,BNC06,1,28.79533341,4.338450538,24.45688287,288.0225253,14.00358951,26.14708125,44
1,BNC06,2,19.61471737,4.20528575,15.40943163,210.7731535,14.8531328,18.35763375,33.125
2,BNC06,3,14.34881256,2.140098563,12.208714,174.722592,15.90953645,12.81335436,30.25
3,BNC10,1,68.02975773,4.7818149,63.24794282,305.1578868,6.079984749,61.63219171,44.375
4,BNC10,2,87.66264885,3.587198587,84.07545026,504.7926971,7.531215483,85.13330696,92.625
5,BNC10,3,62.2762039,4.32256225,57.95364165,476.3459655,8.853324716,60.82281445,88.875
6,BNC13,1,143.5527036,10.05712326,133.4955804,663.2854632,5.862373262,141.1866945,118.125
7,BNC13,2,40.61658989,7.481593513,33.13499638,207.9854433,9.290149229,37.2021483,34.375
8,BNC13,3,24.74170763,3.378485375,21.36322225,187.3721908,12.51194602,22.39019784,30.125
9,BNC14,1,95.63564369,6.674995813,88.96064787,470.151477,7.009971352,91.5774629,140.625
10,BNC14,2,37.86382725,3.87327075,33.9905565,272.7940714,10.7348145,36.14999157,74.125
11,BNC14,3,22.68579405,2.803484175,19.88230987,212.4655085,13.87174924,20.55802813,51.625
12,BNC15,1,79.26407893,12.18566405,67.07841488,335.3549099,7.170263051,75.3056949,42.25
13,BNC15,2,42.06793138,7.692148875,34.3757825,259.8991999,9.445252401,39.28680686,31.75
14,BNC15,3,30.22105953,5.01150665,25.20955288,221.7502732,11.28619314,28.29689464,26.5
15,BNC16,1,266.6285614,14.27933315,252.3492282,929.8123365,4.117605498,263.5417415,225.875
16,BNC16,2,73.71058574,5.948443488,67.76214225,428.6124024,7.045586406,70.46098429,88.75
17,BNC16,3,79.82525456,5.180763438,74.64449113,439.5231753,8.805059981,78.36447794,83.625
18,BNC17,1,130.7921929,18.53693276,112.2552601,291.1171876,3.14101761,125.217509,35.125
19,BNC17,2,140.3546428,4.4208592,135.9337836,669.4119674,5.516226499,137.0445471,92.375
20,BNC17,3,102.4611123,5.87562015,96.58549218,491.456048,6.509254981,97.84396351,68.5
21,BNC18,1,84.28628374,19.04583211,65.24045162,450.005225,9.906873674,81.89762899,80.875
22,BNC18,2,47.72127056,8.314377188,39.40689338,283.715958,9.411422447,45.95380781,52.25
23,BNC18,3,28.23342001,6.992518763,21.24090125,209.1804929,13.21727059,25.67545733,42.25
24,BNC19,1,66.93692203,6.46854065,60.46838138,334.8277576,6.967441384,64.18602915,58.375
25,BNC19,2,46.35949909,7.205126213,39.15437288,299.1000392,10.30975496,43.59463324,55.125
26,BNC19,3,13.66975384,2.797843588,10.87191025,143.04965,13.61461251,11.83204521,19.625
