Participant,Group,NavAgingID
BNC01,YA,S01
BNC02,YA,S02
BNC03,YA,S03
BNC04,YA,S04
BNC05,YA,S05
BNC06,OA,S31
BNC07,YA,S06
BNC08,YA,S07
BNC09,YA,S08
BNC10,OA,S32
BNC11,YA,S09
BNC12,YA,S10
BNC13,OA,S33
BNC14,OA,S34
BNC15,OA,S35
BNC16,OA,S36
BNC17,OA,S37
BNC18,OA,S38
BNC19,OA,S39
BNC20,OA,S40
BNC23,YA,S11
BNC24,OA,S41
BNC25,OA,S42
BNC26,YA,S12
BNC27,YA,S13
BNC28,YA,S14
BNC29,YA,S15
BNC30,YA,S16
BNC31,YA,S17
BNC32,YA,S18
BNC33,YA,S19
BNC34,YA,S20
BNC35,YA,S21
BNC36,YA,S22
BNC37,YA,S23
BNC39,OA,S43
BNC40,OA,S44
BNC41,OA,S45
BNC42,OA,S46
BNC43,OA,S47
BNC44,OA,S48
BNC45,OA,S49
BNC46,OA,S50
BNC47,OA,S51
BNC50,YA,S24
BNC51,YA,S25
BNC52,YA,S26
NAV053,OA,S52
NAV054,YA,S27
NAV055,YA,S28
NAV056,YA,S29
NAV058,OA,S53
NAV059,OA,S54
NAV060,OA,S55
NAV061,YA,S30
NAV062,OA,S56
NAV064,OA,S57
NAV065,OA,S58
NAV094,OA,S59
NAV095,OA,S60
