,Participant,Block_Num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
0,BNC01,1,Automobile shop,26.0891567,4.0827067,22.00645,121.513576,5.521725495,1.413152983,19,6.750754223
1,BNC01,1,Police station ,74.9354039,2.0761869,72.859217,553.9048857,7.602399649,0.976574105,76,6.740514818
2,BNC01,1,Fire Station,68.4010753,2.9653283,65.435747,620.3299573,9.479985876,0.827136374,82,6.952693918
3,BNC01,1,Bank,150.0732069,2.4794449,147.593762,953.1818875,6.458144806,1.110058626,135,6.519761444
4,BNC01,1,Pawn Shop,33.415599,2.458676,30.956923,207.832466,6.713602189,1.23329936,26,6.720465552
5,BNC01,1,Pizzeria,51.9709559,1.8539689,50.116987,330.6588575,6.597740153,1.179386788,44,6.7962535
6,BNC01,1,Quattroki Restaurant,29.4021908,3.4514478,25.950743,206.6955532,7.964918506,1.148265673,23,6.238589295
7,BNC01,1,High School,51.9289005,2.9587305,48.97017,588.7993687,12.02363334,0.670947277,75,6.69120578
0,BNC01,2,Automobile shop,38.4571367,1.3192397,37.137897,232.9783373,6.273331451,0.935782418,41,5.824458432
1,BNC01,2,Police station ,10.1322852,2.0842102,8.048075,117.8420847,14.64226969,0.724735364,12,6.256667057
2,BNC01,2,Fire Station,51.4284166,1.6039286,49.824488,379.8857813,7.624479378,0.897450868,57,5.96819753
3,BNC01,2,Bank,11.2022423,2.9661123,8.23613,127.4770389,15.47778373,1.022665625,9,6.102969865
4,BNC01,2,Pawn Shop,50.5470227,1.5901737,48.956849,267.9108426,5.472387379,1.086705216,46,5.027572462
5,BNC01,2,Pizzeria,13.6177116,2.2295326,11.388179,123.6711059,10.85960327,0.806791,15,6.008491286
6,BNC01,2,Quattroki Restaurant,25.9511032,2.9374802,23.013623,228.8744263,9.945171444,0.7912142,32,5.163286962
7,BNC01,2,High School,31.0407001,3.1316631,27.909037,418.3493228,14.9897441,0.561099492,52,6.283081909
0,BNC01,3,Automobile shop,22.7001167,1.5262367,21.17388,185.1821512,8.745782599,0.568485073,38,5.004923007
1,BNC01,3,Police station ,14.4855938,1.4027498,13.082844,147.4082929,11.2672973,0.681610263,20,5.010067166
2,BNC01,3,Fire Station,10.4093308,1.7568968,8.652434,138.064135,15.95668167,0.556813738,17,5.720995287
3,BNC01,3,Bank,9.3123685,1.4445005,7.867868,141.9319631,18.03944386,0.708325545,12,5.61950776
4,BNC01,3,Pawn Shop,17.1930548,1.3123938,15.880661,128.2495708,8.075833294,0.82593794,21,4.314488942
5,BNC01,3,Pizzeria,25.0076351,2.2581261,22.749509,287.9834854,12.65888795,0.564446352,41,6.238709233
6,BNC01,3,Quattroki Restaurant,26.8950192,1.1109692,25.78405,414.2188674,16.06492647,0.479129744,55,6.347780979
7,BNC01,3,High School,24.9436939,1.6112809,23.332413,456.1597676,19.55047545,0.434337463,57,6.52334931
0,BNC02,1,Automobile shop,15.0162367,5.3983517,9.617885,67.29193474,6.996541832,1.38077937,11,6.729193474
1,BNC02,1,Police station ,35.0545844,2.5624574,32.492127,194.3857195,5.982548311,1.540368857,22,6.63010533
2,BNC02,1,Fire Station,107.9076589,3.3055329,104.602126,661.5864339,6.324789554,1.035859117,103,6.025033758
3,BNC02,1,Bank,13.8399809,4.7015429,9.138438,128.6323334,14.07596499,1.008501,10,5.403633309
4,BNC02,1,Pawn Shop,29.4297337,3.5275907,25.902143,197.5734166,7.627686119,0.873536128,30,5.417586348
5,BNC02,1,Pizzeria,19.7148755,5.3611365,14.353739,122.2430582,8.516460989,1.097153077,14,6.273610427
6,BNC02,1,Quattroki Restaurant,154.17097,21.33296,132.83801,635.8127425,4.786376599,1.395635872,110,5.210554828
7,BNC02,1,High School,10.1871661,2.0974261,8.08974,212.0047308,26.20661861,0.442495444,19,6.745493307
0,BNC02,2,Automobile shop,7.0368027,2.6967837,4.340019,61.46609172,14.16263194,0.570948609,12,5.58782652
1,BNC02,2,Police station ,9.3195053,1.4792223,7.840283,128.1813736,16.34907485,0.596139154,14,5.755246434
2,BNC02,2,Fire Station,19.638581,1.429921,18.20866,276.7549876,15.19908591,0.455399605,39,6.100995033
3,BNC02,2,Bank,9.8330679,2.3123509,7.520717,141.4659672,18.81017026,0.782305908,13,5.058929117
4,BNC02,2,Pawn Shop,9.0622082,3.7842982,5.27791,88.69567647,16.80507558,0.911168578,10,5.345006795
5,BNC02,2,Pizzeria,11.3750299,2.4653229,8.909707,125.8256951,14.1223157,0.5870586,16,5.752043882
6,BNC02,2,Quattroki Restaurant,11.0483221,1.3331381,9.715184,191.8103139,19.74335369,0.451349868,23,5.48168436
7,BNC02,2,High School,9.4582415,1.9793965,7.478845,215.8023117,28.85503199,0.349210238,22,5.89470872
0,BNC02,3,Automobile shop,9.3945757,3.2625077,6.132068,72.84364207,11.87913149,0.601095479,15,5.203117291
1,BNC02,3,Police station ,7.1524446,1.7915836,5.360861,120.2983537,22.44011804,0.439804917,13,5.778400537
2,BNC02,3,Fire Station,9.1361875,2.5255345,6.610653,137.4540487,20.79280954,0.579528233,16,6.058915756
3,BNC02,3,Bank,7.2844115,1.7014795,5.582932,130.3711885,23.35174215,0.551363,11,5.049523279
